,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99786.70042099009
2018-02-02,97614.36131502385
2018-02-05,93531.88176868079
2018-02-06,95374.66323793614
2018-02-07,94857.2635233304
2018-02-08,91299.2611756073
2018-02-09,92670.70801284253
2018-02-12,94031.54476770575
2018-02-13,94265.45192818623
2018-02-14,95537.6603979894
2018-02-15,96756.74473214065
2018-02-16,96785.09153009346
2018-02-20,96179.0758177263
2018-02-21,95700.68213263992
2018-02-22,95824.71012506972
2018-02-23,97352.09506929194
2018-02-26,98482.5695493311
2018-02-27,97252.86898915851
2018-02-28,96267.69795913703
2018-03-01,94462.02626050319
2018-03-02,94913.22225686043
2018-03-05,95419.09699997849
2018-03-06,95979.63720219108
2018-03-07,95952.33104797637
2018-03-08,96157.39960174542
2018-03-09,96772.65841371765
2018-03-12,96882.00926340613
2018-03-13,96239.43765338605
2018-03-14,96471.85886820179
2018-03-15,96417.16683377468
2018-03-16,96348.80843457396
2018-03-19,95569.49345081986
2018-03-20,95555.81379837994
2018-03-21,95706.19696155503
2018-03-22,93928.81878783788
2018-03-23,92889.72328438822
2018-03-26,94557.72403308432
2018-03-27,93860.44045713772
2018-03-28,94407.34086990924
2018-03-29,95268.68726147084
2018-04-02,93026.15736494343
2018-04-03,94218.4399199239
2018-04-04,95226.51694445655
2018-04-05,95978.06253206974
2018-04-06,93839.08607976911
2018-04-09,94301.5775917639
2018-04-10,95801.00661680492
2018-04-11,95298.78670211787
2018-04-12,96082.81749588976
2018-04-13,95801.00661680492
2018-04-16,96588.64965070854
2018-04-17,97621.99363989315
2018-04-18,97694.25092004104
2018-04-19,97152.30260266173
2018-04-20,96328.51221241405
2018-04-23,96314.07572940056
2018-04-24,95016.94462924951
2018-04-25,95251.84005791886
2018-04-26,96220.1262921922
2018-04-27,96310.45101175543
2018-04-30,95569.76709956423
2018-05-01,95548.27949394737
2018-05-02,94906.4484448981
2018-05-03,94697.31353447052
2018-05-04,95923.30149296114
2018-05-07,96247.80958777119
2018-05-08,96247.80958777119
2018-05-09,97178.14208698487
2018-05-10,98086.81331752792
2018-05-11,98386.10493113186
2018-05-14,98432.96400213362
2018-05-15,97755.07027181379
2018-05-16,98166.15495209812
2018-05-17,98083.2207472425
2018-05-18,97837.9920240861
2018-05-21,98573.62838322207
2018-05-22,98299.55947711586
2018-05-23,98570.00468147837
2018-05-24,98368.06736420494
2018-05-25,98133.72842515458
2018-05-29,97005.0325000779
2018-05-30,98299.55947711586
2018-05-31,97697.40235849752
2018-06-01,98459.4403650592
2018-06-04,98927.24396233818
2018-06-05,98999.2190044093
2018-06-06,99826.9413090045
2018-06-07,99816.1416350755
2018-06-08,100111.23122956014
2018-06-11,100244.36299821884
2018-06-12,100373.93422996081
2018-06-13,100053.60397063174
2018-06-14,100305.550794064
2018-06-15,100177.58894986383
2018-06-18,99971.55006140709
2018-06-19,99588.3294109184
2018-06-20,99758.28446364113
2018-06-21,99132.87895044658
2018-06-22,99313.6274632468
2018-06-25,97961.69843119221
2018-06-26,98178.57427668702
2018-06-27,97365.24325219516
2018-06-28,97921.92978151121
2018-06-29,98062.90343077888
2018-07-02,98076.17900484202
2018-07-03,97729.88460460621
2018-07-05,98527.19085717185
2018-07-06,99360.5088498956
2018-07-09,100255.21485980986
2018-07-10,100615.98961363085
2018-07-11,99880.02176676592
2018-07-12,100785.52447714774
2018-07-13,100864.89045795429
2018-07-16,100774.71537380772
2018-07-17,101182.37298548911
2018-07-18,101395.20627672841
2018-07-19,101012.78851048242
2018-07-20,100897.37358090043
2018-07-23,101084.96082526806
2018-07-24,101593.64603448965
2018-07-25,102459.43474728709
2018-07-26,102217.7337704208
2018-07-27,101525.09535845938
2018-07-30,100994.78574112148
2018-07-31,101492.58742976833
2018-08-01,101120.61509382619
2018-08-02,101671.48348826921
2018-08-03,102107.11804002419
2018-08-06,102481.57387461008
2018-08-07,102819.97851774326
2018-08-08,102776.80373464043
2018-08-09,102636.36190864134
2018-08-10,101948.70941423331
2018-08-13,101567.04334135687
2018-08-14,102215.1292663302
2018-08-15,101451.86520008052
2018-08-16,102272.7059588769
2018-08-17,102632.80320733914
2018-08-20,102852.37817220762
2018-08-21,103093.61479717646
2018-08-22,103032.43608000736
2018-08-23,102895.60865672215
2018-08-24,103514.85981757907
2018-08-27,104332.18519839346
2018-08-28,104382.57640883258
2018-08-29,104944.2199319141
2018-08-30,104519.36669784333
2018-08-31,104522.9934786487
2018-09-04,104134.51376722119
2018-09-05,103854.21602804097
2018-09-06,103541.60807569082
2018-09-07,103340.40272413076
2018-09-10,103520.0452857508
2018-09-11,103861.41803694102
2018-09-12,103886.58183133106
2018-09-13,104500.98854600129
2018-09-14,104518.95033149127
2018-09-17,103965.593922111
2018-09-18,104529.75952152137
2018-09-19,104641.1374155914
2018-09-20,105489.12146179177
2018-09-21,105392.75290016353
2018-09-24,105042.62161670893
2018-09-25,104945.1783127577
2018-09-26,104631.14354732358
2018-09-27,104923.55993269752
2018-09-28,104934.35676936757
2018-10-01,105088.48001652177
2018-10-02,105027.28045894786
2018-10-03,105084.89237122484
2018-10-04,104263.58050046365
2018-10-05,103680.02718486216
2018-10-08,103680.02718486216
2018-10-09,103528.75430584689
2018-10-10,100250.706770752
2018-10-11,98042.52341916383
2018-10-12,99404.18275348828
2018-10-15,98845.77377666035
2018-10-16,101007.12664487938
2018-10-17,101025.20048682204
2018-10-18,99566.24939008936
2018-10-19,99512.22512310933
2018-10-22,99065.53862628438
