,SPY,DBC,QQQ,EEM,VNQ,IEF,GLD,TLT,EFA
2018-01-31,1.0,,,,,,,,
2018-02-28,1.0,,,,,,,,
2018-03-29,,0.818564328074834,0.181435671925166,,,,,,
2018-04-30,,0.7412094197184577,,0.2587905802815424,,,,,
2018-05-31,0.040467306315069805,0.5368364524405017,0.42269624124442845,,,,,,
2018-06-29,0.9390842434456118,0.06091575655438826,,,,,,,
2018-07-31,1.0,,,,,,,,
2018-08-31,1.0,,,,,,,,
2018-09-28,0.8502691382099237,0.14973086179007636,,,,,,,
2018-10-31,,,0.0662571952821349,,0.024517899814193698,0.9092249049036714,,,
2018-11-30,0.08131895354442402,,,,,0.918681046455576,,,
2018-12-31,,,,,0.019363375853964724,0.9806366241460353,,,
2019-01-31,,,,,0.0817694446755816,0.9182305553244183,,,
2019-02-28,0.17361651678781614,,,,,0.8263834832121838,,,
2019-03-29,0.27342859980398554,,,,,0.7265714001960145,,,
2019-04-30,0.7796559493373231,,0.1646349375390348,,0.055709113123642226,,,,
2019-05-31,,,,,,1.0,,,
2019-06-28,,,,,0.21294096862550096,,0.25952020867687514,0.527538822697624,
2019-07-31,,,0.45596689682499986,,,,,0.5440331031750002,
2019-08-30,,,,,0.4930219352974218,,0.176951321778286,0.3300267429242922,
2019-09-30,0.886852698308259,,,,0.11314730169174105,,,,
2019-10-31,,,0.25588132237666544,,0.5055488498820258,,,0.2385698277413089,
2019-11-29,0.8352490027954877,,,,,,,0.16475099720451228,
2019-12-31,0.7626450140907102,,,,,,0.23735498590928986,,
2020-01-31,,,0.36283651799403627,,,,0.37768847102968467,0.25947501097627906,
2020-02-28,,,0.22631455643254564,,,,0.23252803342478243,0.5411574101426718,
2020-03-31,,,,,,0.9744872254749822,0.0255127745250177,,
2020-04-30,,,0.18606624716456643,,,,0.154180672026147,0.6597530808092866,
2020-05-29,,,0.4153596282263787,,,,,0.5846403717736214,
2020-06-30,,,0.27109360153123424,,,,0.21685349127930786,0.5120529071894578,
2020-07-31,,,0.14681139746225208,,,,0.31564388720634695,0.5375447153314009,
2020-08-31,,,0.32047294691543315,,,,,0.6795270530845667,
2020-09-30,,,,,,,0.3882818530265101,0.6109339253788223,
2020-10-30,,,0.04754620532504404,,,,0.4267775506798716,0.5256762439950843,
2020-11-30,0.8028809417850636,,,0.1971190582149364,,,,,
2020-12-31,0.7905321926200592,,0.09715228959017233,0.1123155177897684,,,,,
2021-01-29,,0.6191289433903483,0.38087105660965176,,,,,,
2021-02-26,,0.6547051935919154,0.1853077724107016,0.159987033997383,,,,,
2021-03-31,0.9387700445229311,0.06122995547706888,,,,,,,
2021-04-30,0.7782656716610883,0.2217343283389117,,,,,,,
2021-05-28,,0.3761862655415368,,,0.4144184497320335,,,,0.20939528472642982
2021-06-30,0.7785688863435071,0.22143111365649285,,,,,,,
2021-07-30,0.9393662283281354,,,,0.06063377167186461,,,,
