,SPY,DBC,QQQ,EFA,GLD,VNQ,TLT,IEF,EEM
2018-01-31,0.590442313552933,0.40806850907143244,,,,,,,
2018-02-28,0.12654168048261463,0.7675177805645415,0.10594053895284383,,,,,,
2018-03-29,0.5127451003249315,0.4872548996750685,,,,,,,
2018-04-30,0.04241906605834599,,,0.957580933941654,,,,,
2018-05-31,0.033973134685474145,0.3101854950991184,,,0.6558413702154074,,,,
2018-06-29,0.7689534779907379,0.07101325361333378,,,,0.16003326839592844,,,
2018-07-31,0.919295530657642,,,,,0.08070446934235806,,,
2018-08-31,0.13080218621588127,,0.25303276070320546,,,0.116573065249571,0.49959198783134223,,
2018-09-28,0.8630734284399093,0.13692657156009075,,,,,,,
2018-10-31,0.3374416846513252,,,,,,,0.6625583153486749,
2018-11-30,,,,,,0.04046997321280084,,0.9595300267871991,
2018-12-31,,,,,0.0664448003779414,0.029815897387495526,,0.903739302234563,
2019-01-31,,,,,0.012019652376807535,0.08134268398928773,,0.9066376636339049,
2019-02-28,,,,,0.03664109989203879,0.038728362225251826,,0.9246305378827094,
2019-03-29,,,,,,0.08852656988198551,,0.9114734301180144,
2019-04-30,0.8172617070820195,,0.1597669406683709,,,0.02297135224960963,,,
2019-05-31,,,,,,,,1.0,
2019-06-28,0.35237503882972454,,,0.4543461767705046,,0.19327878439977084,,,
2019-07-31,0.761745912248164,,,,,,0.23825408775183599,,
2019-08-30,,,,,,0.07811172180197477,,0.9218882781980252,
2019-09-30,,,,,,,,0.9994773396901551,
2019-10-31,,,,,,0.029862179014305577,,0.9701378209856943,
2019-11-29,0.7432904730879742,,,,0.2567095269120258,,,,
2019-12-31,0.7470894176048954,,,,0.23789555352905525,,,,0.015015028866049409
2020-01-31,0.5656199839771058,,,,0.26686162049444034,,0.16751839552845368,,
2020-02-28,,,,,,,,0.963853579995577,0.02661312523362913
2020-03-31,,,0.03819901998949483,,,,,0.9618009800105051,
2020-04-30,,,0.02208873268810384,,0.02272078023531898,,,0.9551904870765772,
2020-05-29,,,,,,,,0.9968512189253328,
2020-06-30,,,,,,,,1.0,
2020-07-31,,,,,0.022957305596018347,,,0.9670469347965195,
2020-08-31,0.9981280519350874,,,,,,,,
2020-09-30,0.3215662635703944,,,0.2754386085793856,,,,,0.40299512785022
2020-10-30,0.11558505896114522,0.1242472882356776,,,,,,,0.7601676528031772
2020-11-30,0.026013303246894447,0.7680526950945321,0.1758628228864094,,,,,,0.03007117877216405
2020-12-31,0.4639427916299834,,0.17919394328173557,0.356863265088281,,,,,
2021-01-29,,0.32309546876424833,0.23322664351771932,0.4436778877180324,,,,,
2021-02-26,0.1829173202777669,0.24272320322542743,,0.5743594764968056,,,,,
2021-03-31,,0.02932916188752188,,0.9706708381124782,,,,,
2021-04-30,0.4419850256453485,0.3044609805818014,,,,0.2535539937728501,,,
2021-05-28,0.193705446748884,0.3667663844474313,,0.11629178291644117,,0.3232363858872436,,,
2021-06-30,0.5144358457113121,0.24492166386687683,0.22175296092861527,,,0.018889529493195698,,,
2021-07-30,,0.019449260806053508,0.7190074318823522,,,0.26154330731159436,,,
2021-08-31,0.6596293033984121,,,,,0.3377679215234693,,,
2021-09-30,,0.3748818748062389,0.26821463396214895,,,0.35690349123161214,,,
2021-10-29,,0.2769965087390081,0.39894813186651756,,,0.3240553593944743,,,
2021-11-30,0.7506864440798188,,,,,,0.24931355592018117,,
2021-12-31,0.7538524055783604,0.13732582900974513,,,,0.10882176541189452,,,
2022-01-31,0.665958070835407,0.3046543642899974,,,,0.029387564874595574,,,
2022-02-28,0.2555628615560306,0.19437305051218015,,,0.5500640879317893,,,,
2022-03-31,0.28161105292979366,,,,0.5319380077759969,0.18645093929420942,,,
2022-04-29,0.10674716563907001,,,,0.8072754206324051,0.08597741372852488,,,
2022-05-31,,,,0.2766413774401618,0.7233586225598383,,,,
2022-06-30,,0.21791288950153925,,,,,,0.6865883140309482,0.09549879646751257
2022-07-29,,0.13100194433356527,,,,0.022499326895755664,,0.8464987287706791,
2022-08-31,,0.1614145471087527,,,,0.13417628189634365,,0.7044091709949036,
2022-09-30,0.04271498869299554,,,,0.2761285750689369,,,0.6811564362380674,
2022-10-31,0.12076374297257203,0.14689788321994454,,,,,,0.7323383738074835,
2022-11-30,,,,,0.20018094147601376,,,0.7998190585239864,
2022-12-30,0.052317904003902786,0.19181627582073957,,0.31825916322006925,0.4376066569552885,,,,
2023-01-31,0.2736531371650476,,,0.14617617295626983,0.5801706898786826,,,,
2023-02-28,0.11867647778364598,,,0.47012013013792,0.41120339207843404,,,,
2023-03-31,0.7004591216962296,,,,0.2995408783037703,,,,
2023-04-28,,,0.019861825760306987,0.5708059655335253,0.3316020072571438,,,,0.07773020144902405
2023-05-31,0.6230772129141217,,,,0.3769227870858782,,,,
2023-06-30,0.7307424751667495,,,,0.26925752483325044,,,,
2023-07-31,0.9088146056820806,,,,0.09118539431791942,,,,
2023-08-31,0.5370285816079838,,,,0.46297141839201605,,,,
2023-09-29,0.48875196465733406,0.4164947986758262,,0.09475323666683975,,,,,
2023-10-31,0.6756441302158227,0.023782864428352365,,,0.3005730053558249,,,,
2023-11-30,0.5349702987520896,0.0650131821861341,,,0.4000165190617763,,,,
2023-12-29,0.9676655577816189,,,,0.032334442218381,,,,
2024-01-31,0.6315836349028638,,,0.05920037647383844,0.3092159886232977,,,,
2024-02-29,0.6573345825029845,,,0.34266541749701546,,,,,
2024-03-28,0.8532788138596986,,,,0.14672118614030127,,,,
2024-04-30,0.9138202099114948,,,,0.08617979008850521,,,,
2024-05-31,0.913088889642095,,,0.02529991969334555,0.06161119066455949,,,,
2024-06-28,0.857718756892652,,,,0.0210240795265344,,,,0.12125716358081357
2024-07-31,0.9435165475409422,,,,,,,,0.05648345245905783
2024-08-30,,,,0.257548108867579,0.37557888611153956,0.36687300502088144,,,
2024-09-30,0.05405879236279951,,,,0.3090615863808391,0.6022208985233666,,,0.034658722732994765
2024-10-31,0.7815398810453817,,,,0.21846011895461828,,,,
2024-11-29,0.8754849760790129,,,,0.11023387806785379,0.014281145853133422,,,
2024-12-31,0.8604009830772031,,,,0.13959901692279686,,,,
2025-01-31,0.6926829694058286,0.20523034770790866,,,0.10208668288626277,,,,
2025-02-28,0.7475264590581635,0.13515960437456292,,,0.11731393656727351,,,,
2025-03-31,,0.2294004400797747,,0.12546793822102206,,,,0.6451316216992032,
2025-04-30,,,,0.046040994348086256,0.03620099181377604,,,0.9177580138381378,
2025-05-30,,,0.4937129637417056,0.16628562493963067,0.34000141131866374,,,,
2025-06-30,,,,0.19407716926236973,0.04595147425798561,,,0.7599713564796445,
2025-07-31,,,0.670657519642513,,0.2722625913616767,,,,0.05675073264255999
2025-08-29,,,0.20960402601587433,0.27517235112750926,0.49804014941813773,,,,0.01718347343847861
2025-09-30,0.6595244518848438,,,,0.15350502832036336,,,,0.1869705197947928
2025-10-31,0.9447719815111185,,,,0.05522801848888141,,,,
2025-11-28,0.6935393682409264,,,,0.026614538418101477,,,,0.27984609334097205
2025-12-30,0.884528578562006,,,,0.01874519419946397,,,,0.09672622723853011
