,SPY,EFA,QQQ,DBC,EEM,VNQ,IEF,TLT,GLD
2018-01-31,0.6264865940361333,0.37351340596386673,,,,,,,
2018-02-28,0.12654168048261522,,0.1059405389528423,0.7675177805645426,,,,,
2018-03-29,0.5127451003249321,,,0.48725489967506785,,,,,
2018-04-30,0.7163482260050169,,,0.26200120509642066,0.021650568898562487,,,,
2018-05-31,,0.3019863386946567,0.4612758095767741,0.23673785172856912,,,,,
2018-06-29,0.7689534779907379,,,0.07101325361333378,,0.16003326839592844,,,
2018-07-31,0.919295530657642,,,,,0.08070446934235799,,,
2018-08-31,0.46458916612148243,,0.19930449061290956,0.018679052779420887,,0.31742729048618706,,,
2018-09-28,0.8630734284399093,,,0.13692657156009072,,,,,
2018-10-31,,,0.050472212763552834,0.07122008643685994,,0.019243257906396038,0.8590644428931912,,
2018-11-30,0.31941160660336065,,,,,,0.6805883933966392,,
2018-12-31,,,0.05079983954238112,,,,0.9492001604576188,,
2019-01-31,,,0.07648360805469288,,,0.0490602021071866,0.8744561898381206,,
2019-02-28,0.44896688097914883,,,,,,0.5510331190208513,,
2019-03-29,0.15440809120700696,,,,,,0.8455919087929931,,
2019-04-30,0.3707302968320582,,0.014425462466862186,,,,0.6148442407010797,,
2019-05-31,,,,,,,1.0,,
2019-06-28,,,,,,,1.0,,
2019-07-31,,,0.442399306020462,,,0.03873511110719344,,0.5188655828723445,
2019-08-30,,,,,,0.07811172180197477,0.9218882781980252,,
2019-09-30,0.8879985651428235,,,,,0.09442862671672854,,0.01757280814044789,
2019-10-31,,,0.13027974772719036,,,0.3778310880106056,,,0.4918891642622041
2019-11-29,0.782861956036608,,,,,,,0.07898416935739218,0.13815387460599965
2019-12-31,0.7717785845974648,,,,,,,0.02123351449079459,0.20698790091174066
2020-01-31,0.5656199839771061,,,,,,,0.16751839552845374,0.2668616204944402
2020-02-28,,,0.026440228656677767,,,,0.9355483830243689,,0.03801138831895337
2020-03-31,,,0.03819901998949483,,,,0.9618009800105051,,
2020-04-30,,,0.02208873268810384,,,,0.9551904870765772,,0.02272078023531898
2020-05-29,,,,,,,0.9968512189253328,,
2020-06-30,,,,,,,1.0,,
2020-07-31,,,,,,,0.9670469347965195,,0.022957305596018347
2020-08-31,0.7168275983910197,,,,,,,0.2831724016089803,
2020-09-30,,,,,,,0.9971365677446009,,
2020-10-30,,,,,,,0.9899005996850756,,
2020-11-30,0.8002740059476611,,,,0.19972599405233896,,,,
2020-12-31,0.4639427916299834,0.356863265088281,0.17919394328173557,,,,,,
2021-01-29,,0.4436778877180324,0.2332266435177193,0.32309546876424816,,,,,
2021-02-26,,0.6695572029975754,0.06960152107148189,0.2608412759309427,,,,,
2021-03-31,0.9529786275538015,,,0.029376161544732462,0.017645210901466056,,,,
2021-04-30,0.7964694323443563,,,0.20353056765564367,,,,,
2021-05-28,,0.249694890444528,,0.35031232471239115,,0.3999927848430809,,,
2021-06-30,0.5144358457113121,,0.22175296092861527,0.24492166386687683,,0.018889529493195698,,,
2021-07-30,,,0.7190074318823522,0.019449260806053508,,0.26154330731159436,,,
2021-08-31,0.6596293033984121,,,,,0.33776792152346924,,,
2021-09-30,,,0.26821463396214945,0.3748818748062388,,0.35690349123161175,,,
2021-10-29,,,0.3989481318665179,0.2769965087390079,,0.32405535939447433,,,
2021-11-30,0.8807566105659926,,,,,0.11924338943400731,,,
2021-12-31,0.7538524055783604,,,0.13732582900974508,,0.10882176541189446,,,
2022-01-31,0.6659580708354098,,,0.304654364289996,,0.02938756487459425,,,
2022-02-28,0.6901063581264882,,,0.30989364187351176,,,,,
2022-03-31,0.28161105292979366,,,,,0.18645093929420942,,,0.5319380077759969
2022-04-29,0.10674716563907001,,,,,0.08597741372852488,,,0.8072754206324051
2022-05-31,0.24989897372552017,,,,,,,,0.7501010262744798
2022-06-30,,,,0.21573417446139598,,,0.7332332873602798,,0.05103253817832414
2022-07-29,,,,0.13100194433356527,,0.022499326895755598,0.846498728770679,,
2022-08-31,,,,0.19127256227829292,,0.2673867094136348,,,0.5413407283080722
2022-09-30,0.04271498869299553,,,,,,0.6811564362380673,,0.2761285750689372
2022-10-31,,,,0.16057477387084865,,,0.8389593307406426,,
2022-11-30,0.26204900155377747,,,0.14956707974227718,,,,,0.5883839187039454
2022-12-30,,,,0.19458460459952773,,,0.7453870059940162,,0.0600283894064561
2023-01-31,0.2736531371650476,0.14617617295626983,,,,,,,0.5801706898786826
2023-02-28,0.6028665723383009,0.23296241750410784,,,,,,,0.16417101015759128
2023-03-31,0.7004591216962296,,,,,,,,0.2995408783037703
2023-04-28,0.5385435450488189,0.22483410241878965,,,,,,,0.23662235253239147
2023-05-31,0.6230772129141213,,,,,,,,0.3769227870858786
2023-06-30,1.0,,,,,,,,
2023-07-31,1.0,,,,,,,,
2023-08-31,0.5370285816079838,,,,,,,,0.46297141839201605
2023-09-29,0.48875196465733395,0.0947532366668398,,0.4164947986758262,,,,,
2023-10-31,0.6756441302158229,,,0.023782864428352302,,,,,0.3005730053558248
2023-11-30,0.6425781517573843,,,,,,,,0.3574218482426157
2023-12-29,0.9459548546878246,0.054045145312175316,,,,,,,
2024-01-31,0.8939450387453862,0.10605496125461382,,,,,,,
2024-02-29,0.6573345825029845,0.34266541749701546,,,,,,,
2024-03-28,0.8046562007396524,0.10197417682421904,,,,,,,0.09336962243612866
2024-04-30,0.913820209911495,,,,,,,,0.08617979008850496
2024-05-31,0.9130888896420951,0.025299919693345555,,,,,,,0.06161119066455944
