,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100247.97458059908
2018-02-02,98316.21578537251
2018-02-05,95414.2960582537
2018-02-06,96385.22269835082
2018-02-07,95504.33751304788
2018-02-08,93113.53857956364
2018-02-09,93250.14695749141
2018-02-12,94347.62419379957
2018-02-13,94461.19072309094
2018-02-14,95912.03254427678
2018-02-15,96636.14824218283
2018-02-16,96782.76648159605
2018-02-20,96487.39545634764
2018-02-21,96157.85668210092
2018-02-22,96636.39329861721
2018-02-23,97691.82457264159
2018-02-26,98557.94369754806
2018-02-27,97369.10740715216
2018-02-28,96393.36656457363
2018-03-01,95418.07914638995
2018-03-02,96060.29219621835
2018-03-05,96465.34906961756
2018-03-06,97195.7274290039
2018-03-07,96918.14637255302
2018-03-08,97001.2533671786
2018-03-09,97918.98775847798
2018-03-12,98139.41608328438
2018-03-13,97628.99041131066
2018-03-14,97589.7601534759
2018-03-15,97232.04267055518
2018-03-16,97003.70173584514
2018-03-19,96168.56569420476
2018-03-20,96116.40689429904
2018-03-21,96884.11629425299
2018-03-22,95618.46548780837
2018-03-23,95238.52850910519
2018-03-26,96977.91227656484
2018-03-27,95315.41512853002
2018-03-28,94139.498524789
2018-03-29,94926.92206382338
2018-04-02,93943.18553563295
2018-04-03,94241.0474616146
2018-04-04,94348.62858616271
2018-04-05,94696.80890006517
2018-04-06,94284.98389429039
2018-04-09,95061.65816613493
2018-04-10,96060.16671058547
2018-04-11,96191.52702332487
2018-04-12,96062.47173350601
2018-04-13,96259.18253588266
2018-04-16,96288.24946257204
2018-04-17,96558.98661851924
2018-04-18,97283.62320885227
2018-04-19,96948.3213232589
2018-04-20,96553.487957245
2018-04-23,96313.44260666441
2018-04-24,96071.97591491054
2018-04-25,95893.79581973923
2018-04-26,96206.7641664976
2018-04-27,96329.03359173912
2018-04-30,96122.4462673187
2018-05-01,95768.05588950339
2018-05-02,95786.23458609701
2018-05-03,96042.62357609943
2018-05-04,96073.84834514867
2018-05-07,96026.62396218764
2018-05-08,95881.5097187501
2018-05-09,95702.3428369645
2018-05-10,95909.56655382828
2018-05-11,95898.36972628447
2018-05-14,95722.67535670451
2018-05-15,95217.96154820349
2018-05-16,95045.79960277589
2018-05-17,94995.00146096094
2018-05-18,95350.89647943032
2018-05-21,95440.36251037424
2018-05-22,95407.79358422375
2018-05-23,95843.78649003923
2018-05-24,96057.65326232006
2018-05-25,96370.93515048313
2018-05-29,97338.02968274304
2018-05-30,96981.1209704622
2018-05-31,96926.52006165842
2018-06-01,96638.9370898147
2018-06-04,96183.81514571374
2018-06-05,96342.97194164444
2018-06-06,96366.70278774883
2018-06-07,96847.0504636807
2018-06-08,96804.19013690925
2018-06-11,96757.69188948165
2018-06-12,96792.65609381851
2018-06-13,96778.187124737
2018-06-14,96885.56544098642
2018-06-15,96243.77794878172
2018-06-18,96366.8270350909
2018-06-19,96212.57752046835
2018-06-20,95885.22675592592
2018-06-21,95707.56446490386
2018-06-22,96264.92803853398
2018-06-25,95640.73134478323
2018-06-26,96016.14008991218
2018-06-27,96275.77423701003
2018-06-28,96442.24544850159
2018-06-29,96644.04289211714
2018-07-02,96429.73872227082
2018-07-03,96496.96046012905
2018-07-05,97098.45629844128
2018-07-06,97691.72857707943
2018-07-09,97867.9160535996
2018-07-10,98053.21181190535
2018-07-11,97698.91119031039
2018-07-12,98189.27388530568
2018-07-13,98313.03430173453
2018-07-16,98013.37943946393
2018-07-17,98112.96176280995
2018-07-18,98068.8105078759
2018-07-19,98179.74843327151
2018-07-20,97618.49207223704
2018-07-23,97248.59438419272
2018-07-24,97620.20552575796
2018-07-25,98087.42648579276
2018-07-26,97912.90797087
2018-07-27,97548.08680186243
2018-07-30,97172.76080927986
2018-07-31,97708.00376883743
2018-08-01,97308.09431956089
2018-08-02,97459.15374761049
2018-08-03,97743.58532737274
2018-08-06,97822.62075611563
2018-08-07,97679.75902335427
2018-08-08,97738.94283237189
2018-08-09,97958.6899801314
2018-08-10,98237.89178122343
2018-08-13,98168.41496729534
2018-08-14,98163.44866914504
2018-08-15,98305.71119481442
2018-08-16,98383.8983937899
2018-08-17,98473.83750664856
2018-08-20,98765.7105431815
2018-08-21,98662.49780913167
2018-08-22,98803.47717944792
2018-08-23,98775.6058474305
2018-08-24,98878.11106920164
2018-08-27,98766.11760034988
2018-08-28,98605.91288924325
2018-08-29,98641.12935273744
2018-08-30,98741.73377502925
2018-08-31,98766.62431257748
2018-09-04,98313.32329727276
2018-09-05,98245.38610986868
2018-09-06,98380.03400948044
2018-09-07,97933.80208033769
2018-09-10,98017.24305094671
2018-09-11,97745.37219770567
2018-09-12,97836.07540902076
2018-09-13,97908.66246724717
2018-09-14,97716.15512284177
2018-09-17,97653.86035967148
2018-09-18,97337.13248986911
2018-09-19,97163.09944723346
2018-09-20,97271.32860379254
2018-09-21,97275.07485716691
2018-09-24,97143.01579416291
2018-09-25,97061.13353606749
2018-09-26,97313.35161350081
2018-09-27,97374.37055536786
2018-09-28,97446.93373257045
2018-10-01,97764.94843441775
2018-10-02,97752.53504124402
2018-10-03,97906.91356306961
2018-10-04,97106.99139510556
2018-10-05,96602.96129676502
2018-10-08,96571.4586468811
2018-10-09,96529.23957933548
2018-10-10,93612.66868062846
2018-10-11,91630.66389860245
2018-10-12,92836.16033608983
2018-10-15,92403.1673038959
2018-10-16,94227.0364945251
2018-10-17,94141.06265649089
2018-10-18,92817.93180247661
2018-10-19,92836.6068330982
2018-10-22,92482.68745725417
2018-10-23,91823.15291223828
