,SPY,DBC,GLD,QQQ,EFA,VNQ,IEF,EEM,TLT
2018-01-31,0.6414974070050196,0.09846445985985679,0.2600381331351236,,,,,,
2018-02-28,,,0.44487047841111893,0.4335379063262971,0.11409523887786664,,,,
2018-03-29,0.15663061962517968,0.20219777369564534,0.21396420753724513,,0.42720739914192984,,,,
2018-04-30,0.24627299196041216,,0.24922101115564346,,0.5045059968839444,,,,
2018-05-31,0.07395885760549714,0.27117401810865305,0.6129350698506307,0.01441638833215059,0.027515666103068562,,,,
2018-06-29,0.11149205987471808,,,,0.15961596687387106,0.017012698602539813,0.711879274648871,,
2018-07-31,0.16723096113234495,,,,,0.027587693576557795,0.8051813452910972,,
2018-08-31,0.04112292386211601,,,0.06714533058983121,,0.01817186596057672,0.873559879587476,,
2018-09-28,0.49816009617462903,0.06225531164508616,,,,,0.43958459218028484,,
2018-10-31,0.07383039630133374,0.013782728565261252,,,,,0.912386875133405,,
2018-11-30,0.12004645814400065,,,,,,0.8799535418559994,,
2018-12-31,0.01937727128447138,,,,,,0.9129281495765886,0.06769457913893989,
2019-01-31,0.19813847695800813,,0.07656280582272745,,,0.01003471670682761,0.7152640005124369,,
2019-02-28,0.12622121308694884,,0.04464774369231079,,,,0.8218397376079852,,
2019-03-29,0.21652128706998794,,,,,,0.7834787129300121,,
2019-04-30,0.2579683221927219,,,0.02547757001811844,0.36587975033931786,,,,0.3506743574498417
2019-05-31,0.23675466624475305,,,,,,0.7632453337552471,,
2019-06-28,0.5565658701761547,,,,,,,0.1062459745225336,0.3371881553013116
2019-07-31,,,,0.025938928897744337,,0.02843598113308417,0.9402963190952535,,
2019-08-30,,,,0.12358365007674722,,0.03184828692537512,0.8445680629978777,,
2019-09-30,0.295002076191117,,,,,0.017692577026274123,0.6873053467826089,,
2019-10-31,0.12218276008192433,,,,,,0.8778172399180757,,
2019-11-29,0.7585900472227551,,0.1244801907134373,,,,,,0.11692976206380745
2019-12-31,0.6720889795618185,,0.21889540541707114,,0.023114973462267617,0.03456276413808157,,0.05133787742076131,
