,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,99900.0999000999
2018-01-09,99737.4230949036
2018-01-10,99107.0667741157
2018-01-11,99717.08150881928
2018-01-12,100672.75418434762
2018-01-16,100086.05920827284
2018-01-17,101405.10929761677
2018-01-18,101526.86848242574
2018-01-19,102358.89112783763
2018-01-22,102741.70630192607
2018-01-23,103227.76066405204
2018-01-24,104098.64169101382
2018-01-25,104037.8698210589
2018-01-26,105475.82818559867
2018-01-29,103668.30754110879
2018-01-30,102253.46063859288
2018-01-31,103142.7937708769
2018-02-01,101748.15751210884
2018-02-02,99140.79004650035
2018-02-05,95041.69911575322
2018-02-06,97560.24358717422
2018-02-07,96298.00068512211
2018-02-08,92234.7193925068
2018-02-09,93827.55778498482
2018-02-12,94090.39571634975
2018-02-13,94623.25121090784
2018-02-14,96236.82520848412
2018-02-15,96349.40732917916
2018-02-16,96034.19227850361
2018-02-20,96034.02176501721
2018-02-21,95760.9978588267
2018-02-22,95749.34360096054
2018-02-23,97707.3337491722
2018-02-26,98805.17788251047
2018-02-27,97581.69477465824
2018-02-28,96955.4425088845
2018-03-01,95372.47273395999
2018-03-02,96248.05347413068
2018-03-05,97120.53101702116
2018-03-06,97531.41312371693
2018-03-07,97757.09318345404
2018-03-08,98295.25977544137
2018-03-09,100204.918326745
2018-03-12,100536.04495249288
2018-03-13,99167.29323685155
2018-03-14,99149.93501914118
2018-03-15,99063.3391756734
2018-03-16,98768.77012815465
2018-03-19,96468.29513434085
2018-03-20,96785.84380656695
2018-03-21,96364.41887026199
2018-03-22,93985.89831128811
2018-03-23,91509.23579204963
2018-03-26,91805.89643843277
2018-03-27,91240.51802459327
2018-03-28,89980.94618982282
2018-03-29,90023.88452551998
2018-04-02,88225.03350149513
2018-04-03,89099.66420993481
2018-04-04,89136.89632117606
2018-04-05,89360.18670260366
2018-04-06,87610.95085722927
2018-04-09,87733.37584022
2018-04-10,87940.91629564042
2018-04-11,88625.79135377095
2018-04-12,87595.01905525508
2018-04-13,88169.20446303525
2018-04-16,88117.31663637584
2018-04-17,88200.1680055317
2018-04-18,88269.20817944776
2018-04-19,88096.60511094378
2018-04-20,87426.90436235994
2018-04-23,87141.69605274448
2018-04-24,86785.5584075866
2018-04-25,86638.2339071902
2018-04-26,87068.02783509243
2018-04-27,87153.98900765441
2018-04-30,86362.76291319891
2018-05-01,87350.1501875047
2018-05-02,86834.99385954086
2018-05-03,86824.26467032293
2018-05-04,88471.68682603534
2018-05-07,89028.607830356
2018-05-08,88937.54029089885
2018-05-09,89906.86731248941
2018-05-10,90838.71720111243
2018-05-11,90753.02075282931
2018-05-14,90726.6911810477
2018-05-15,89721.89003288196
2018-05-16,90315.1633078161
2018-05-17,89967.73640294031
2018-05-18,89502.77673887873
2018-05-21,89825.32535596832
2018-05-22,89707.97598853066
2018-05-23,90465.42294663159
2018-05-24,90438.75185647243
2018-05-25,90529.44728006412
2018-05-29,89949.29368847713
2018-05-30,90593.41709986859
2018-05-31,90534.87676033987
2018-06-01,91956.22970151626
2018-06-04,92601.28975430576
2018-06-05,92888.16372884918
2018-06-06,93430.06145990272
2018-06-07,92670.3526399501
2018-06-08,92675.65531700068
2018-06-11,92739.68574314007
2018-06-12,93227.48619794373
2018-06-13,93222.16855003756
2018-06-14,94165.96583466754
2018-06-15,93837.24315785203
2018-06-18,93595.6483351041
2018-06-19,93330.52680416535
2018-06-20,93993.3774081593
2018-06-21,93176.73369333337
2018-06-22,92969.92137922061
2018-06-25,90693.71114033568
2018-06-26,91064.18891450492
2018-06-27,89825.78581047693
2018-06-28,90598.46046260183
2018-06-29,90841.90055243293
2018-07-02,90159.49932973411
2018-07-03,90838.49870185206
2018-07-05,91918.20118450184
2018-07-06,92407.97169262738
2018-07-09,91490.14960551851
2018-07-10,91679.0118159749
2018-07-11,91379.04208936643
2018-07-12,91656.7766014097
2018-07-13,91379.04208936643
2018-07-16,90708.67404887453
2018-07-17,90110.03020378861
2018-07-18,89710.89819666876
2018-07-19,90764.09970550655
2018-07-20,89888.30477069464
2018-07-23,89994.40307651175
2018-07-24,90365.27164321723
2018-07-25,91628.29702968242
2018-07-26,90239.99558850951
2018-07-27,89022.07279703727
2018-07-30,87588.73456848494
2018-07-31,88258.98812349324
2018-08-01,88594.09885662743
2018-08-02,89799.5845712599
2018-08-03,90074.697382935
2018-08-06,90423.8708620826
2018-08-07,90753.33221387389
2018-08-08,90863.1766829409
2018-08-09,90808.23843609412
2018-08-10,90114.33683416214
2018-08-13,89834.68287056254
2018-08-14,90397.62961594893
2018-08-15,89291.65559485534
2018-08-16,89585.57364224784
2018-08-17,89605.50110208736
2018-08-20,89490.30228657891
2018-08-21,88947.69037949914
2018-08-22,88447.69409272938
2018-08-23,88224.29720058948
2018-08-24,88745.57120560108
2018-08-27,89471.0075976904
2018-08-28,89602.07144525103
2018-08-29,90635.89329775912
2018-08-30,90475.72404388923
2018-08-31,90592.20015905521
2018-09-04,90023.6695747073
2018-09-05,88861.1579309301
2018-09-06,88066.7438994588
2018-09-07,87727.69354080224
2018-09-10,87704.61082623819
2018-09-11,87993.82982925519
2018-09-12,88015.14918617585
2018-09-13,88535.68896811311
2018-09-14,88550.90661414288
2018-09-17,87101.15504274584
2018-09-18,87821.60538941559
2018-09-19,87754.3542156249
2018-09-20,88724.63535464356
2018-09-21,88239.4870816779
2018-09-24,87770.62467591433
2018-09-25,87689.2038247717
2018-09-26,87426.80531350184
2018-09-27,87671.14012174183
2018-09-28,87680.16165114075
2018-10-01,87683.94403471805
2018-10-02,87486.12592084042
2018-10-03,87580.31855962674
2018-10-04,85898.9136032064
2018-10-05,84848.58877032287
2018-10-08,84679.06112043212
2018-10-09,84555.51133253364
2018-10-10,81878.21662961993
2018-10-11,80074.71697716655
2018-10-12,81186.83121099943
2018-10-15,81033.43628085939
2018-10-16,81042.29369464413
2018-10-17,81042.29369464413
