,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,95309.85004346838
2018-04-03,94590.87025997751
2018-04-04,94703.20638712969
2018-04-05,94216.40126562121
2018-04-06,94658.27193626881
2018-04-09,94980.31549997296
2018-04-10,95204.9991821641
2018-04-11,95946.44619108542
2018-04-12,94830.5301878078
2018-04-13,95452.14437584227
2018-04-16,95586.95344236828
2018-04-17,95676.82805803341
2018-04-18,95751.72071411599
2018-04-19,95564.48621693783
2018-04-20,94838.01545365568
2018-04-23,94081.5921990952
2018-04-24,94538.44482932537
2018-04-25,93924.31590713878
2018-04-26,93594.78136364334
2018-04-27,93991.71758343007
2018-04-30,93310.18127100878
2018-05-01,94188.43309305815
2018-05-02,93632.947301394
2018-05-03,93621.37816821419
2018-05-04,95397.77020825371
2018-05-07,96190.47902978172
2018-05-08,96092.0855980756
2018-05-09,97139.38974912978
2018-05-10,98146.20193405462
2018-05-11,98053.61166883098
2018-05-14,98221.41059966969
2018-05-15,97133.60518253989
2018-05-16,97775.88737289148
2018-05-17,97399.76034529957
2018-05-18,96896.3914526223
2018-05-21,97440.2709113215
2018-05-22,97312.97324655841
2018-05-23,98134.63280087481
2018-05-24,98105.70066797899
2018-05-25,98204.08479973883
2018-05-29,97770.09350635529
2018-05-30,98470.22136260595
2018-05-31,98406.59113011698
2018-06-01,99751.82275812488
2018-06-04,100652.67204257529
2018-06-05,100964.48878026739
2018-06-06,101553.50276429574
2018-06-07,100727.73972249115
2018-06-08,100733.50345014049
2018-06-11,101004.90912473248
2018-06-12,101536.18373725284
2018-06-13,101530.39216550859
2018-06-14,102558.30333646349
2018-06-15,102200.28396392702
2018-06-18,102141.23591995759
2018-06-19,101851.90792959933
2018-06-20,102575.27895300233
2018-06-21,101684.0730067607
2018-06-22,101458.3780546694
2018-06-25,99172.4892377652
2018-06-26,99577.60225618361
2018-06-27,98223.4232622709
2018-06-28,99068.33376001842
2018-06-29,99334.53258885957
2018-07-02,98588.3350073181
2018-07-03,99330.81270590541
2018-07-05,100511.45446699607
2018-07-06,101047.0126643103
2018-07-09,100243.67223850623
2018-07-10,100450.6042591102
2018-07-11,100121.93426474175
2018-07-12,100426.24164116022
2018-07-13,100121.93426474175
2018-07-16,99586.40110608934
2018-07-17,98929.16753166518
2018-07-18,98490.97217083453
2018-07-19,99647.25131397521
2018-07-20,98685.74166145988
2018-07-23,98478.83467951772
2018-07-24,97979.79537046666
2018-07-25,98758.74187999347
2018-07-26,99087.38683570009
2018-07-27,98028.47678870845
2018-07-30,98089.34577559069
2018-07-31,99732.46413981107
2018-08-01,99911.11628275756
2018-08-02,101270.59084106599
2018-08-03,101580.84658578133
2018-08-06,102178.77691411067
2018-08-07,102551.0675232779
2018-08-08,102675.19153381894
2018-08-09,102613.11143466934
2018-08-10,101829.00413746797
2018-08-13,101716.22498911487
2018-08-14,102353.62711467384
2018-08-15,101101.37688383862
2018-08-16,101434.16855495758
2018-08-17,101456.73162217984
2018-08-20,101366.47935329081
2018-08-21,101738.77900939758
2018-08-22,102133.63268578707
2018-08-23,101986.9727488424
2018-08-24,102934.6487129958
2018-08-27,103983.83133883071
2018-08-28,104136.15465992982
2018-08-29,105337.66965380336
2018-08-30,105151.51982574997
2018-08-31,105286.88918214398
2018-09-04,104626.13895722613
2018-09-05,103275.05978709421
2018-09-06,102351.78623871578
2018-09-07,101957.73953848812
2018-09-10,102301.11625540396
2018-09-11,103089.26382904172
2018-09-12,102785.28004462579
2018-09-13,103883.03638478984
2018-09-14,103579.04357151016
2018-09-17,102087.22247339097
2018-09-18,102931.62889699593
2018-09-19,102852.80691654116
2018-09-20,103990.02842011504
2018-09-21,103421.40863946435
2018-09-24,103709.05920937369
2018-09-25,103850.01783009074
2018-09-26,103923.3322036638
2018-09-27,104803.1498308591
2018-09-28,104780.59572923527
2018-10-01,104785.11579850799
2018-10-02,104548.71682948462
2018-10-03,104661.28004355132
2018-10-04,102651.94737720898
2018-10-05,101396.7756299599
2018-10-08,100777.64190929681
2018-10-09,101104.10406472722
2018-10-10,96657.63183849108
2018-10-11,95458.7507090994
2018-10-12,98115.39394291771
2018-10-15,96927.80337606408
2018-10-16,99747.61461182924
2018-10-17,99787.04597788399
2018-10-18,97473.74217294685
2018-10-19,97383.68799736386
2018-10-22,97884.60871727919
