,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100184.2223453885
2018-02-02,98154.84111163755
2018-02-05,94041.94568223394
2018-02-06,95895.45724585705
2018-02-07,94880.75676749957
2018-02-08,92404.89364868295
2018-02-09,92797.23599752557
2018-02-12,94217.82192668311
2018-02-13,93933.69948139453
2018-02-14,95597.8048472537
2018-02-15,96193.10307013906
2018-02-16,96626.04842756863
2018-02-20,95719.58100140787
2018-02-21,95259.57573734877
2018-02-22,95760.16428703081
2018-02-23,96517.79565240789
2018-02-26,97424.24992992597
2018-02-27,95976.63039142426
2018-02-28,95070.15639094217
2018-03-01,93286.94671190027
2018-03-02,93732.52996408167
2018-03-05,94232.11177565543
2018-03-06,94785.67902424987
2018-03-07,94758.71255048286
2018-03-08,94961.23011235456
2018-03-09,95568.83528745634
2018-03-12,95676.8258450552
2018-03-13,95042.24763500057
2018-03-14,95271.77759894013
2018-03-15,95217.76591717612
2018-03-16,95150.25787615693
2018-03-19,94380.63733932062
2018-03-20,94367.12785769379
2018-03-21,94515.64029898732
2018-03-22,92760.37218181616
2018-03-23,91734.20271778664
2018-03-26,93381.45403261561
2018-03-27,92692.84445723948
2018-03-28,93232.94159132209
2018-03-29,94083.57308961857
2018-04-02,91868.93959890476
2018-04-03,93046.39051304525
2018-04-04,94041.92735882207
2018-04-05,94784.12394255711
2018-04-06,92671.75572198242
2018-04-09,93128.49397694196
2018-04-10,94609.27055028723
2018-04-11,94113.29810216438
2018-04-12,94887.57578574259
2018-04-13,94609.27055028723
2018-04-16,95387.11553880287
2018-04-17,96407.60503569644
2018-04-18,96478.96345674188
2018-04-19,95943.75681545572
2018-04-20,95130.21413297208
2018-04-23,95115.9572355192
2018-04-24,93834.96206096688
2018-04-25,94066.93546027463
2018-04-26,95023.17650140391
2018-04-27,95112.37760828494
2018-04-30,94380.90758395588
2018-05-01,94359.68727777043
2018-05-02,93725.8404163281
2018-05-03,93519.30708206685
2018-05-04,94730.04411450934
2018-05-07,95050.51542500866
2018-05-08,95050.51542500866
2018-05-09,95969.274864269
2018-05-10,96866.64249460693
2018-05-11,97162.2110094363
2018-05-14,97208.48716751336
2018-05-15,96539.02623384378
2018-05-16,96944.99714280994
2018-05-17,96863.09461482876
2018-05-18,96620.91646414807
2018-05-21,97347.40172548263
2018-05-22,97076.74215516164
2018-05-23,97343.82310151229
2018-05-24,97144.39782448424
2018-05-25,96912.97399222992
2018-05-29,95798.31870920438
2018-05-30,97076.74215516164
2018-05-31,96482.07569224005
2018-06-01,97234.6341723484
2018-06-04,97696.61843182905
2018-06-05,97767.69812575556
2018-06-06,98585.12381074014
2018-06-07,98574.45848154699
2018-06-08,98865.87724912677
2018-06-11,98997.35289812753
2018-06-12,99125.31230223319
2018-06-13,98808.96685618241
2018-06-14,99057.779535967
2018-06-15,98931.40949910013
2018-06-18,98727.93367321602
2018-06-19,98349.48017379131
2018-06-20,98517.32103613994
2018-06-21,97899.6953817652
2018-06-22,98078.19543675394
2018-06-25,96743.08400029433
2018-06-26,96957.26197468986
2018-06-27,96154.04854655876
2018-06-28,96703.81006080285
2018-06-29,96843.03003974709
2018-07-02,96856.14046961213
2018-07-03,96514.15386885536
2018-07-05,97301.54186846313
2018-07-06,98124.49363287805
2018-07-09,99008.0697657837
2018-07-10,99364.35658882817
2018-07-11,98637.54396337352
2018-07-12,99531.78248899989
2018-07-13,99610.16118057929
2018-07-16,99521.10784769477
2018-07-17,99923.6943197735
2018-07-18,100133.88002808769
2018-07-19,99756.21942526418
2018-07-20,99642.24022312445
2018-07-23,99827.49393789124
2018-07-24,100329.851254205
2018-07-25,101184.86981258067
2018-07-26,100946.17552407409
2018-07-27,100262.15332822292
2018-07-30,99738.44060500672
2018-07-31,100230.04978850896
2018-08-01,99862.70467793888
2018-08-02,100406.7204331796
2018-08-03,100836.93582050738
2018-08-06,101206.73353573572
2018-08-07,101540.92852562475
2018-08-08,101498.29082399949
2018-08-09,101359.59605260036
2018-08-10,100680.49775096918
2018-08-13,100303.57949067297
2018-08-14,100943.60341924075
2018-08-15,100189.8341312627
2018-08-16,101000.46387483418
2018-08-17,101356.08162048532
2018-08-20,101572.92513801125
2018-08-21,101811.16085102003
2018-08-22,101750.7431789206
2018-08-23,101615.61784813917
2018-08-24,102227.16570849135
2018-08-27,103034.32380433875
2018-08-28,103084.08816308773
2018-08-29,103638.74500756721
2018-08-30,103219.17682153403
2018-08-31,103222.75848626345
2018-09-04,102839.11134705586
2018-09-05,102562.30042849416
2018-09-06,102253.58122621723
2018-09-07,102054.87880946649
2018-09-10,102232.28667097926
2018-09-11,102569.41284654269
2018-09-12,102594.26361080493
2018-09-13,103201.02728844203
2018-09-14,103218.76563465572
2018-09-17,102672.29281464455
2018-09-18,103229.44036157249
2018-09-19,103339.43274772288
2018-09-20,104176.86812426543
2018-09-21,104081.69835891947
2018-09-24,103735.92260463147
2018-09-25,103639.69146643778
2018-09-26,103329.56320020783
2018-09-27,103618.34201260423
2018-09-28,103629.0045398331
2018-10-01,103781.21053957198
2018-10-02,103720.77228631618
2018-10-03,103777.6675235169
2018-10-04,102966.57252847352
2018-10-05,102390.27844278514
2018-10-08,102390.27844278514
2018-10-09,102240.8873534522
2018-10-10,99003.61775601468
2018-10-11,96822.90354942305
2018-10-12,98167.62424608247
2018-10-15,97616.16171106196
2018-10-16,99750.62799158748
2018-10-17,99768.47700030485
2018-10-18,98327.67482186294
2018-10-19,98274.32260071729
2018-10-22,97833.19275123347
