,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,93589.85611134517
2018-04-03,95362.5493523247
2018-04-04,96589.36216554398
2018-04-05,95600.3301680343
2018-04-06,92708.91785718358
2018-04-09,93292.59998948372
2018-04-10,96275.91104692247
2018-04-11,96313.732819612
2018-04-12,98129.65285491763
2018-04-13,97405.44016006679
2018-04-16,97578.38078428723
2018-04-17,99426.73094941226
2018-04-18,98448.49561640927
2018-04-19,94189.75330855501
2018-04-20,93076.45263908681
2018-04-23,91838.81640382798
2018-04-24,91098.37526530102
2018-04-25,90984.86981093315
2018-04-26,92844.04339809771
2018-04-27,92195.51438492522
2018-04-30,91184.85561148605
2018-05-01,92043.10349497803
2018-05-02,91500.27000117081
2018-05-03,91488.96437809536
2018-05-04,93224.89554309809
2018-05-07,93999.54883868054
2018-05-08,93903.39651381061
2018-05-09,94926.84622202437
2018-05-10,95910.72624947406
2018-05-11,95820.24491238475
2018-05-14,95984.22188758588
2018-05-15,94921.19341048664
2018-05-16,95548.84634172401
2018-05-17,95181.28635807193
2018-05-18,94689.38269683285
2018-05-21,95220.87421507886
2018-05-22,95096.47600876322
2018-05-23,95899.42062639861
2018-05-24,95871.14748058857
2018-05-25,95967.29071733705
2018-05-29,95543.18444206486
2018-05-30,96227.36548867944
2018-05-31,96165.18456176452
2018-06-01,98159.50036735722
2018-06-04,98937.81044314761
2018-06-05,99408.89452529007
2018-06-06,100038.68404543021
2018-06-07,99147.74450840999
2018-06-08,98261.90691929871
2018-06-11,98072.45669955402
2018-06-12,98579.36849788198
2018-06-13,98430.8732935257
2018-06-14,99019.70146045394
2018-06-15,98932.68948176819
2018-06-18,97980.2793947244
2018-06-19,96904.959896751
2018-06-20,97370.92301751404
2018-06-21,96162.49655061658
2018-06-22,95399.55569678795
2018-06-25,92593.54772509783
2018-06-26,92922.37935902107
2018-06-27,90702.72780309834
2018-06-28,91391.22458222065
2018-06-29,91581.33393560823
2018-07-02,92010.71235307655
2018-07-03,90945.7595568371
2018-07-05,92074.5733119093
2018-07-06,93506.9187679433
2018-07-09,94348.23865044203
2018-07-10,94417.47117160505
2018-07-11,93938.22362563892
2018-07-12,95556.94265289059
2018-07-13,95636.82436042221
2018-07-16,95407.84550388539
2018-07-17,95988.23897074148
2018-07-18,95807.20280247518
2018-07-19,95327.97233619848
2018-07-20,95306.67396346127
2018-07-23,95610.19712457834
2018-07-24,96004.20848037202
2018-07-25,97346.04866203996
2018-07-26,95871.11500037626
2018-07-27,94577.1918874447
2018-07-30,93240.7061884176
2018-07-31,93954.2102149589
2018-08-01,94612.68154491608
2018-08-02,95802.59904851485
2018-08-03,96146.35709583567
2018-08-06,96661.99416681692
2018-08-07,97032.20182257974
2018-08-08,97296.61104457459
2018-08-09,97336.29631504072
2018-08-10,96556.22830645835
2018-08-13,96424.02369546093
2018-08-14,97018.95530275247
2018-08-15,96146.35709583567
2018-08-16,96569.44225287621
2018-08-17,96714.92595711032
2018-08-20,96569.44225287621
2018-08-21,96728.10733011877
2018-08-22,97018.95530275247
2018-08-23,97230.50873907587
2018-08-24,98208.90537976065
2018-08-27,99107.95319511944
2018-08-28,99279.86479218926
2018-08-29,100178.91260754805
2018-08-30,99874.80725728393
2018-08-31,99954.13436700364
2018-09-04,99326.85097704413
2018-09-05,98044.20363167334
2018-09-06,97167.69365945386
2018-09-07,96793.60532682877
2018-09-10,97119.59009822542
2018-09-11,97867.81819279978
2018-09-12,97579.2311116454
2018-09-13,98621.38636553618
2018-09-14,98332.79071282774
2018-09-17,96916.52998320381
2018-09-18,97718.1674309525
2018-09-19,97643.33776425183
2018-09-20,98722.95928081714
2018-09-21,98183.13995098045
2018-09-24,98456.22109089069
2018-09-25,98590.0401924406
2018-09-26,98659.64121118165
2018-09-27,99494.89629384442
2018-09-28,99473.48455187211
2018-10-01,99477.77568075761
2018-10-02,99253.3502608641
2018-10-03,99360.21217606554
2018-10-04,97452.65171075308
2018-10-05,96261.05410109097
2018-10-08,95673.27934977088
2018-10-09,95983.2062780248
2018-10-10,91761.94676686687
2018-10-11,90623.78866923352
2018-10-12,93145.87358237863
2018-10-15,92018.43418309202
2018-10-16,94695.42267936774
2018-10-17,94732.85685651483
2018-10-18,92536.72131536141
2018-10-19,92451.22836142905
2018-10-22,92926.77757116032
