,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99583.05311167802
2018-02-02,97610.39905520104
2018-02-05,94586.86300051837
2018-02-06,96107.45732150676
2018-02-07,95931.31520046326
2018-02-08,91569.2073793269
2018-02-09,93430.29121495834
2018-02-12,94880.42191543702
2018-02-13,95467.51717163331
2018-02-14,97234.6946605339
2018-02-15,99653.50544536722
2018-02-16,99465.63631780287
2018-02-20,99999.89796714252
2018-02-21,99313.00464390364
2018-02-22,99001.83828897293
2018-02-23,101003.81550516226
2018-02-26,101943.19500344557
2018-02-27,101074.27912567198
2018-02-28,100739.64747087908
2018-03-01,99688.77319642168
2018-03-02,101686.76172240255
2018-03-05,102659.39759492541
2018-03-06,103028.52770416572
2018-03-07,104715.98285048417
2018-03-08,105454.23180469539
2018-03-09,106801.86647083191
2018-03-12,106631.93370220208
2018-03-13,105506.9711141694
2018-03-14,105542.13816333169
2018-03-15,105430.77959574091
2018-03-16,105131.98358482517
2018-03-19,103924.96079399067
2018-03-20,103948.42426721458
2018-03-21,103567.56805349702
2018-03-22,101098.84570801194
2018-03-23,98649.46411313918
2018-03-26,102458.31912132
2018-03-27,98790.09851698006
2018-03-28,97623.98755271744
2018-03-29,99440.50869817156
2018-04-02,96990.33723157068
2018-04-03,97896.79433962211
2018-04-04,99715.53178916503
2018-04-05,99890.99323227724
2018-04-06,97703.8069873728
2018-04-09,98405.55158395106
2018-04-10,100464.10957205835
2018-04-11,100078.13486755973
2018-04-12,101592.79385895668
2018-04-13,100586.90335365206
2018-04-16,101733.12479145089
2018-04-17,104025.55642528515
2018-04-18,104475.86774170915
2018-04-19,103569.41063365771
2018-04-20,102247.75023627347
2018-04-23,102142.48236381686
2018-04-24,100399.76171836958
2018-04-25,99721.37750613186
2018-04-26,101943.63805283731
2018-04-27,101709.73068182016
2018-04-30,101575.22298276598
2018-05-01,101327.23048000904
2018-05-02,101363.75615121999
2018-05-03,101436.9182782073
2018-05-04,101400.3261362571
2018-05-07,101400.3261362571
2018-05-08,101412.52351690717
2018-05-09,101363.75615121999
2018-05-10,101363.75615121999
2018-05-11,101363.75615121999
2018-05-14,101363.75615121999
2018-05-15,101302.79140488274
2018-05-16,101302.79140488274
2018-05-17,101327.23048000904
2018-05-18,101375.94245341352
2018-05-21,101375.94245341352
2018-05-22,101375.94245341352
2018-05-23,101461.32411796397
2018-05-24,101522.21131510544
2018-05-25,101607.49327354704
2018-05-29,101900.1196245832
2018-05-30,101778.1901319087
2018-05-31,101729.46708004769
2018-06-01,100989.80971212195
2018-06-04,100259.46047012752
2018-06-05,100494.48397177111
2018-06-06,99680.1920545179
2018-06-07,100645.60477085844
2018-06-08,100343.37116722431
2018-06-11,100158.68129257398
2018-06-12,100183.90406785412
2018-06-13,100133.55445177984
2018-06-14,100964.63490408481
2018-06-15,101056.93187416697
2018-06-18,100964.63490408481
2018-06-19,101552.24162543681
2018-06-20,100662.40130045069
2018-06-21,101191.26413820253
2018-06-22,101182.86987067666
2018-06-25,101409.53907749688
2018-06-26,101552.24162543681
2018-06-27,102509.26007425146
2018-06-28,102534.4508713696
2018-06-29,102181.8516625802
2018-07-02,103736.11705096172
2018-07-03,103071.82080355684
2018-07-05,103948.23309326674
2018-07-06,105377.32080674382
2018-07-09,105918.80625366996
2018-07-10,105902.05883866626
2018-07-11,106616.59733108224
2018-07-12,109485.88763436173
2018-07-13,109541.7195034708
2018-07-16,108888.59177561675
2018-07-17,109804.08851943201
2018-07-18,109982.72046037474
2018-07-19,109357.49793843011
2018-07-20,109307.255693419
2018-07-23,109670.11992804753
2018-07-24,108358.26411959634
2018-07-25,110077.62605494406
2018-07-26,109748.27810761315
2018-07-27,106940.3556543152
2018-07-30,103205.81085223153
2018-07-31,103563.04254818166
2018-08-01,103748.55645923228
2018-08-02,105160.24645144882
2018-08-03,105482.41866656355
2018-08-06,106103.31462624636
2018-08-07,106489.9043744293
2018-08-08,106618.79580708148
2018-08-09,106554.33130191681
2018-08-10,105740.10758767501
2018-08-13,105622.99675681189
2018-08-14,106284.88056785487
2018-08-15,104984.53323305768
2018-08-16,105330.10694662259
2018-08-17,105353.53662833065
2018-08-20,105259.81790149842
2018-08-21,105646.41704410066
2018-08-22,106056.43647399166
2018-08-23,105904.14354288929
2018-08-24,106888.21835788556
2018-08-27,107977.69855731023
2018-08-28,108135.87239488785
2018-08-29,109383.53582630941
2018-08-30,109190.23625500829
2018-08-31,109330.80495083735
2018-09-04,109268.40098603495
2018-09-05,107568.19938411767
2018-09-06,106992.51235207489
2018-09-07,106664.32701497652
2018-09-10,107057.08906099552
2018-09-11,107734.99991032142
2018-09-12,107525.16285032622
2018-09-13,108768.03446059724
2018-09-14,108870.25827788035
2018-09-17,107223.8720606125
2018-09-18,107928.7037472032
2018-09-19,107396.06201224524
2018-09-20,108558.18863730866
2018-09-21,108386.03373884945
2018-09-24,108784.91256364802
2018-09-25,108822.69112141119
2018-09-26,108309.90700925337
2018-09-27,108849.67330172964
2018-09-28,109335.4839968624
2018-10-01,108834.8815400986
2018-10-02,107237.79848592849
2018-10-03,107679.6393393359
2018-10-04,105305.36247003243
2018-10-05,104661.21713140042
2018-10-08,102020.7103015432
2018-10-09,101706.62831664333
2018-10-10,96803.64257985805
2018-10-11,96271.26450955121
2018-10-12,99699.63645268012
2018-10-15,98209.04129019147
2018-10-16,101988.78848927894
2018-10-17,101834.39741650096
2018-10-18,99098.08422445066
2018-10-19,97357.27116429081
2018-10-22,98437.95751698637
