,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,98811.43865555136
2018-02-02,97260.64904476161
2018-02-05,95332.91174109693
2018-02-06,96570.81541930456
2018-02-07,95455.81552515204
2018-02-08,93021.45738462111
2018-02-09,93714.404581798
2018-02-12,94864.20377381121
2018-02-13,95327.28689203091
2018-02-14,95954.57362280891
2018-02-15,97153.67571818172
2018-02-16,97100.6432064476
2018-02-20,97047.73691571083
2018-02-21,96408.37688715532
2018-02-22,96515.47700684638
2018-02-23,98047.23551233388
2018-02-26,98849.35281922689
2018-02-27,98047.27423197558
2018-02-28,97909.80624589109
2018-03-01,96791.82742090929
2018-03-02,97258.9245885621
2018-03-05,97882.05716106041
2018-03-06,98138.35587859649
2018-03-07,98267.75399312755
2018-03-08,98656.2018922559
2018-03-09,99739.90410129506
2018-03-12,100084.51327288794
2018-03-13,99304.86460044642
2018-03-14,99360.38645025576
2018-03-15,99311.45737078047
2018-03-16,99110.61526383163
2018-03-19,97790.85056500768
2018-03-20,97921.6533016919
2018-03-21,97661.60576256811
2018-03-22,96288.0622580715
2018-03-23,94781.42307135947
2018-03-26,96835.28724060894
2018-03-27,95080.66047895595
2018-03-28,94459.97905837832
2018-03-29,95585.14810174456
2018-04-02,93168.92960935258
2018-04-03,94168.83939837108
2018-04-04,94904.71063960751
2018-04-05,94269.47471961063
2018-04-06,92654.31144951016
2018-04-09,93029.74896468972
2018-04-10,94755.99727313852
2018-04-11,94810.33660455517
2018-04-12,95792.86275243944
2018-04-13,95377.59892962108
2018-04-16,95486.44984194671
2018-04-17,96584.33263832674
2018-04-18,95901.9516011127
2018-04-19,93304.27076640807
2018-04-20,92545.99627624002
2018-04-23,91800.1966736065
2018-04-24,91314.74012393621
2018-04-25,91198.0667118914
2018-04-26,92355.821801649
2018-04-27,92020.70226699539
2018-04-30,91433.3618676159
2018-05-01,91853.21956669842
2018-05-02,91876.43546441339
2018-05-03,92142.86769294938
2018-05-04,93193.6808344305
2018-05-07,93665.70247211424
2018-05-08,93822.32085082392
2018-05-09,94492.24278420609
2018-05-10,95259.47978418625
2018-05-11,95093.3559356862
2018-05-14,94940.58763086415
2018-05-15,94230.02097462976
2018-05-16,94458.74447100461
2018-05-17,94148.9280156294
2018-05-18,94064.99248441611
2018-05-21,94541.7405662901
2018-05-22,94389.6544158847
2018-05-23,95003.36000415953
2018-05-24,95055.25351794003
2018-05-25,95211.90829081874
2018-05-29,95277.5612690512
2018-05-30,95548.49290015866
2018-05-31,95469.66042293582
2018-06-01,96111.51671180804
2018-06-04,96324.6582683266
2018-06-05,96734.64241459256
2018-06-06,96769.44082225637
2018-06-07,96460.24487653864
2018-06-08,96356.15720757251
2018-06-11,96280.59284502886
2018-06-12,96683.63735788726
2018-06-13,96549.15764051462
2018-06-14,97176.63369988618
2018-06-15,96986.35671056152
2018-06-18,97039.18863380936
2018-06-19,96850.55528470434
2018-06-20,96678.95450117874
2018-06-21,96355.82278795142
2018-06-22,96043.41646865744
2018-06-25,94785.31251197375
2018-06-26,95138.76450648688
2018-06-27,94623.35935722644
2018-06-28,95274.30417581301
2018-06-29,95176.4001317696
2018-07-02,95338.36101292688
2018-07-03,94877.66065542401
2018-07-05,95691.02990371929
2018-07-06,96709.32118981701
2018-07-09,96986.76393666222
2018-07-10,97026.83067893058
2018-07-11,96875.01151790538
2018-07-12,97881.24185401725
2018-07-13,98028.04025427593
2018-07-16,97725.71587732337
2018-07-17,98015.65482123318
2018-07-18,97749.45886301267
2018-07-19,97691.54672048516
2018-07-20,97208.99229243913
2018-07-23,96932.09670647496
2018-07-24,97306.05262924233
2018-07-25,98083.3059476683
2018-07-26,97091.65083393581
2018-07-27,96347.40653653101
2018-07-30,95385.7646842456
2018-07-31,96034.02986351671
2018-08-01,95748.16924039219
2018-08-02,96588.16895369456
2018-08-03,96956.81191724638
2018-08-06,97324.73357430534
2018-08-07,97340.80318688205
2018-08-08,97451.03890380907
2018-08-09,97736.16539390336
2018-08-10,97562.40412592725
2018-08-13,97417.00756335152
2018-08-14,97698.5888517937
2018-08-15,97199.7976414922
2018-08-16,97388.8513882418
2018-08-17,97450.0296434579
2018-08-20,97657.91039264182
2018-08-21,97741.39987235048
2018-08-22,98123.59453161887
2018-08-23,98099.84321865282
2018-08-24,98724.41818318752
2018-08-27,99105.8779822411
2018-08-28,98959.56112036231
2018-08-29,99705.09529176902
2018-08-30,99680.99618869388
2018-08-31,99669.32977315685
2018-09-04,99325.50495071364
2018-09-05,98290.06537809603
2018-09-06,98120.18747654502
2018-09-07,97604.52434751019
2018-09-10,97964.36725377681
2018-09-11,98035.25413313956
2018-09-12,98012.78497041296
2018-09-13,98751.90881108634
2018-09-14,98619.975873335
2018-09-17,97719.43803737941
2018-09-18,97696.27655976702
2018-09-19,97174.2491769657
2018-09-20,97987.87857390166
2018-09-21,97877.23791472818
2018-09-24,97996.55601086147
2018-09-25,97977.6504907532
2018-09-26,97967.42200768742
2018-09-27,98289.03915710791
2018-09-28,98452.58081470498
2018-10-01,98353.07890981458
2018-10-02,98322.22837311149
2018-10-03,98394.58684008924
2018-10-04,97240.62805310343
2018-10-05,96389.32783824872
2018-10-08,95620.57794917468
2018-10-09,95825.01201000657
2018-10-10,93174.05610360124
2018-10-11,92533.10377427627
2018-10-12,94191.60365569984
2018-10-15,93376.76547822432
2018-10-16,95087.20457686132
2018-10-17,94810.86368932782
2018-10-18,93658.41678144144
2018-10-19,93467.63428258884
2018-10-22,93902.55972476478
