,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,99083.38574620111
2018-03-02,98277.86458526351
2018-03-05,98012.1544524512
2018-03-06,98103.50549580505
2018-03-07,97995.55602758037
2018-03-08,98560.22886907333
2018-03-09,97912.50817709956
2018-03-12,98477.17305771727
2018-03-13,98975.44423885166
2018-03-14,99847.35113839734
2018-03-15,99847.35113839734
2018-03-16,99490.2740404807
2018-03-19,99174.7686330559
2018-03-20,98776.15964902363
2018-03-21,98884.07727374735
2018-03-22,99863.98140676912
2018-03-23,99789.25267091181
2018-03-26,99407.24211175037
2018-03-27,100470.13040825103
2018-03-28,100735.88034543954
2018-03-29,101225.83241195043
2018-04-02,101222.91433364736
2018-04-03,100442.2336961044
2018-04-04,100234.59192101374
2018-04-05,99487.10536559547
2018-04-06,100575.1053642359
2018-04-09,100741.18700443087
2018-04-10,100558.53215808174
2018-04-11,100915.58702758049
2018-04-12,100176.43474505568
2018-04-13,100408.944274347
2018-04-16,100442.2336961044
2018-04-17,100716.30336029144
2018-04-18,99910.73907860905
2018-04-19,99096.7610743393
2018-04-20,98382.57188564785
2018-04-23,98407.4237499097
2018-04-24,97958.94611760366
2018-04-25,97302.8823249927
2018-04-26,97983.90126646763
2018-04-27,98739.65059005479
2018-04-30,98914.04266823502
2018-05-01,98360.93501158815
2018-05-02,98252.93280411926
2018-05-03,98693.17996404109
2018-05-04,98842.66719826845
2018-05-07,98684.87027213686
2018-05-08,98593.5112357624
2018-05-09,98003.68169246928
2018-05-10,98792.86455051042
2018-05-11,99042.07601668377
2018-05-14,98518.71607952908
2018-05-15,97397.312056321
2018-05-16,97023.48692796564
2018-05-17,96533.42919119047
2018-05-18,97364.05743051345
2018-05-21,97413.88386555747
2018-05-22,97264.37284404412
2018-05-23,97970.51428671036
2018-05-24,98751.30816189399
2018-05-25,99366.02713542314
2018-05-29,101542.42107936819
2018-05-30,100861.24042879594
2018-05-31,100695.09416528347
2018-06-01,102311.49796807936
2018-06-04,103168.12612850557
2018-06-05,103733.7439330023
2018-06-06,104332.25723460372
2018-06-07,103151.66044347716
2018-06-08,103168.12612850557
2018-06-11,103157.16694162936
2018-06-12,103849.0306329152
2018-06-13,103645.85520027993
2018-06-14,104200.4689767103
2018-06-15,103805.07729831597
2018-06-18,103958.85567586604
2018-06-19,103239.50433500939
2018-06-20,103525.04406573878
2018-06-21,102608.02379039905
2018-06-22,102064.38713732093
2018-06-25,99703.20252330585
2018-06-26,100230.36452311755
2018-06-27,98692.81392180565
2018-06-28,99820.48017206205
2018-06-29,99881.05165173623
2018-07-02,100349.34323529678
2018-07-03,99187.87723915129
2018-07-05,100418.99170462556
2018-07-06,101981.1459595292
2018-07-09,102898.71192006186
2018-07-10,102974.21875890225
2018-07-11,102451.53857031415
2018-07-12,104216.95682556966
2018-07-13,104304.07795182017
2018-07-16,104054.34748804476
2018-07-17,104687.34012257161
2018-07-18,104489.89723659932
2018-07-19,103967.23567557725
2018-07-20,103944.00710075698
2018-07-23,104275.03757640334
2018-07-24,104704.75689679531
2018-07-25,106168.20367938731
2018-07-26,104559.60158862614
2018-07-27,103148.41444248825
2018-07-30,101690.80740184184
2018-07-31,102468.97397210386
2018-08-01,102652.52806297623
2018-08-02,104049.30457233591
2018-08-03,104368.07327121578
2018-08-06,104982.40991454608
2018-08-07,105364.91562188865
2018-08-08,105492.44540985831
2018-08-09,105428.66192552538
2018-08-10,104623.03989541462
2018-08-13,104507.166255704
2018-08-14,105162.0577434156
2018-08-15,103875.4476368997
2018-08-16,104217.3706143388
2018-08-17,104240.55277842015
2018-08-20,104147.8241220947
2018-08-21,104530.3391246113
2018-08-22,104936.02699603525
2018-08-23,104785.34292950635
2018-08-24,105759.02170644594
2018-08-27,106836.99233622954
2018-08-28,106993.4951817139
2018-08-29,108227.9779521559
2018-08-30,108036.72045089758
2018-08-31,108175.80414021175
2018-09-04,108114.05942812379
2018-09-05,106431.81922536866
2018-09-06,105862.21391008425
2018-09-07,105537.49561350163
2018-09-10,105926.10841282169
2018-09-11,106596.8576247586
2018-09-12,106389.23734140291
2018-09-13,107618.97891281606
2018-09-14,107720.12280946856
2018-09-17,106091.12947078056
2018-09-18,106788.51512082435
2018-09-19,106261.50036022121
2018-09-20,107411.34995874485
2018-09-21,107241.01375216633
2018-09-24,107635.67871092602
2018-09-25,107673.05816557402
2018-09-26,107165.6912463609
2018-09-27,107699.75529868959
2018-09-28,108180.43375550269
2018-10-01,108161.45655627894
2018-10-02,108022.91575960274
2018-10-03,108497.26871721669
2018-10-04,106589.12668139681
2018-10-05,105187.34649806317
2018-10-08,103806.86231102061
2018-10-09,104078.67398899664
2018-10-10,99244.37899022516
2018-10-11,97858.6162344148
2018-10-12,100875.38751234411
2018-10-15,99430.98937625405
2018-10-16,102522.39615520347
2018-10-17,102159.89693511835
2018-10-18,100097.21398188184
2018-10-19,99809.38487638252
2018-10-22,100619.55864832566
