,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,97374.45260312605
2018-03-02,97839.62018990557
2018-03-05,98585.39487795418
2018-03-06,98921.64849733804
2018-03-07,99066.80712672812
2018-03-08,99618.48224825544
2018-03-09,100913.21632184733
2018-03-12,101460.49075875747
2018-03-13,100538.90121860983
2018-03-14,100743.61079900233
2018-03-15,100677.42430526031
2018-03-16,100363.01151765807
2018-03-19,98673.45976623491
2018-03-20,98817.00060325596
2018-03-21,98521.23380235345
2018-03-22,96944.63160720693
2018-03-23,95029.20965905479
2018-03-26,97537.8478011708
2018-03-27,95451.43377747519
2018-03-28,94708.78152540996
2018-03-29,96104.59563760902
2018-04-02,93211.16509119005
2018-04-03,94336.32127692083
2018-04-04,95193.95070388512
2018-04-05,94285.39766640583
2018-04-06,92406.17833895082
2018-04-09,92877.08146256856
2018-04-10,95039.12179587783
2018-04-11,95151.8289721859
2018-04-12,96318.79712816105
2018-04-13,95838.61406770808
2018-04-16,95974.36063884235
2018-04-17,97405.79276983108
2018-04-18,96491.43623656267
2018-04-19,93149.98867122132
2018-04-20,92157.47399948904
2018-04-23,91248.45788415468
2018-04-24,90594.64441737611
2018-04-25,90355.0182068476
2018-04-26,91891.0416893804
2018-04-27,91590.99929810781
2018-04-30,90885.2684965335
2018-05-01,91441.74472256716
2018-05-02,91436.83514323918
2018-05-03,91752.83349267955
2018-05-04,93088.36379557115
2018-05-07,93660.9382369653
2018-05-08,93910.5173604603
2018-05-09,94710.14288520087
2018-05-10,95750.92450957543
2018-05-11,95597.2643892772
2018-05-14,95385.52182742512
2018-05-15,94495.25444331142
2018-05-16,94787.40027155232
2018-05-17,94316.70025989349
2018-05-18,94228.9694215691
2018-05-21,94801.48328440683
2018-05-22,94596.0192598033
2018-05-23,95315.28396638075
2018-05-24,95442.9467881856
2018-05-25,95600.05505949413
2018-05-29,95690.14848851386
2018-05-30,96066.883993211
2018-05-31,95953.09225398072
2018-06-01,97493.37526871011
2018-06-04,98309.66251275215
2018-06-05,98848.64385861877
2018-06-06,99418.97156445048
2018-06-07,98293.97224097027
2018-06-08,98309.66251275215
2018-06-11,98299.21942336355
2018-06-12,98958.50139879089
2018-06-13,98764.89404191812
2018-06-14,99293.38956889784
2018-06-15,98916.6179445409
2018-06-18,99063.15448606803
2018-06-19,98377.6793281726
2018-06-20,98649.77222755339
2018-06-21,97775.93689517849
2018-06-22,97257.90154938669
2018-06-25,95007.91144832593
2018-06-26,95510.24797643619
2018-06-27,94045.10475455607
2018-06-28,95119.66617822331
2018-06-29,95177.38518454945
2018-07-02,95623.62366212012
2018-07-03,94516.85421320258
2018-07-05,95689.9921983259
2018-07-06,97178.58042179662
2018-07-09,98052.93574158596
2018-07-10,98124.88676097887
2018-07-11,97626.82098358759
2018-07-12,99309.10096075648
2018-07-13,99392.1193196317
2018-07-16,99154.14933283236
2018-07-17,99757.33264737544
2018-07-18,99569.18787617642
2018-07-19,99071.13984912913
2018-07-20,99049.00517016454
2018-07-23,99364.44653333996
2018-07-24,99773.92921901289
2018-07-25,101168.4583696421
2018-07-26,99635.6096634142
2018-07-27,98290.87910286931
2018-07-30,96901.91468508323
2018-07-31,97643.43530556903
2018-08-01,97818.34534226022
2018-08-02,99149.34390154245
2018-08-03,99453.1009278887
2018-08-06,100038.50681187065
2018-08-07,100402.99930009527
2018-08-08,100524.5233684883
2018-08-09,100463.743619413
2018-08-10,99696.0604902809
2018-08-13,99585.64365087949
2018-08-14,100209.69454290798
2018-08-15,98983.67435524339
2018-08-16,99309.49526310328
2018-08-17,99331.58571693506
2018-08-20,99243.2239016079
2018-08-21,99607.72524727188
2018-08-22,99994.3081893283
2018-08-23,99850.72023942163
2018-08-24,100778.54587267515
2018-08-27,101805.7519758536
2018-08-28,101954.88468281667
2018-08-29,103131.2323503976
2018-08-30,102948.98167756559
2018-08-31,103081.51554311697
2018-09-04,103022.67855503641
2018-09-05,101419.65955290545
2018-09-06,100876.87847882322
2018-09-07,100567.45203727877
2018-09-10,100937.76401814874
2018-09-11,101576.92585165998
2018-09-12,101379.08296400224
2018-09-13,102550.91270832601
2018-09-14,102647.29346775501
2018-09-17,101095.01379212669
2018-09-18,101759.55768247168
2018-09-19,101257.36145968095
2018-09-20,102353.06155827998
2018-09-21,102190.7469402789
2018-09-24,102566.82606817686
2018-09-25,102602.44522410471
2018-09-26,102118.9715731842
2018-09-27,102627.88511765652
2018-09-28,103085.92713741353
2018-10-01,103067.84362537226
2018-10-02,102935.82708618922
2018-10-03,103387.84149146074
2018-10-04,101569.55897914497
2018-10-05,100233.79238230924
2018-10-08,98918.31889621238
2018-10-09,99177.33023364391
2018-10-10,94570.6951453577
2018-10-11,93250.19167244626
2018-10-12,96124.89510402724
2018-10-15,94748.51754807367
2018-10-16,97694.341694861
2018-10-17,97348.91353477874
2018-10-18,95383.36785111569
2018-10-19,95109.09338975987
2018-10-22,95881.1139069999
