,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,96026.20872616922
2018-04-03,95285.60762470242
2018-04-04,95088.6260166704
2018-04-05,94379.51483899767
2018-04-06,95411.65776484887
2018-04-09,95569.2129029511
2018-04-10,95395.93541419439
2018-04-11,95734.65936470396
2018-04-12,95033.45458484357
2018-04-13,95254.02725593816
2018-04-16,95285.60762470242
2018-04-17,95545.60676572683
2018-04-18,94781.39952703576
2018-04-19,94009.21051972384
2018-04-20,93331.68724789623
2018-04-23,93355.2632367971
2018-04-24,92929.81009693899
2018-04-25,92307.42810861481
2018-04-26,92953.48406789091
2018-04-27,93670.43380964834
2018-04-30,93835.87273432034
2018-05-01,93311.16119410378
2018-05-02,93208.70373587344
2018-05-03,93626.34894939109
2018-05-04,93768.16162540732
2018-05-07,93618.46587059913
2018-05-08,93531.79713601795
2018-05-09,92972.2489822231
2018-05-10,93720.91580680774
2018-05-11,93957.33295034933
2018-05-14,93460.84190486849
2018-05-15,92397.00989106178
2018-05-16,92042.37665372765
2018-05-17,91577.47809958867
2018-05-18,92365.46253185041
2018-05-21,92412.73091651524
2018-05-22,92270.89567443378
2018-05-23,92940.78436525096
2018-05-24,93681.49289082614
2018-05-25,94264.65267088816
2018-05-29,96329.31224433977
2018-05-30,95683.1028779855
2018-05-31,95525.4864342766
2018-06-01,96831.33296504722
2018-06-04,97705.80758217232
2018-06-05,98008.49508718916
2018-06-06,98580.26418003888
2018-06-07,97778.677463723
2018-06-08,97784.27244350081
2018-06-11,98047.73202266805
2018-06-12,98563.45221181762
2018-06-13,98557.830203152
2018-06-14,99555.64664500863
2018-06-15,99208.10920547655
2018-06-18,99150.78994404909
2018-06-19,98869.9327707579
2018-06-20,99572.12525694683
2018-06-21,98707.01164463517
2018-06-22,98487.92448963175
2018-06-25,96268.96091552803
2018-06-26,96662.21321398545
2018-06-27,95347.68127433571
2018-06-28,96167.85485583941
2018-06-29,96426.26003298516
2018-07-02,96878.3538511912
2018-07-03,95757.06187126391
2018-07-05,96945.59324548407
2018-07-06,98453.71405422561
2018-07-09,99339.5422713357
2018-07-10,99412.43739964972
2018-07-11,98907.8362271008
2018-07-12,100612.19032563202
2018-07-13,100696.2980140802
2018-07-16,100455.20549212588
2018-07-17,101066.30350687921
2018-07-18,100875.68998459862
2018-07-19,100371.10679530574
2018-07-20,100348.68167503743
2018-07-23,100668.2621179308
2018-07-24,101083.11785126642
2018-07-25,102495.94538630969
2018-07-26,100942.98332865955
2018-07-27,99580.60781840597
2018-07-30,98173.41803412783
2018-07-31,98924.66855474404
2018-08-01,98583.29732335727
2018-08-02,99551.94684314779
2018-08-03,99759.51694200806
2018-08-06,100360.92402615292
2018-08-07,101159.2528854073
2018-08-08,101393.43722870998
2018-08-09,100392.86243247069
2018-08-10,97902.06720068873
2018-08-13,98045.76705184797
2018-08-14,97848.84527673844
2018-08-15,96491.68293353874
2018-08-16,96369.26660001202
2018-08-17,95650.74764941235
2018-08-20,95565.61357888227
2018-08-21,97428.3809171425
2018-08-22,97886.10784493158
2018-08-23,97997.85615990407
2018-08-24,99418.9018806738
2018-08-27,100999.58711355642
2018-08-28,101388.11963176909
2018-08-29,101654.23581645505
2018-08-30,100744.12581755572
2018-08-31,101292.29784788129
2018-09-04,100656.61652891243
2018-09-05,99356.79738922529
2018-09-06,98468.55289854012
2018-09-07,98089.45635541418
2018-09-10,98419.80533764782
2018-09-11,99178.05054174813
2018-09-12,98885.59992162659
2018-09-13,99941.70731577644
2018-09-14,99649.24800934683
2018-09-17,98214.0266994549
2018-09-18,99026.39628914323
2018-09-19,98950.56481968674
2018-09-20,100044.64006641325
2018-09-21,99497.59375674192
2018-09-24,99774.33084556372
2018-09-25,99909.94148716218
2018-09-26,99980.4743086956
2018-09-27,100826.91159863689
2018-09-28,100805.21320107648
2018-10-01,100809.56177863081
2018-10-02,100582.13180166738
2018-10-03,100690.4243601666
2018-10-04,98757.32590417059
2018-10-05,97549.7754535855
2018-10-08,96954.1317060285
2018-10-09,97268.20786632525
2018-10-10,92990.43508178536
2018-10-11,91837.0395794027
2018-10-12,94392.88959839176
2018-10-15,93250.3562938797
2018-10-16,95963.18371034748
2018-10-17,96001.11904784289
2018-10-18,93775.58213776322
2018-10-19,93688.94462338272
2018-10-22,94170.86037902879
