,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,90609.04332106184
2018-04-03,92325.27673930509
2018-04-04,93513.01588068779
2018-04-05,92555.48429733269
2018-04-06,89756.16272319507
2018-04-09,90321.25473005096
2018-04-10,93209.54809938869
2018-04-11,93246.16525836826
2018-04-12,95004.24870868192
2018-04-13,94303.1020014647
2018-04-16,94470.53451138671
2018-04-17,96260.01520024528
2018-04-18,95312.93641041567
2018-04-19,91189.83394719017
2018-04-20,90111.99161704279
2018-04-23,88913.77377682229
2018-04-24,88196.91549767644
2018-04-25,88087.02516276922
2018-04-26,89886.9845504656
2018-04-27,89259.11101917604
2018-04-30,88280.64146712958
2018-05-01,88065.10723959323
2018-05-02,88096.85228124644
2018-05-03,88160.43864918023
2018-05-04,88128.63583675059
2018-05-07,88128.63583675059
2018-05-08,88139.23677422713
2018-05-09,88096.85228124644
2018-05-10,88096.85228124644
2018-05-11,88096.85228124644
2018-05-14,88096.85228124644
2018-05-15,88043.86685078919
2018-05-16,88043.86685078919
2018-05-17,88065.10723959323
2018-05-18,88107.44359026024
2018-05-21,88107.44359026024
2018-05-22,88107.44359026024
2018-05-23,88181.65015259606
2018-05-24,88234.56818381413
2018-05-25,88308.68808998528
2018-05-29,88563.01430479498
2018-05-30,88457.0434438805
2018-05-31,88414.69746475074
2018-06-01,89623.33853283801
2018-06-04,90432.71843342522
2018-06-05,90712.87428691922
2018-06-06,91242.0816560833
2018-06-07,90500.1639788193
2018-06-08,90505.34247581358
2018-06-11,90749.19047759568
2018-06-12,91226.52114820677
2018-06-13,91221.31763431881
2018-06-14,92144.85795978793
2018-06-15,91823.19074069406
2018-06-18,91770.13824813755
2018-06-19,91510.18770578224
2018-06-20,92160.10992597559
2018-06-21,91359.39420957043
2018-06-22,91156.6156082663
2018-06-25,89102.82870371424
2018-06-26,89466.80782900612
2018-06-27,88250.12788221677
2018-06-28,89009.24884337641
2018-06-29,89248.41868603809
2018-07-02,89666.85924734184
2018-07-03,88629.03473709313
2018-07-05,89729.0934313908
2018-07-06,91124.9517517451
2018-07-09,91944.84010557635
2018-07-10,92012.3090183986
2018-07-11,91545.26967971944
2018-07-12,93122.75394720992
2018-07-13,93200.60077224253
2018-07-16,92977.45485396165
2018-07-17,93543.06355288095
2018-07-18,93366.63904530491
2018-07-19,92899.61635123234
2018-07-20,92878.86052681162
2018-07-23,93174.651830565
2018-07-24,93558.62626004484
2018-07-25,94866.28481006608
2018-07-26,93428.92316317363
2018-07-27,92167.96105694734
2018-07-30,90865.52059109282
2018-07-31,91560.84903148991
2018-08-01,91724.86324722758
2018-08-02,92972.9487715252
2018-08-03,93257.78360086633
2018-08-06,93806.72229395591
2018-08-07,94148.50913894971
2018-08-08,94262.46300430692
2018-08-09,94205.46946027767
2018-08-10,93485.6082748276
2018-08-13,93382.06972631862
2018-08-14,93967.2460808188
2018-08-15,92817.59942038516
2018-08-16,93123.12368694239
2018-08-17,93143.83804118444
2018-08-20,93060.98062421624
2018-08-21,93402.77577488535
2018-08-22,93765.27697412118
2018-08-23,93630.63367154787
2018-08-24,94500.66146673984
2018-08-27,95463.87893899505
2018-08-28,95603.72159431718
2018-08-29,96706.79002756982
2018-08-30,96535.89245223528
2018-08-31,96660.17027201224
2018-09-04,96053.55885302217
2018-09-05,94813.18083776909
2018-09-06,93965.55603769056
2018-09-07,93603.7956947362
2018-09-10,93919.03771757829
2018-09-11,94642.60813797038
2018-09-12,94363.531373619
2018-09-13,95371.3426555524
2018-09-14,95092.25760212047
2018-09-17,93722.66939907157
2018-09-18,94497.88908044362
2018-09-19,94425.52540713997
2018-09-20,95469.56826020859
2018-09-21,94947.53854459371
2018-09-24,95211.62036220898
2018-09-25,95341.02948793827
2018-09-26,95408.33682209929
2018-09-27,96216.06627743434
2018-09-28,96195.3601541912
2018-10-01,96199.50986997191
2018-10-02,95982.48033499917
2018-10-03,96085.8206418747
2018-10-04,94241.12336597963
2018-10-05,93088.79456462407
2018-10-08,92520.3897867328
2018-10-09,92820.10314873252
2018-10-10,88737.95421417506
2018-10-11,87637.30383877622
2018-10-12,90076.27405935728
2018-10-15,88985.98915021805
2018-10-16,91574.75814416622
2018-10-17,91610.95868714471
2018-10-18,89487.19625657954
2018-10-19,89404.52070207153
2018-10-22,89864.39830369798
