,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99306.71293510083
2018-02-02,97431.61024566791
2018-02-05,93335.3787061937
2018-02-06,95821.52776122396
2018-02-07,95098.81360289827
2018-02-08,91281.39303790354
2018-02-09,92677.5568170026
2018-02-12,94188.02470420554
2018-02-13,94386.62267326922
2018-02-14,96022.85436852842
2018-02-15,97171.30067588128
2018-02-16,96906.60629193518
2018-02-20,97052.44196742927
2018-02-21,96637.1798954998
2018-02-22,96818.13871698208
2018-02-23,98229.57911029976
2018-02-26,99664.40078798345
2018-02-27,98440.95182279103
2018-02-28,97532.50233720543
2018-03-01,96201.82010511425
2018-03-02,97420.08810129463
2018-03-05,98408.76353689708
2018-03-06,99245.52142460723
2018-03-07,99675.79158097641
2018-03-08,100046.75848313817
2018-03-09,101679.94797251403
2018-03-12,102095.74546334293
2018-03-13,100967.11911970525
2018-03-14,100934.42169296778
2018-03-15,100837.87237357747
2018-03-16,100692.99835360338
2018-03-19,99248.02881076736
2018-03-20,99693.40257766716
2018-03-21,99608.66748815557
2018-03-22,97234.17377544525
2018-03-23,94728.49535525423
2018-03-26,98200.31349590787
2018-03-27,95175.07050748346
2018-03-28,93728.3502969424
2018-03-29,95424.05569417654
2018-04-02,96346.31032105905
2018-04-03,95619.5118914824
2018-04-04,95733.06963354087
2018-04-05,95240.97068173952
2018-04-06,95687.64653671748
2018-04-09,96013.19220813958
2018-04-10,96240.3192444175
2018-04-11,96989.82922240585
2018-04-12,95861.77803467461
2018-04-13,96490.15205302663
2018-04-16,96626.42711957727
2018-04-17,96717.27908930455
2018-04-18,96792.98617603703
2018-04-19,96603.71557116558
2018-04-20,95869.34470009153
2018-04-23,95104.69561518886
2018-04-24,95566.51635316161
2018-04-25,94945.70900022652
2018-04-26,94612.59088730703
2018-04-27,95013.8436454616
2018-04-30,94324.89587121095
2018-05-01,94094.60479911201
2018-05-02,94128.52330829593
2018-05-03,94196.46320354939
2018-05-04,94162.4829682341
2018-05-07,94162.4829682341
2018-05-08,94173.80971333919
2018-05-09,94128.52330829593
2018-05-10,94128.52330829593
2018-05-11,94128.52330829593
2018-05-14,94128.52330829593
2018-05-15,94071.91015814758
2018-05-16,94071.91015814758
2018-05-17,94094.60479911201
2018-05-18,94139.83976571247
2018-05-21,94139.83976571247
2018-05-22,94139.83976571247
2018-05-23,94219.12698144812
2018-05-24,94275.66811777656
2018-05-25,94354.86274431516
2018-05-29,94626.60174995183
2018-05-30,94513.37544965513
2018-05-31,94468.13019536612
2018-06-01,95896.39226361047
2018-06-04,96659.32273638222
2018-06-05,97194.23760425302
2018-06-06,97804.00713745113
2018-06-07,96620.92604937668
2018-06-08,96804.01216383626
2018-06-11,96925.87984043465
2018-06-12,97631.13135658545
2018-06-13,97524.92225009082
2018-06-14,98106.30053215621
2018-06-15,97772.68224129826
2018-06-18,98057.84096655162
2018-06-19,97423.75791372109
2018-06-20,97462.20416840685
2018-06-21,96576.85402390207
2018-06-22,95748.24134602885
2018-06-25,93709.31158821097
2018-06-26,94163.38023698876
2018-06-27,92546.06261651
2018-06-28,93834.37487941918
2018-06-29,93965.203555382
2018-07-02,94568.80150121516
2018-07-03,93843.66151301225
2018-07-05,94652.81073203319
2018-07-06,95826.7001614082
2018-07-09,96657.93537703443
2018-07-10,96745.11448218855
2018-07-11,96725.87042842002
2018-07-12,98370.65446386779
2018-07-13,98486.58206953167
2018-07-16,98288.1518758277
2018-07-17,98798.733879861
2018-07-18,98771.55103067777
2018-07-19,98341.64381927166
2018-07-20,98175.96548310228
2018-07-23,98356.68357262173
2018-07-24,97994.93563695146
2018-07-25,99215.41414702823
2018-07-26,98441.27215846525
2018-07-27,97055.0919184434
2018-07-30,95198.71884372317
2018-07-31,95700.95711045385
2018-08-01,96180.23604079962
2018-08-02,97622.5124796655
2018-08-03,97766.06944343857
2018-08-06,98378.82159812158
2018-08-07,98722.26272661565
2018-08-08,98895.59050963249
2018-08-09,99055.81487687583
2018-08-10,98603.27499587633
2018-08-13,98351.17179677082
2018-08-14,99009.07304295964
2018-08-15,97847.600887667
2018-08-16,98306.86419149736
2018-08-17,98313.68227204224
2018-08-20,98341.5479813022
2018-08-21,98633.71531995332
2018-08-22,99270.81436094681
2018-08-23,99489.52727701615
2018-08-24,101054.36178048936
2018-08-27,101637.88175311525
2018-08-28,101982.91600720366
2018-08-29,103093.71403378327
2018-08-30,102631.1899627546
2018-08-31,102826.58927429738
2018-09-04,102874.0757914668
2018-09-05,101056.22847129326
2018-09-06,100966.08774266628
2018-09-07,101052.7298190788
2018-09-10,101592.86276368826
2018-09-11,102436.76925118886
2018-09-12,102663.54895652909
2018-09-13,103247.938364239
2018-09-14,103331.82077395209
2018-09-17,101608.13176847954
2018-09-18,102419.15485587905
2018-09-19,101849.52463317434
2018-09-20,102728.86551008128
2018-09-21,102461.32639539681
2018-09-24,102612.07743436217
2018-09-25,103045.26907858058
2018-09-26,102888.79091613766
2018-09-27,103372.9026409808
2018-09-28,103574.22318156049
2018-10-01,103411.58146766474
2018-10-02,102785.16600501856
2018-10-03,103113.15983355476
2018-10-04,101092.40583336746
2018-10-05,100028.06666415528
2018-10-08,98549.70682148563
2018-10-09,98644.84341505528
2018-10-10,94088.72176731378
2018-10-11,93083.33453693773
2018-10-12,96004.0332139708
2018-10-15,94681.07814012833
2018-10-16,97790.31251270062
2018-10-17,97638.8649532766
2018-10-18,95354.31377406364
2018-10-19,94683.0888885071
2018-10-22,95447.94627633893
2018-10-23,95084.0996595002
