,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,93589.85611134517
2018-04-03,95362.5493523247
2018-04-04,96589.36216554398
2018-04-05,95600.3301680343
2018-04-06,92708.91785718358
2018-04-09,93292.59998948372
2018-04-10,96275.91104692247
2018-04-11,96313.732819612
2018-04-12,98129.65285491763
2018-04-13,97405.44016006679
2018-04-16,97578.38078428723
2018-04-17,99426.73094941226
2018-04-18,98448.49561640927
2018-04-19,94189.75330855501
2018-04-20,93076.45263908681
2018-04-23,91838.81640382798
2018-04-24,91098.37526530102
2018-04-25,90984.86981093315
2018-04-26,92844.04339809771
2018-04-27,92195.51438492522
2018-04-30,91184.85561148605
2018-05-01,90962.23084244707
2018-05-02,90995.02021723434
2018-05-03,91060.69841896174
2018-05-04,91027.84937288276
2018-05-07,91027.84937288276
2018-05-08,91038.79905490909
2018-05-09,90995.02021723434
2018-05-10,90995.02021723434
2018-05-11,90995.02021723434
2018-05-14,90995.02021723434
2018-05-15,90940.29169753328
2018-05-16,90940.29169753328
2018-05-17,90962.23084244707
2018-05-18,91005.9599540454
2018-05-21,91005.9599540454
2018-05-22,91005.9599540454
2018-05-23,91082.60772822968
2018-05-24,91137.26663142377
2018-05-25,91213.8248986705
2018-05-29,91476.51781514952
2018-05-30,91367.06077574738
2018-05-31,91323.32171893377
2018-06-01,93217.22484773524
2018-06-04,93956.34744987449
2018-06-05,94403.71271398973
2018-06-06,95001.79268674777
2018-06-07,94155.71145327228
2018-06-08,93314.47528750403
2018-06-11,93134.56377954707
2018-06-12,93615.9528545308
2018-06-13,93474.93430002018
2018-06-14,94034.11530061423
2018-06-15,93951.4843260143
2018-06-18,93047.0275500634
2018-06-19,92025.84978274995
2018-06-20,92468.35192300499
2018-06-21,91320.76904763213
2018-06-22,90596.24183579114
2018-06-25,87931.5147839758
2018-06-26,88243.78993046445
2018-06-27,86135.89657936012
2018-06-28,86789.7279336987
2018-06-29,86970.26538829113
2018-07-02,86786.02061554168
2018-07-03,86817.35071199932
2018-07-05,86806.96718485608
2018-07-06,86827.73423914255
2018-07-09,86775.60874392035
2018-07-10,86765.23466493649
2018-07-11,86796.49862427857
2018-07-12,86786.02061554168
2018-07-13,86806.96718485608
2018-07-16,86786.02061554168
2018-07-17,86775.60874392035
2018-07-18,86765.23466493649
2018-07-19,86806.96718485608
2018-07-20,86806.96718485608
2018-07-23,86754.7850006777
2018-07-24,86765.23466493649
2018-07-25,86733.95180927569
2018-07-26,86733.95180927569
2018-07-27,86744.32588825955
2018-07-30,86744.32588825955
2018-07-31,86744.32588825955
2018-08-01,86444.98682777128
2018-08-02,87294.36899749485
2018-08-03,87476.38151836806
2018-08-06,88003.7388788802
2018-08-07,88703.77153751724
2018-08-08,88909.12135865042
2018-08-09,88031.74479051435
2018-08-10,85847.63483631166
2018-08-13,85973.6412905274
2018-08-14,85800.96599240252
2018-08-15,84610.90759441417
2018-08-16,84503.56407247341
2018-08-17,83873.51453156222
2018-08-20,83798.86280246223
2018-08-21,85432.27233928196
2018-08-22,85833.64051541082
2018-08-23,85931.6295447708
2018-08-24,87177.70552263825
2018-08-27,88563.76500578983
2018-08-28,88904.45850388707
2018-08-29,89137.80848004358
2018-08-30,88339.75800899247
2018-08-31,88820.43501237384
2018-09-04,89355.60068350733
2018-09-05,88922.43669276848
2018-09-06,86565.69527349553
2018-09-07,86207.08556353465
2018-09-10,87119.95467382354
2018-09-11,86276.92310974235
2018-09-12,85280.22136748055
2018-09-13,86253.63243745491
2018-09-14,87222.42443971368
2018-09-17,86006.7995701246
2018-09-18,86747.34987809746
2018-09-19,86882.41739301544
2018-09-20,87935.0420272471
2018-09-21,87697.4990013299
2018-09-24,88000.24327041188
2018-09-25,86598.31600295976
2018-09-26,85703.37737816892
2018-09-27,86026.1720780065
2018-09-28,86568.84933839088
2018-10-01,86694.68701700626
2018-10-02,86694.68701700626
2018-10-03,86774.04046118261
2018-10-04,85238.01235511665
2018-10-05,83221.0932035335
2018-10-08,82292.01574007006
2018-10-09,82198.6263687735
2018-10-10,78570.98137480002
2018-10-11,77786.64367613338
2018-10-12,79201.27362659632
2018-10-15,78552.31840797965
2018-10-16,81110.80761517523
2018-10-17,80788.68079431432
2018-10-18,78767.08873398813
2018-10-19,77585.86914183259
2018-10-22,78062.09301223709
