,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,96410.87142500047
2018-04-03,96022.19127416174
2018-04-04,96050.64249107777
2018-04-05,95814.52185531156
2018-04-06,96079.4518006077
2018-04-09,96237.54092580604
2018-04-10,96328.83144223399
2018-04-11,96705.96211388896
2018-04-12,96109.6525049842
2018-04-13,96414.37396484202
2018-04-16,96477.18607064639
2018-04-17,96522.90002425696
2018-04-18,96520.78597291361
2018-04-19,96425.55074931955
2018-04-20,96038.84386957175
2018-04-23,95648.34873633523
2018-04-24,95892.19063701232
2018-04-25,95574.09841976533
2018-04-26,95417.96166775798
2018-04-27,95631.31715041137
2018-04-30,95267.44489639472
2018-05-01,94720.20479712615
2018-05-02,94714.44085421241
2018-05-03,94989.13195662228
2018-05-04,95071.17846054159
2018-05-07,95082.6247926447
2018-05-08,95095.97467460964
2018-05-09,94973.90172247775
2018-05-10,95298.2270800416
2018-05-11,95229.54617635164
2018-05-14,95034.94979738482
2018-05-15,94239.42700498589
2018-05-16,94166.92968690445
2018-05-17,94205.09947498693
2018-05-18,94247.02212617418
2018-05-21,94273.73120477189
2018-05-22,94247.02212617418
2018-05-23,94336.66361875109
2018-05-24,94765.85286178201
2018-05-25,94660.85412926236
2018-05-29,94790.45140118383
2018-05-30,94801.95344331925
2018-05-31,94676.08194670286
2018-06-01,95970.31700136671
2018-06-04,96837.01586469269
2018-06-05,97137.01189820081
2018-06-06,97703.69686898582
2018-06-07,96909.23779346437
2018-06-08,96914.78302315864
2018-06-11,97175.899942192
2018-06-12,97687.03439135377
2018-06-13,97681.46237311026
2018-06-14,98670.40631616971
2018-06-15,98325.9591499433
2018-06-18,98269.14956650542
2018-06-19,97990.789751273
2018-06-20,98686.73840169437
2018-06-21,97829.31730592452
2018-06-22,97612.1782552394
2018-06-25,95412.94551620347
2018-06-26,95802.7010487241
2018-06-27,94499.85781509697
2018-06-28,95312.7384829844
2018-06-29,95568.84594330845
2018-07-02,96016.91978179681
2018-07-03,94905.59823463236
2018-07-05,96083.56128912373
2018-07-06,97578.2720161105
2018-07-09,98456.22352417759
2018-07-10,98528.47047522056
2018-07-11,98028.35617331107
2018-07-12,99717.55530039179
2018-07-13,99800.9151104394
2018-07-16,99561.96636265167
2018-07-17,100167.63054591714
2018-07-18,99978.71194283834
2018-07-19,99478.6154642793
2018-07-20,99456.38974627003
2018-07-23,99773.1285070902
2018-07-24,100184.29537858648
2018-07-25,101584.56017154668
2018-07-26,100045.4069202166
2018-07-27,98695.14553693964
2018-07-30,97300.46836434506
2018-07-31,98045.03882933086
2018-08-01,98220.66826397087
2018-08-02,99557.14116681607
2018-08-03,99862.14753359948
2018-08-06,100449.9611684466
2018-08-07,100815.95279962126
2018-08-08,100937.97669162184
2018-08-09,100876.94695788219
2018-08-10,100106.10637890385
2018-08-13,99995.23539948116
2018-08-14,100621.85298773927
2018-08-15,99390.79022833364
2018-08-16,99717.95122448828
2018-08-17,99740.13253546857
2018-08-20,99651.40729154744
2018-08-21,100017.40781659176
2018-08-22,100405.58075874668
2018-08-23,100261.40223737486
2018-08-24,101193.04398015572
2018-08-27,102224.47494073882
2018-08-28,102374.2210245299
2018-08-29,103555.40696277378
2018-08-30,103372.40670025162
2018-08-31,103505.48567226363
2018-09-04,102855.91502325467
2018-09-05,101527.6954626572
2018-09-06,100620.04325851674
2018-09-07,100232.66363887524
2018-09-10,100570.23058694448
2018-09-11,101345.04308282577
2018-09-12,101046.20255779104
2018-09-13,102125.38538882635
2018-09-14,101826.53598769191
2018-09-17,100359.95578481568
2018-09-18,101190.07525798968
2018-09-19,101112.58690752179
2018-09-20,102230.5671703893
2018-09-21,101671.56816285584
2018-09-24,101954.35182351524
2018-09-25,102092.92549218705
2018-09-26,102164.99942183188
2018-09-27,103029.93095806832
2018-09-28,103007.75846099285
2018-10-01,103012.20205286812
2018-10-02,102779.80284066558
2018-10-03,102890.4615393061
2018-10-04,100915.12581495858
2018-10-05,99681.19096979122
2018-10-08,99072.53269380736
2018-10-09,99393.47126663366
2018-10-10,95022.23121120181
2018-10-11,93843.63457371996
2018-10-12,96455.32868217246
2018-10-15,95287.8315763426
2018-10-16,98059.93296265154
2018-10-17,98098.69716896366
2018-10-18,95824.53335144135
2018-10-19,95736.00284918283
2018-10-22,96228.44823151756
