,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,92175.02789686901
2018-04-03,93920.92275908017
2018-04-04,95129.18944503585
2018-04-05,94155.1089650649
2018-04-06,91307.4070720634
2018-04-09,91882.26549222875
2018-04-10,94820.47686865504
2018-04-11,94857.7268773378
2018-04-12,96646.19506040288
2018-04-13,95932.93052378767
2018-04-16,96103.25674849152
2018-04-17,97923.66480458349
2018-04-18,96960.21777243956
2018-04-19,92765.8562535478
2018-04-20,91669.38571144389
2018-04-23,90450.45922463064
2018-04-24,89721.21157498671
2018-04-25,89609.42201939259
2018-04-26,91440.48987634212
2018-04-27,90801.76488663828
2018-04-30,89806.3845697251
2018-05-01,90482.97564753493
2018-05-02,90510.40839801577
2018-05-03,90749.81959500742
2018-05-04,92114.8111847737
2018-05-07,92756.5118674051
2018-05-08,93043.84540755137
2018-05-09,94020.83622236193
2018-05-10,94926.75330121821
2018-05-11,94704.4575319836
2018-05-14,94607.99214147638
2018-05-15,93930.37254801905
2018-05-16,94328.80344836939
2018-05-17,93955.65435826285
2018-05-18,93670.69343248004
2018-05-21,94262.06196362048
2018-05-22,94081.70052092746
2018-05-23,94683.94055347424
2018-05-24,94640.22395930291
2018-05-25,94672.06554254059
2018-05-29,94291.83563131148
2018-05-30,94832.27870586562
2018-05-31,94743.95229874256
2018-06-01,95908.2537929259
2018-06-04,96537.18049481462
2018-06-05,96974.28976440766
2018-06-06,97417.98571539225
2018-06-07,96547.47304757265
2018-06-08,96555.33430162987
2018-06-11,96540.2890145596
2018-06-12,97051.97390406407
2018-06-13,96889.9680373175
2018-06-14,97314.24509663694
2018-06-15,97025.70605915345
2018-06-18,97145.99495113522
2018-06-19,96611.32125635151
2018-06-20,96817.19730279226
2018-06-21,96138.26713299225
2018-06-22,95731.33482053595
2018-06-25,93960.83766589515
2018-06-26,94357.64278755785
2018-06-27,93211.63969200454
2018-06-28,94060.45607821556
2018-06-29,94101.5125055183
2018-07-02,94542.70676186538
2018-07-03,93448.44808963884
2018-07-05,94608.32507684254
2018-07-06,96080.08649427257
2018-07-09,96944.55821620405
2018-07-10,97015.69591071056
2018-07-11,96523.26020354254
2018-07-12,98186.52390849081
2018-07-13,98268.60383872566
2018-07-16,98033.32383344587
2018-07-17,98629.68884291255
2018-07-18,98443.67083553082
2018-07-19,97951.25267805923
2018-07-20,97929.36820660256
2018-07-23,98241.2438619807
2018-07-24,98646.09780908094
2018-07-25,100024.86338509245
2018-07-26,98509.34179959728
2018-07-27,97179.81189693918
2018-07-30,95806.5481507606
2018-07-31,96539.68671940737
2018-08-01,96712.6195959843
2018-08-02,98028.572722121
2018-08-03,98328.89611888102
2018-08-06,98907.68465152998
2018-08-07,99268.05696447313
2018-08-08,99388.20734073567
2018-08-09,99328.11463797228
2018-08-10,98569.10929824556
2018-08-13,98459.94059631489
2018-08-14,99076.93729890799
2018-08-15,97864.77588264472
2018-08-16,98186.91375369557
2018-08-17,98208.75449993454
2018-08-20,98121.39151497863
2018-08-21,98481.77258523782
2018-08-22,98863.98564441992
2018-08-23,98722.02079386657
2018-08-24,99639.3584078518
2018-08-27,100654.95310796426
2018-08-28,100802.4000383675
2018-08-29,101965.45042619924
2018-08-30,101785.25989106965
2018-08-31,101916.29561118747
2018-09-04,101858.12370870335
2018-09-05,100273.22502312674
2018-09-06,99736.57947511689
2018-09-07,99430.65074948448
2018-09-10,99796.77677229138
2018-09-11,100428.71360426658
2018-09-12,100233.10710666263
2018-09-13,101391.69064124918
2018-09-14,101486.98192521452
2018-09-17,99952.24901544856
2018-09-18,100609.28098881607
2018-09-19,100112.76152626166
2018-09-20,101196.0759746539
2018-09-21,101035.59613980615
2018-09-24,101407.42411856742
2018-09-25,101442.64064022833
2018-09-26,100964.6321120473
2018-09-27,101467.79296456004
2018-09-28,101920.65733740071
2018-10-01,101902.77823900778
2018-10-02,101772.25399746888
2018-10-03,102219.15889118768
2018-10-04,100421.43000591228
2018-10-05,99100.76273949322
2018-10-08,97800.15919315083
2018-10-09,98056.24270039494
2018-10-10,93501.68041095843
2018-10-11,92196.10373611268
2018-10-12,95038.31189713797
2018-10-15,93677.49273255658
2018-10-16,96590.01766955145
2018-10-17,96248.49418408574
2018-10-18,94305.1667710375
2018-10-19,94033.99267222009
2018-10-22,94797.28637078844
