,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,97610.72095765357
2018-03-02,98501.69159667147
2018-03-05,98991.62309655124
2018-03-06,99810.47805463284
2018-03-07,99990.51967267145
2018-03-08,100051.17760862956
2018-03-09,101195.94241205454
2018-03-12,101824.98358808982
2018-03-13,100941.22776110747
2018-03-14,100930.05680588205
2018-03-15,100891.05270824756
2018-03-16,100846.42379147434
2018-03-19,99760.31032232339
2018-03-20,100154.74325307502
2018-03-21,100292.5686306345
2018-03-22,98827.6114025548
2018-03-23,97010.54082470786
2018-03-26,99204.46695808294
2018-03-27,97201.46463462243
2018-03-28,96053.40785857313
2018-03-29,97198.8436616168
2018-04-02,94661.15194233334
2018-04-03,95766.28258568174
2018-04-04,96521.65298259728
2018-04-05,95904.0881303132
2018-04-06,94103.52071305251
2018-04-09,94468.76626301829
2018-04-10,96340.2027118289
2018-04-11,96364.143778639
2018-04-12,97492.40180893126
2018-04-13,97025.51115730293
2018-04-16,97130.7277002926
2018-04-17,98300.72771998866
2018-04-18,97651.79681218593
2018-04-19,94956.0259143956
2018-04-20,94238.60485834544
2018-04-23,93450.93827066361
2018-04-24,92990.71523200022
2018-04-25,92914.63930446445
2018-04-26,94099.97218318598
2018-04-27,93697.9215185371
2018-04-30,93045.45702749382
2018-05-01,93753.39922538094
2018-05-02,93288.86148091106
2018-05-03,93289.27779984404
2018-05-04,94786.0065478636
2018-05-07,95456.19253411872
2018-05-08,95374.7070745551
2018-05-09,96253.34039960515
2018-05-10,97104.53745809995
2018-05-11,97026.25814982013
2018-05-14,97168.12170539395
2018-05-15,96239.95267216825
2018-05-16,96782.96230130945
2018-05-17,96468.37660835347
2018-05-18,96049.59898005758
2018-05-21,96509.41522220512
2018-05-22,96401.79296710927
2018-05-23,97108.35545095097
2018-05-24,97092.38156027721
2018-05-25,97187.4457795594
2018-05-29,96861.31926054442
2018-05-30,97436.23932844386
2018-05-31,97375.6529309903
2018-06-01,98835.49476753677
2018-06-04,99627.99969844818
2018-06-05,99975.56204139015
2018-06-06,100629.01453629101
2018-06-07,99822.64561002918
2018-06-08,99655.77352053861
2018-06-11,99767.01776091653
2018-06-12,100253.64399771643
2018-06-13,99739.2324809787
2018-06-14,100448.27845145002
2018-06-15,100064.56659997039
2018-06-18,100176.177491465
2018-06-19,99659.99000838073
2018-06-20,99869.26759108776
2018-06-21,99101.87826167067
2018-06-22,98781.00124531642
2018-06-25,96730.01218770318
2018-06-26,97120.67895255283
2018-06-27,95795.22370781525
2018-06-28,96967.2010866694
2018-06-29,96925.345570128
2018-07-02,97379.77934724174
2018-07-03,96252.68375520811
2018-07-05,97447.36676093518
2018-07-06,98963.29334046623
2018-07-09,99853.70645023318
2018-07-10,99926.9788710426
2018-07-11,99419.7659706598
2018-07-12,101132.94150933043
2018-07-13,101217.48452453349
2018-07-16,100975.14414965219
2018-07-17,101589.40510135688
2018-07-18,101397.8049966648
2018-07-19,100890.61017261625
2018-07-20,100868.06898382894
2018-07-23,101189.3035194658
2018-07-24,101606.30647386379
2018-07-25,103026.44655829949
2018-07-26,101465.44663936095
2018-07-27,100096.01971061312
2018-07-30,98681.54655695918
2018-07-31,99436.68541950095
2018-08-01,99614.80772993325
2018-08-02,100970.25046521777
2018-08-03,101279.58607777822
2018-08-06,101875.74311123439
2018-08-07,102246.92961011102
2018-08-08,102370.68550339642
2018-08-09,102308.78951653605
2018-08-10,101527.00766326062
2018-08-13,101414.56298646065
2018-08-14,102050.07475478592
2018-08-15,100801.53834947359
2018-08-16,101133.3430531546
2018-08-17,101155.83920460167
2018-08-20,101065.85459881338
2018-08-21,101437.05011779886
2018-08-22,101830.73276812257
2018-08-23,101684.50778371663
2018-08-24,102629.37320482003
2018-08-27,103675.44424710874
2018-08-28,103827.31581964856
2018-08-29,105025.26745458592
2018-08-30,104839.66969509318
2018-08-31,104974.63758366676
2018-09-04,104315.84695994452
2018-09-05,102968.7747144527
2018-09-06,102048.23933835338
2018-09-07,101655.36127092488
2018-09-10,101997.71962810411
2018-09-11,102783.52977548097
2018-09-12,102480.44752233195
2018-09-13,103574.94822283738
2018-09-14,103271.85696760172
2018-09-17,101784.46019549451
2018-09-18,102626.36234475361
2018-09-19,102547.7741283466
2018-09-20,103681.6229495754
2018-09-21,103114.68953687436
2018-09-24,103401.48701528336
2018-09-25,103542.02759197823
2018-09-26,103615.12453553204
2018-09-27,104492.3328686111
2018-09-28,104469.845656173
2018-10-01,104759.34715503875
2018-10-02,104773.22376105793
2018-10-03,105091.52478353387
2018-10-04,103195.36869786445
2018-10-05,101894.37741239739
2018-10-08,100745.59833515869
2018-10-09,101105.46120864229
2018-10-10,96205.89782754747
2018-10-11,94987.91696567924
2018-10-12,98032.85212858734
2018-10-15,96427.34580393034
2018-10-16,99333.88872542101
2018-10-17,98877.1388223194
2018-10-18,96939.43221348396
2018-10-19,96897.90434600125
2018-10-22,97700.66317225058
2018-10-23,97326.98033195603
