,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99801.68149925195
2018-02-02,97501.29127431854
2018-02-05,93330.20783091674
2018-02-06,95594.76994228493
2018-02-07,95272.55727651555
2018-02-08,91244.67362035075
2018-02-09,93061.69977982056
2018-02-12,94690.7372545294
2018-02-13,95102.49767080703
2018-02-14,96847.86760314644
2018-02-15,98047.29820500934
2018-02-16,97948.81971508202
2018-02-20,97930.92819170417
2018-02-21,97465.49320529302
2018-02-22,97626.61456044756
2018-02-23,99157.20358976875
2018-02-26,100320.79105579661
2018-02-27,99380.93776561081
2018-02-28,98441.13705336944
2018-03-01,96484.66053615192
2018-03-02,96797.30902845977
2018-03-05,97949.65874862178
2018-03-06,98235.50858455674
2018-03-07,98467.78359612888
2018-03-08,98896.54710583984
2018-03-09,100834.99324498257
2018-03-12,100772.45305194227
2018-03-13,100013.17028158976
2018-03-14,99477.19715413192
2018-03-15,99566.51351516214
2018-03-16,99682.62103643759
2018-03-19,98548.1720691199
2018-03-20,99298.52695143322
2018-03-21,98950.1669069686
2018-03-22,95711.98968180445
2018-03-23,93312.02195509075
2018-03-26,96482.11934887628
2018-03-27,93903.05414018745
2018-03-28,93329.90771567977
2018-03-29,94852.29628148973
2018-04-02,91677.77227829445
2018-04-03,92759.16508438769
2018-04-04,93831.61043462798
2018-04-05,94635.98372334767
2018-04-06,92160.37380807514
2018-04-09,92544.67302187947
2018-04-10,94627.02130519398
2018-04-11,93947.80018115984
2018-04-12,95431.37963161293
2018-04-13,94484.02659685517
2018-04-16,95136.43527793199
2018-04-17,96718.33200666218
2018-04-18,96941.78648732409
2018-04-19,96754.09938662282
2018-04-20,96119.53324919926
2018-04-23,95860.36375662935
2018-04-24,94126.55478830892
2018-04-25,94269.54201549734
2018-04-26,95788.88884591107
2018-04-27,95842.46884492345
2018-04-30,95136.43527793199
2018-05-01,96031.87612359333
2018-05-02,95465.51844057717
2018-05-03,95453.72287791733
2018-05-04,97264.88221812496
2018-05-07,98073.10582744911
2018-05-08,97972.78665305917
2018-05-09,99040.58849660818
2018-05-10,100067.10587084776
2018-05-11,99972.70344171485
2018-05-14,100143.78651010027
2018-05-15,99034.69071527827
2018-05-16,99689.54356413387
2018-05-17,99306.05503019941
2018-05-18,98792.83427093383
2018-05-21,99347.35846343594
2018-05-22,99217.56934632352
2018-05-23,100055.31030818792
2018-05-24,100025.81191957479
2018-05-25,100126.12161200117
2018-05-29,99683.6363008404
2018-05-30,100397.4669629952
2018-05-31,100332.59136836609
2018-06-01,101704.15168438449
2018-06-04,102622.63226686638
2018-06-05,102940.551838771
2018-06-06,103541.09392331114
2018-06-07,102699.16916106702
2018-06-08,102705.04569559949
2018-06-11,102981.76328464683
2018-06-12,103523.43593065803
2018-06-13,103517.53100706985
2018-06-14,104565.560313786
2018-06-15,104200.53383543594
2018-06-18,104140.33011128851
2018-06-19,103845.33943338096
2018-06-20,104582.868174752
2018-06-21,103674.21966856516
2018-06-22,103444.10744597901
2018-06-25,101113.47952821368
2018-06-26,101526.52136279199
2018-06-27,100145.83856425647
2018-06-28,101007.28553381216
2018-06-29,101278.69436944129
2018-07-02,101753.53879070935
2018-07-03,100575.8203175972
2018-07-05,101824.16185606357
2018-07-06,103408.1754474699
2018-07-09,104338.5809742821
2018-07-10,104415.14438573258
2018-07-11,103885.15029578695
2018-07-12,105675.27217527704
2018-07-13,105763.61239369419
2018-07-16,105510.38743363232
2018-07-17,106152.23757948265
2018-07-18,105952.03186104937
2018-07-19,105422.05665932661
2018-07-20,105398.50304539328
2018-07-23,105734.16565422181
2018-07-24,106169.89806787693
2018-07-25,107653.82296623378
2018-07-26,106022.71159107224
2018-07-27,104591.77760200965
2018-07-30,103113.77416152619
2018-07-31,103902.8296724041
2018-08-01,104088.95224883175
2018-08-02,105505.27395204235
2018-08-03,105828.50320418288
2018-08-06,106451.43630421412
2018-08-07,106839.294441347
2018-08-08,106968.60876278422
2018-08-09,106903.93275158144
2018-08-10,106087.03759463645
2018-08-13,105969.54252677665
2018-08-14,106633.59795803462
2018-08-15,105328.98422404223
2018-08-16,105675.69175422212
2018-08-17,105699.19830798775
2018-08-20,105605.17209292523
2018-08-21,105993.03965530019
2018-08-22,106404.40434619869
2018-08-23,106251.6117467221
2018-08-24,107238.91528060478
2018-08-27,108331.9700307065
2018-08-28,108490.66283172971
2018-08-29,109742.41980809676
2018-08-30,109548.48602690928
2018-08-31,109689.51592426097
2018-09-04,109001.13608056835
2018-09-05,107593.56082311402
2018-09-06,106631.68010487848
2018-09-07,106221.15613427518
2018-09-10,106578.89132951874
2018-09-11,107399.99570918796
2018-09-12,107083.30068267116
2018-09-13,108226.96028255804
2018-09-14,107910.2558496308
2018-09-17,106356.05346631976
2018-09-18,107235.76918940786
2018-09-19,107153.65122631258
2018-09-20,108338.42624620968
2018-09-21,107746.0293298507
2018-09-24,108045.70815989104
2018-09-25,108192.5610395982
2018-09-26,108268.94109232827
2018-09-27,109185.5487571414
2018-09-28,109162.05154387542
2018-10-01,109166.76062222618
2018-10-02,108920.47650576502
2018-10-03,109037.74660993247
2018-10-04,106944.39263951927
2018-10-05,105636.73522436495
2018-10-08,104991.7121009784
2018-10-09,105331.82544343648
2018-10-10,100699.4216384124
2018-10-11,99450.4086629582
2018-10-12,102218.14083326545
2018-10-15,100980.89054117035
2018-10-16,103918.61366939178
2018-10-17,103959.69387879274
2018-10-18,101549.65805647556
2018-10-19,101455.83821809504
2018-10-22,101977.70520182641
2018-10-23,101602.42584830435
