,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99814.40030705486
2018-02-02,98233.30803574715
2018-02-05,94098.1638400805
2018-02-06,96163.97012928339
2018-02-07,96049.30740525131
2018-02-08,92022.47315138942
2018-02-09,93206.26465090223
2018-02-12,94496.04142177271
2018-02-13,94943.13270746334
2018-02-14,96828.27153572856
2018-02-15,97527.88208829093
2018-02-16,97224.41543270214
2018-02-20,96924.97935306035
2018-02-21,96922.6815631515
2018-02-22,96579.83128299064
2018-02-23,97978.47346720478
2018-02-26,99129.81851914396
2018-02-27,97612.4687908002
2018-02-28,96706.08489703896
2018-03-01,95231.37326733451
2018-03-02,96084.29616717434
2018-03-05,97087.8973553516
2018-03-06,98155.22392986758
2018-03-07,97985.21531915152
2018-03-08,98182.60580158331
2018-03-09,99964.79435629066
2018-03-12,100664.77023226014
2018-03-13,99526.13525784512
2018-03-14,99460.62520853619
2018-03-15,99370.47827399246
2018-03-16,99298.42476286978
2018-03-19,97728.68295066842
2018-03-20,98379.82095094435
2018-03-21,98436.59875476506
2018-03-22,96089.97570969458
2018-03-23,93538.9597664114
2018-03-26,96874.38536692738
2018-03-27,94135.64484117305
2018-03-28,92543.66240892437
2018-03-29,94193.77400040826
2018-04-02,91077.05186925991
2018-04-03,92348.3660566814
2018-04-04,93553.91011443545
2018-04-05,93274.10229430097
2018-04-06,90739.4890012173
2018-04-09,91334.77627942958
2018-04-10,93913.77496484874
2018-04-11,93736.88924025166
2018-04-12,95202.25891269144
2018-04-13,94662.77773028974
2018-04-16,95076.15325958282
2018-04-17,96963.99058872188
2018-04-18,96409.0244889443
2018-04-19,93777.42108180956
2018-04-20,92563.48533582364
2018-04-23,91767.7673191716
2018-04-24,90514.03922886704
2018-04-25,90384.99708928414
2018-04-26,92225.84849794323
2018-04-27,91711.91729449327
2018-04-30,91036.82585293593
2018-05-01,90639.29080705649
2018-05-02,90512.91523477633
2018-05-03,90206.76699297666
2018-05-04,91019.72807576902
2018-05-07,91234.58988638734
2018-05-08,91398.81099586243
2018-05-09,92492.03832046062
2018-05-10,93009.29765928966
2018-05-11,93173.39478777617
2018-05-14,93587.2040521474
2018-05-15,93332.275125198
2018-05-16,93879.57922422548
2018-05-17,94446.3739840932
2018-05-18,94013.96564998505
2018-05-21,94760.40734671842
2018-05-22,93908.29518858824
2018-05-23,94235.06377657081
2018-05-24,93548.02468185952
2018-05-25,92393.3438977011
2018-05-29,91892.55949225757
2018-05-30,93697.89580155324
2018-05-31,93117.52432184324
2018-06-01,93991.93024445913
2018-06-04,93984.60199704097
2018-06-05,94136.11312707522
2018-06-06,94632.88785654353
2018-06-07,94789.9355784335
2018-06-08,94705.86750945584
2018-06-11,94945.29492676396
2018-06-12,94904.555133261
2018-06-13,94633.34544203753
2018-06-14,94822.54641293225
2018-06-15,93637.92308198538
2018-06-18,94164.41471077072
2018-06-19,93727.18254989346
2018-06-20,94062.26948206488
2018-06-21,92782.9185024648
2018-06-22,93436.13723508938
2018-06-25,91415.19363892381
2018-06-26,92231.2256556074
2018-06-27,92135.65730511802
2018-06-28,92595.5356172917
2018-06-29,92912.74658404515
2018-07-02,92106.94779366872
2018-07-03,92160.59073412039
2018-07-05,92340.81815087698
2018-07-06,92986.4659812928
2018-07-09,94236.288887573
2018-07-10,94686.09301387014
2018-07-11,93574.54018596589
2018-07-12,93967.82071385981
2018-07-13,94318.04998500118
2018-07-16,93899.57812688072
2018-07-17,93763.08344091685
2018-07-18,93763.89872201445
2018-07-19,93665.83070952819
2018-07-20,93295.0032382503
2018-07-23,93042.63203649847
2018-07-24,93476.53665741743
2018-07-25,94209.00654685925
2018-07-26,94465.4726173684
2018-07-27,94140.9835305225
2018-07-30,94148.10066274865
2018-07-31,94283.18471550956
2018-08-01,94814.27802857652
2018-08-02,96144.28239596961
2018-08-03,96414.7535743952
2018-08-06,96982.9872070482
2018-08-07,97353.56554051567
2018-08-08,97505.73084097124
2018-08-09,97521.88051376655
2018-08-10,96830.29769381984
2018-08-13,96685.98938719319
2018-08-14,97305.71245106544
2018-08-15,96281.64070325525
2018-08-16,96737.16914003782
2018-08-17,96919.68298377254
2018-08-20,96831.5287690369
2018-08-21,97113.66370516446
2018-08-22,97550.50237097473
2018-08-23,97637.85910656495
2018-08-24,98651.91828220605
2018-08-27,99531.98689139742
2018-08-28,99844.06411846305
2018-08-29,100897.23032200869
2018-08-30,100685.41747565947
2018-08-31,101019.8182772761
2018-09-04,100984.90408575391
2018-09-05,99656.31650340842
2018-09-06,99252.43139567177
2018-09-07,99096.500579148
2018-09-10,99463.29329367637
2018-09-11,100177.34249726465
2018-09-12,100175.2272790769
2018-09-13,100835.62374422078
2018-09-14,100693.19836021392
2018-09-17,99307.58826123536
2018-09-18,100266.83203504956
2018-09-19,100042.3016914812
2018-09-20,100924.0202493186
2018-09-21,100620.1225770659
2018-09-24,100475.8354897344
2018-09-25,100705.12012726685
2018-09-26,100584.95267049977
2018-09-27,101007.23047245914
2018-09-28,101188.44864106787
2018-10-01,101181.75586939354
2018-10-02,101002.81529498723
2018-10-03,101279.01456547082
2018-10-04,99416.38386024891
2018-10-05,98154.72351005816
2018-10-08,97210.13945727353
2018-10-09,97494.89644395837
2018-10-10,93086.95763885076
2018-10-11,91859.96879392906
2018-10-12,94553.64686463814
2018-10-15,93304.68695534361
2018-10-16,96112.05792503222
2018-10-17,95961.56273151205
2018-10-18,93879.8806450961
2018-10-19,93701.78422333628
2018-10-22,94322.56321918318
2018-10-23,93971.65194597546
