,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99658.08862635068
2018-02-02,97503.8747373618
2018-02-05,93473.55367688989
2018-02-06,95666.34040638566
2018-02-07,95129.55795962796
2018-02-08,91320.42525842704
2018-02-09,92877.18554834925
2018-02-12,94413.14312982882
2018-02-13,94751.96632272899
2018-02-14,96352.72677783223
2018-02-15,97653.87402449735
2018-02-16,97564.77720247427
2018-02-20,97372.95740023756
2018-02-21,96967.38547634103
2018-02-22,97101.1416632387
2018-02-23,98680.9065608562
2018-02-26,99787.98103405672
2018-02-27,98609.93731643859
2018-02-28,97711.17611089852
2018-03-01,95994.08781904427
2018-03-02,96463.47464365832
2018-03-05,97576.91138610122
2018-03-06,97929.3788904277
2018-03-07,98128.22776742798
2018-03-08,98645.19923625162
2018-03-09,100483.04362368464
2018-03-12,100525.56268218913
2018-03-13,99794.3939843227
2018-03-14,99384.64915176402
2018-03-15,99352.09311615309
2018-03-16,99376.28520805368
2018-03-19,98024.36226235825
2018-03-20,98614.03874488498
2018-03-21,98290.72620489678
2018-03-22,95440.09208694259
2018-03-23,93223.6297669225
2018-03-26,96077.00044282337
2018-03-27,93644.28230950068
2018-03-28,93098.4620017508
2018-03-29,94618.04886051628
2018-04-02,91782.09569602515
2018-04-03,92843.92859108698
2018-04-04,93931.23348738937
2018-04-05,94685.17738498375
2018-04-06,92358.91348786537
2018-04-09,92707.00735490891
2018-04-10,94580.86042406756
2018-04-11,94055.74047003788
2018-04-12,95121.81684943414
2018-04-13,94542.82549885343
2018-04-16,95210.99651172961
2018-04-17,96762.05375314108
2018-04-18,96973.32499480723
2018-04-19,96423.80236343702
2018-04-20,95568.2096476111
2018-04-23,95349.0870905757
2018-04-24,93585.85276243302
2018-04-25,93753.64393939916
2018-04-26,95320.10797413257
2018-04-27,95346.8318130023
2018-04-30,94795.02009866844
2018-05-01,95211.45115492352
2018-05-02,94613.08855705897
2018-05-03,94705.29604484249
2018-05-04,95911.18785621985
2018-05-07,96569.29240443258
2018-05-08,96800.32107728974
2018-05-09,97937.81935694274
2018-05-10,98724.38729886331
2018-05-11,98816.46844487565
2018-05-14,98792.11258261089
2018-05-15,98017.77435020883
2018-05-16,98454.94796373088
2018-05-17,98303.88591002503
2018-05-18,98180.68813452512
2018-05-21,98990.88406259808
2018-05-22,98559.28082669032
2018-05-23,99084.01272294737
2018-05-24,99030.7392269815
2018-05-25,98815.40233201586
2018-05-29,97816.45288032312
2018-05-30,99033.84027360813
2018-05-31,98311.16743981569
2018-06-01,99482.32495626336
2018-06-04,100198.78787678448
2018-06-05,100560.40928824889
2018-06-06,101439.10081815493
2018-06-07,100780.05035771511
2018-06-08,101081.45275583376
2018-06-11,101149.21994732854
2018-06-12,101519.70371529534
2018-06-13,101327.98774259715
2018-06-14,101918.3934602355
2018-06-15,101739.4870894188
2018-06-18,101766.52220918641
2018-06-19,101151.62544386406
2018-06-20,101655.73810955232
2018-06-21,100778.38321835111
2018-06-22,100389.56595599251
2018-06-25,98296.39458994001
2018-06-26,98766.10394676958
2018-06-27,97515.96444332154
2018-06-28,98481.84663193669
2018-06-29,98645.2334584585
2018-07-02,98843.03106053814
2018-07-03,98107.33606231672
2018-07-05,98925.65940329412
2018-07-06,99919.84140513312
2018-07-09,100929.98405214681
2018-07-10,101167.32012358199
2018-07-11,100659.44550298998
2018-07-12,101927.8648636096
2018-07-13,101937.03381719366
2018-07-16,101814.0118152767
2018-07-17,102383.41873305246
2018-07-18,102529.98995257904
2018-07-19,102048.56508926734
2018-07-20,102021.17438886041
2018-07-23,102121.96709791242
2018-07-24,102252.44750143355
2018-07-25,103568.63422929565
2018-07-26,102882.58776228939
2018-07-27,101564.17563543795
2018-07-30,100073.20153913836
2018-07-31,100549.62131034526
2018-08-01,100586.0460003957
2018-08-02,101551.76828765136
2018-08-03,101669.77573953063
2018-08-06,102176.74120086871
2018-08-07,102595.91234726176
2018-08-08,102662.92677013674
2018-08-09,102665.37164284446
2018-08-10,102069.41378137491
2018-08-13,101731.10768598792
2018-08-14,102407.60903435177
2018-08-15,101232.29002851437
2018-08-16,101894.11833234782
2018-08-17,101988.86888544197
2018-08-20,102363.10269942536
2018-08-21,102692.75764068533
2018-08-22,103027.35927887613
2018-08-23,103034.75531817386
2018-08-24,104047.86326939738
2018-08-27,104873.45582018877
2018-08-28,105009.4916234623
2018-08-29,105925.36462024992
2018-08-30,105475.16667482391
2018-08-31,105635.33597608471
2018-09-04,105535.91507901723
2018-09-05,104174.63294016279
2018-09-06,103969.72940547985
2018-09-07,103713.1328462685
2018-09-10,104007.51999910039
2018-09-11,104592.31448582481
2018-09-12,104611.20788469454
2018-09-13,105274.05298813788
2018-09-14,105304.24992138206
2018-09-17,104103.55277757485
2018-09-18,105025.10205069056
2018-09-19,104793.41247655294
2018-09-20,105564.3508819071
2018-09-21,105346.87306221775
2018-09-24,105452.724966299
2018-09-25,105778.71968720361
2018-09-26,105630.45188460685
2018-09-27,106079.65208250165
2018-09-28,106160.02931290571
2018-10-01,106348.95733540088
2018-10-02,105938.67099862697
2018-10-03,106135.3227748668
2018-10-04,104519.79391968178
2018-10-05,103542.64621485189
2018-10-08,102785.56993979122
2018-10-09,102828.52962358802
2018-10-10,98490.86328311026
2018-10-11,96709.47638412532
2018-10-12,98978.55704644522
2018-10-15,97945.29607575631
2018-10-16,100624.47387725225
2018-10-17,100555.18664059603
2018-10-18,98582.02164728055
2018-10-19,97866.69900990537
2018-10-22,98020.40696422453
