,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100684.84911015375
2018-01-09,99694.15586429054
2018-01-10,98497.51168008294
2018-01-11,99087.48515604144
2018-01-12,99621.78968680612
2018-01-16,99750.49780320411
2018-01-17,102644.46595102898
2018-01-18,103105.49512804397
2018-01-19,103211.02379390415
2018-01-22,103769.84886705215
2018-01-23,104601.35707907264
2018-01-24,102206.56090360605
2018-01-25,100432.60980148986
2018-01-26,103642.31798713797
2018-01-29,103285.8642893992
2018-01-30,101233.30947654099
2018-01-31,102057.63989345689
2018-02-01,101554.20985025528
2018-02-02,98821.13629106173
2018-02-05,95568.76811629212
2018-02-06,97105.14770909767
2018-02-07,96927.17705876088
2018-02-08,92519.78624747918
2018-02-09,94400.18997258705
2018-02-12,95673.83525314857
2018-02-13,96265.83994373995
2018-02-14,98047.7950038348
2018-02-15,100486.83247716026
2018-02-16,100297.39234191546
2018-02-20,100634.65084561956
2018-02-21,99943.39744279064
2018-02-22,99630.25594844986
2018-02-23,101644.94078561135
2018-02-26,102385.30743791751
2018-02-27,101512.6232015589
2018-02-28,101176.54029918104
2018-03-01,100321.5511994459
2018-03-02,102332.22202804718
2018-03-05,103104.61609323304
2018-03-06,103475.34706471067
2018-03-07,105170.12045235731
2018-03-08,105911.57108219172
2018-03-09,107265.05023890952
2018-03-12,108185.99866177083
2018-03-13,106516.1817019651
2018-03-14,106505.13019134167
2018-03-15,106422.49332371775
2018-03-16,106378.38979987544
2018-03-19,104141.8735979846
2018-03-20,104906.369274122
2018-03-21,105104.37379748093
2018-03-22,102335.19572015031
2018-03-23,98929.53701695615
2018-03-26,102543.9125195214
2018-03-27,98872.6274937702
2018-03-28,97705.54236361293
2018-03-29,99523.58102583949
2018-04-02,97071.36269272935
2018-04-03,97978.5770525576
2018-04-04,99798.8338703673
2018-04-05,99974.44189348686
2018-04-06,97785.42847920461
2018-04-09,98290.98057140752
2018-04-10,100347.1418342358
2018-04-11,99961.61651000076
2018-04-12,101474.51202350944
2018-04-13,100469.79265023799
2018-04-16,101411.65323955365
2018-04-17,103696.840904853
2018-04-18,104145.72926019107
2018-04-19,103242.13651095935
2018-04-20,101924.6524938829
2018-04-23,101616.28126407617
2018-04-24,99882.53848463482
2018-04-25,99207.6490623245
2018-04-26,101418.46132701717
2018-04-27,101185.75896211519
2018-04-30,100850.04221163322
2018-05-01,101738.41984305232
2018-05-02,101181.01430596905
2018-05-03,101721.00789595881
2018-05-04,103282.88187325584
2018-05-07,104165.94774354594
2018-05-08,104687.4629888679
2018-05-09,106396.90748836809
2018-05-10,107353.04104986603
2018-05-11,106217.27668726463
2018-05-14,104802.1672656219
2018-05-15,104345.28294957292
2018-05-16,104460.94367331067
2018-05-17,104246.97578117492
2018-05-18,104940.95124054904
2018-05-21,104829.41195024933
2018-05-22,104177.21898901842
2018-05-23,105527.75901325488
2018-05-24,105475.81345928641
2018-05-25,105239.18492980333
2018-05-29,104331.97613643584
2018-05-30,105472.45071241404
2018-05-31,105380.28265056509
2018-06-01,107102.54320368526
2018-06-04,107687.58773492329
2018-06-05,108509.63038938836
2018-06-06,109216.71525739825
2018-06-07,107365.67720169004
2018-06-08,108141.73895166218
2018-06-11,108223.98886505366
2018-06-12,109331.2368989902
2018-06-13,109744.30438017639
2018-06-14,110340.96108467873
2018-06-15,110054.11326234118
2018-06-18,110504.11432552202
2018-06-19,109696.81086697687
2018-06-20,109301.7495799652
2018-06-21,108133.7355971198
2018-06-22,106284.3526084508
2018-06-25,103952.04031892767
2018-06-26,104493.8649320568
2018-06-27,102139.1296761986
2018-06-28,103990.9139034932
2018-06-29,104408.13214665584
2018-07-02,105996.26099165838
2018-07-03,105317.49143272918
2018-07-05,106212.99849851565
2018-07-06,107673.2223681181
2018-07-09,108010.26862018202
2018-07-10,107993.19051236317
2018-07-11,108721.83821181397
2018-07-12,111647.7852401847
2018-07-13,111704.71955990876
2018-07-16,110816.8397010207
2018-07-17,111748.54847098298
2018-07-18,111930.34370629764
2018-07-19,111294.04946406353
2018-07-20,111242.91750688764
2018-07-23,111389.2060902193
2018-07-24,110056.78685785145
2018-07-25,111803.09990178517
2018-07-26,111468.5894042613
2018-07-27,108616.65258645748
2018-07-30,104614.13085572273
2018-07-31,104976.23724369974
2018-08-01,105581.72714859794
2018-08-02,107369.79124460633
2018-08-03,107239.64957583975
2018-08-06,107656.93771855584
2018-08-07,108087.26370601657
2018-08-08,108294.00696164725
2018-08-09,108394.60690270436
2018-08-10,107684.89124904684
2018-08-13,107268.91148413012
2018-08-14,107971.65865818271
2018-08-15,107017.94138139416
2018-08-16,107676.0849718353
2018-08-17,108055.33352756052
2018-08-20,107739.24041039088
2018-08-21,107973.04561454273
2018-08-22,108524.10024708984
2018-08-23,108869.18254906478
2018-08-24,110116.0227567733
2018-08-27,109857.51203532537
2018-08-28,110286.40834363602
2018-08-29,111562.096133741
2018-08-30,110539.33933397991
2018-08-31,110440.37139194888
2018-09-04,110377.33410751467
2018-09-05,108659.87765559003
2018-09-06,108078.34814382136
2018-09-07,107746.83214948808
2018-09-10,108457.89131042537
2018-09-11,109600.93024981895
2018-09-12,110326.82889932892
2018-09-13,110760.2108617583
2018-09-14,111334.43727687938
2018-09-17,108625.07023580922
2018-09-18,109133.26050616584
2018-09-19,107808.68655301222
2018-09-20,108700.7444417633
2018-09-21,108506.09870509744
2018-09-24,108687.82614362301
2018-09-25,108725.57098545224
2018-09-26,108213.24451372011
2018-09-27,108752.52908519526
2018-09-28,109237.90621265685
2018-10-01,108737.75052465204
2018-10-02,107142.09280670327
2018-10-03,107583.53933386022
2018-10-04,105211.38141686325
2018-10-05,104567.81095358323
2018-10-08,102989.2728526996
2018-10-09,103258.94372459005
2018-10-10,98462.72394109257
2018-10-11,97087.87554099686
2018-10-12,100080.88653622336
2018-10-15,99917.04701195595
2018-10-16,99880.9247249622
2018-10-17,99880.9247249622
