,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99264.2410112508
2018-02-02,97068.1381255227
2018-02-05,93235.21796662977
2018-02-06,95551.6855748676
2018-02-07,94215.22779466788
2018-02-08,90608.20568865776
2018-02-09,92052.38409376846
2018-02-12,93513.55597046742
2018-02-13,93936.9345200702
2018-02-14,95613.17726842716
2018-02-15,97181.92373212826
2018-02-16,96985.44779278625
2018-02-20,96452.76362645242
2018-02-21,96132.00707699495
2018-02-22,96198.56865013129
2018-02-23,97909.7049989036
2018-02-26,99042.10597560651
2018-02-27,97418.66433362308
2018-02-28,96448.71772418803
2018-03-01,95151.31296728979
2018-03-02,95740.01295233695
2018-03-05,96550.70378576865
2018-03-06,97038.78420332144
2018-03-07,97127.96349345075
2018-03-08,97488.87753462236
2018-03-09,99361.70643491461
2018-03-12,99557.80949233056
2018-03-13,98604.8357757278
2018-03-14,98452.79919011329
2018-03-15,98279.6996424446
2018-03-16,98159.98698276037
2018-03-19,96657.51775164134
2018-03-20,97136.54419470753
2018-03-21,97094.84432537679
2018-03-22,94439.42060049792
2018-03-23,92299.89748996403
2018-03-26,95256.80017454631
2018-03-27,93125.06617123698
2018-03-28,92534.39884369374
2018-03-29,94104.82996774573
2018-04-02,92193.29001216023
2018-04-03,92919.46632905443
2018-04-04,93083.84875991897
2018-04-05,93498.82752358778
2018-04-06,92143.6625391735
2018-04-09,92925.46901463172
2018-04-10,94680.47896023668
2018-04-11,94928.50280266264
2018-04-12,94995.52802676833
2018-04-13,94681.31585445462
2018-04-16,94713.70388454151
2018-04-17,95290.27804222303
2018-04-18,96444.80172903069
2018-04-19,95895.42819642316
2018-04-20,95157.45760435985
2018-04-23,94893.98601197175
2018-04-24,94042.89631441899
2018-04-25,93989.13816588902
2018-04-26,95035.88890694524
2018-04-27,95155.97617567444
2018-04-30,95062.56313037011
2018-05-01,94742.45452925898
2018-05-02,94414.57855161789
2018-05-03,94658.95726895622
2018-05-04,95529.30717638913
2018-05-07,95556.42889041752
2018-05-08,95802.9896993103
2018-05-09,96541.22435018158
2018-05-10,97535.31151861459
2018-05-11,97172.13721895403
2018-05-14,97597.7461712835
2018-05-15,96877.66128162024
2018-05-16,97669.68843076023
2018-05-17,97258.72928160979
2018-05-18,96960.45505328002
2018-05-21,97619.43156364755
2018-05-22,97725.52588014476
2018-05-23,98188.34481129987
2018-05-24,97725.47358079973
2018-05-25,97114.05943252756
2018-05-29,95985.84622205916
2018-05-30,96969.22566765845
2018-05-31,96807.34879598122
2018-06-01,96985.19077301279
2018-06-04,96838.18241418566
2018-06-05,97005.30190382487
2018-06-06,97545.36988014127
2018-06-07,97517.2680302756
2018-06-08,97586.94817263637
2018-06-11,97667.89897931821
2018-06-12,97808.32099998274
2018-06-13,97874.5478199356
2018-06-14,97713.61112181652
2018-06-15,96559.42494440946
2018-06-18,96840.7414713713
2018-06-19,96221.9620337023
2018-06-20,96395.82923988115
2018-06-21,95680.81569406379
2018-06-22,96499.70593692698
2018-06-25,95064.48580363196
2018-06-26,95634.25689109525
2018-06-27,95279.84843699951
2018-06-28,95627.00428204224
2018-06-29,96212.55999520759
2018-07-02,95584.4118389077
2018-07-03,95108.16976992879
2018-07-05,95920.01911563624
2018-07-06,96796.29030107876
2018-07-09,97541.82534035567
2018-07-10,97621.0771735739
2018-07-11,96067.43106914364
2018-07-12,97043.5076898459
2018-07-13,97152.34927047564
2018-07-16,96378.86349488987
2018-07-17,96736.68419537743
2018-07-18,97043.45430632826
2018-07-19,96724.47753622616
2018-07-20,96899.87197311544
2018-07-23,97170.15355695614
2018-07-24,97642.07323494909
2018-07-25,98784.56507671005
2018-07-26,98265.0677189189
2018-07-27,97500.04258018448
2018-07-30,97100.80889276061
2018-07-31,97306.4408458216
2018-08-01,96777.10571359297
2018-08-02,97552.17505057927
2018-08-03,97914.39176608474
2018-08-06,98289.70463914727
2018-08-07,98733.93229347923
2018-08-08,98437.85582214438
2018-08-09,98256.34868951712
2018-08-10,97740.71380165516
2018-08-13,97413.58489012599
2018-08-14,97914.90293678721
2018-08-15,96678.28801563753
2018-08-16,97312.98143070423
2018-08-17,97574.95873491184
2018-08-20,97685.52018708421
2018-08-21,97939.52179060475
2018-08-22,98387.54168084793
2018-08-23,98242.79405561606
2018-08-24,98971.73002682463
2018-08-27,99708.38405526438
2018-08-28,99669.03718719495
2018-08-29,100537.3271520013
2018-08-30,100260.54639730169
2018-08-31,100331.29597886692
2018-09-04,99575.79246648782
2018-09-05,99298.12675133665
2018-09-06,99026.3041493557
2018-09-07,98509.7183234251
2018-09-10,98805.91561462883
2018-09-11,99140.26366824418
2018-09-12,99088.93117760125
2018-09-13,99767.69288358888
2018-09-14,99503.5275271202
2018-09-17,99001.18185478242
2018-09-18,99297.4436150413
2018-09-19,98966.16692915023
2018-09-20,99883.19053817863
2018-09-21,99689.7574778728
2018-09-24,99071.08199020005
2018-09-25,99070.26003745303
2018-09-26,98601.46215493591
2018-09-27,99084.31665687097
2018-09-28,99486.30608279843
2018-10-01,99958.87879906218
2018-10-02,99947.4620038193
2018-10-03,100227.70926178046
2018-10-04,99056.7955847196
2018-10-05,98405.03880306694
2018-10-08,98175.4514158305
2018-10-09,98363.86596162699
2018-10-10,95212.80601269267
2018-10-11,93528.80240980262
2018-10-12,95039.16771616774
2018-10-15,94522.25868299014
2018-10-16,96362.83645283795
2018-10-17,96170.61226858542
2018-10-18,94627.36051120964
2018-10-19,94710.64683328505
2018-10-22,94664.8995041489
