,EEM,QQQ,SPY,EFA,DBC,VNQ,HYG,GLD,IEF,TLT
2018-01-31,0.1681848408004998,0.21680344923005151,0.3186779089235157,0.296333801045933,,,,,,
2018-02-28,0.20373504236238435,0.23248918485801995,0.2704754295722094,0.2933003432073864,,,,,,
2018-03-29,0.18387175850864287,0.18861890022340727,0.2281345992371851,,0.39937474203076484,,,,,
2018-04-30,0.18550293620987668,0.1740750194992913,,0.27626193903950014,0.3641601052513319,,,,,
2018-05-31,,0.16228606695204664,0.21618113046449508,0.3152144428241513,0.30631835975930705,,,,,
2018-06-29,,0.20232991009480739,0.2759206142009216,,0.2511973167702439,0.2705521589340271,,,,
2018-07-31,,0.220665304085273,0.3235849126400438,,0.19687996662390989,0.2588698166507734,,,,
2018-08-31,,0.21705910288862973,0.3517654414344737,,0.1767281723628095,0.25444728331408717,,,,
2018-09-28,,0.2155138114765063,0.37385013761694996,,0.1846895658917464,0.22594648501479733,,,,
2018-10-31,,0.09466897945914841,0.14419941476053516,,0.151377928579186,,0.6097536772011304,,,
2018-11-30,,,0.47030401574301706,,,0.529695984256983,,,,
2018-12-31,,,,,,,,0.22733460349177068,0.539158393689732,0.23350700281849723
2019-01-31,,,,,,0.10240851232741799,,0.22211483470186708,0.44959370231028895,0.22588295066042596
2019-02-28,,,,,,0.10508996382156771,0.2564161739861349,0.21453111282575849,0.4239627493665389,
2019-03-29,,0.17098411170739264,0.22710018866306467,,,0.26886446890471616,,,,0.33305123072482645
2019-04-30,,0.2141313741430503,0.2763770493108222,,,0.2286550274327314,,,,0.2808365491133963
2019-05-31,,,,,,0.12323389653457824,0.3697558647018732,,0.3378513864035287,0.16915885236001985
2019-06-28,,0.18900212832335214,0.2654452691212988,,,0.23111907065580595,,0.31443353189954315,,
2019-07-31,,0.1835394804509884,,,,0.2426028302568524,,0.2368113917906067,,0.3370462975015525
2019-08-30,,,,,,0.18070163640977344,,0.16660143172985267,0.4615194762947593,0.19117745556561458
2019-09-30,,,,,,0.21936658334365547,,0.17302840878946096,0.4311363953158075,0.17646861255107607
2019-10-31,,0.1871800044499154,,,,0.3148749288833815,,0.2704484796298586,,0.22749658703684453
2019-11-29,,0.22712831218604201,0.2956772008556357,,,0.2757244274827203,,,,0.20147005947560198
2019-12-31,,0.22890916188887392,0.2763049200671961,0.26367979097824795,,0.2311061270656819,,,,
2020-01-31,,0.23849181805078196,0.28967943981358957,,,,,0.2772470638435039,,0.19458167829212455
2020-02-28,,0.13788709626179393,,,,,,0.2139491834696759,0.45249034441977815,0.1956733758487521
2020-03-31,,,,,,,,0.2735214033088051,0.5424587542566263,0.18401984243456873
2020-04-30,,0.10412440891633956,,,,,,0.2315655290685352,0.4972968800342448,0.16701318198088044
2020-05-29,,0.10437623257299629,,,,,,0.23516764692315875,0.49789870811572,0.162557412388125
2020-06-30,,0.1755915119885211,0.17079277684035804,,,,,0.32507520585422606,,0.3285405053168947
2020-07-31,0.1729579446624385,0.19573003889813792,,,,,,0.32336747048090686,,0.3079445459585167
2020-08-31,0.2292513789255216,0.23743691624155402,0.27219689532949887,,,,,0.26111480950342547,,
2020-09-30,0.25428649118883556,0.1924913030249163,0.2999042148492402,,,,,0.253317990937008,,
2020-10-30,0.29877532233949583,0.18082059471444337,0.26478711984395453,,,,,0.25561696310210624,,
2020-11-30,0.2938332397751318,0.17690794548637032,0.250425973931966,0.27883284080653187,,,,,,
2020-12-31,0.26961769944270525,0.19966931622018474,0.273220454457307,0.25749252987980303,,,,,,
2021-01-29,0.22708784053754613,0.21206990869805023,0.3002602196342309,0.26058203113017286,,,,,,
2021-02-26,0.1977552232138992,0.21883252947238982,0.3056505462107115,,0.27776170110299936,,,,,
2021-03-31,0.21706391250894047,0.21009757234523582,0.3316123739441537,,0.24122614120166996,,,,,
2021-04-30,,0.18325951190017553,0.30333031145834943,,0.20285626707413723,0.31055390956733775,,,,
2021-05-28,,0.18986774023358974,0.3193399476629794,,0.19807684950496046,0.2927154625984703,,,,
2021-06-30,,0.21669327842389277,0.3101737815771957,,0.22176487334259606,0.2513680666563155,,,,
2021-07-30,,0.24623325131089563,0.3191233673730401,,0.19193576590425665,0.2427076154118076,,,,
2021-08-31,,0.28195343530920225,0.3211887000706758,,0.14988238114646849,0.24697548347365345,,,,
2021-09-30,,0.2768311553300982,0.3060279091108146,,0.16546725406626422,0.25167368149282293,,,,
2021-10-29,,0.25063419279008126,0.3021071292468594,,0.1874407500506917,0.25981792791236774,,,,
