,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99785.56983593997
2018-02-02,98744.59664263256
2018-02-05,96752.08126933771
2018-02-06,97832.85111402061
2018-02-07,97276.04006274266
2018-02-08,95712.76542243574
2018-02-09,96266.79336414524
2018-02-12,96962.79621611946
2018-02-13,96981.82651725938
2018-02-14,97850.00369400352
2018-02-15,98449.45829819336
2018-02-16,98554.56252932659
2018-02-20,98197.5028462288
2018-02-21,98010.43000731865
2018-02-22,98087.6937360075
2018-02-23,98813.90346068141
2018-02-26,99289.3531867767
2018-02-27,98491.54952759412
2018-02-28,97961.28308399647
2018-03-01,97775.17896245154
2018-03-02,97785.84871170393
2018-03-05,97785.84871170393
2018-03-06,97785.84871170393
2018-03-07,97785.84871170393
2018-03-08,97775.17896245154
2018-03-09,97796.5683195977
2018-03-12,97807.2380688501
2018-03-13,97807.2380688501
2018-03-14,97807.2380688501
2018-03-15,97796.5683195977
2018-03-16,97817.87790291768
2018-03-19,97817.87790291768
2018-03-20,97807.2380688501
2018-03-21,97828.65734118108
2018-03-22,97839.3570056183
2018-03-23,97850.01678314242
2018-03-26,97839.3570056183
2018-03-27,97860.69650412309
2018-03-28,97871.38619683203
2018-03-29,97892.79549743474
2018-04-02,96184.49665905573
2018-04-03,96940.1160824558
2018-04-04,97470.19639850281
2018-04-05,97885.89669085332
2018-04-06,96600.1881221166
2018-04-09,97072.08319601693
2018-04-10,98375.39789422907
2018-04-11,98324.06483841853
2018-04-12,98518.47919359247
2018-04-13,98305.74683451884
2018-04-16,98700.26457371753
2018-04-17,99463.1770533093
2018-04-18,99857.2567474908
2018-04-19,99348.66143367763
2018-04-20,98560.24666901908
2018-04-23,98216.33524290408
2018-04-24,97628.23593169118
2018-04-25,97379.09683858971
2018-04-26,98155.5795360834
2018-04-27,98279.73868797283
2018-04-30,97664.6492711638
2018-05-01,97476.95383713143
2018-05-02,97487.61601729342
2018-05-03,97487.61601729342
2018-05-04,97508.910622696
2018-05-07,97508.910622696
2018-05-08,97519.57280285799
2018-05-09,97519.57280285799
2018-05-10,97519.57280285799
2018-05-11,97519.57280285799
2018-05-14,97519.57280285799
2018-05-15,97540.92691810333
2018-05-16,97551.5791799582
2018-05-17,97551.5791799582
2018-05-18,97562.22152350593
2018-05-21,97562.22152350593
2018-05-22,97562.22152350593
2018-05-23,97572.93329520355
2018-05-24,97594.217982299
2018-05-25,97604.90991738236
2018-05-29,97604.90991738236
2018-05-30,97594.217982299
2018-05-31,97615.58201585148
2018-06-01,97482.3349640966
2018-06-04,97463.7244446472
2018-06-05,97685.41474836494
2018-06-06,97604.74562727532
2018-06-07,97796.73012274681
2018-06-08,97771.97395699816
2018-06-11,97743.2586250276
2018-06-12,97852.18710773604
2018-06-13,97564.31814418599
2018-06-14,98031.66896485595
2018-06-15,98037.10703629316
2018-06-18,98079.6991352511
2018-06-19,98204.64009144674
2018-06-20,98187.09671614255
2018-06-21,98206.84400866932
2018-06-22,98261.16719968365
2018-06-25,97889.57233069799
2018-06-26,98062.81420215726
2018-06-27,98007.26507560209
2018-06-28,98166.73590638029
2018-06-29,98152.3557523596
2018-07-02,97942.33374833674
2018-07-03,97963.75044791948
2018-07-05,97963.75044791948
2018-07-06,97985.14727121491
2018-07-09,97985.14727121491
2018-07-10,97995.86059007811
2018-07-11,97995.86059007811
2018-07-12,97995.86059007811
2018-07-13,98006.57390894131
2018-07-16,98017.28722780451
2018-07-17,98017.28722780451
2018-07-18,98027.99060852405
2018-07-19,98038.73374181823
2018-07-20,98049.44706068143
2018-07-23,98038.73374181823
2018-07-24,98060.12062697
2018-07-25,98049.44706068143
2018-07-26,98060.12062697
2018-07-27,98081.60689355835
2018-07-30,98070.85382212051
2018-07-31,98092.28045984692
2018-08-01,97937.87807677574
2018-08-02,98171.72138255858
2018-08-03,98459.97872861824
2018-08-06,98631.18192686305
2018-08-07,98879.06586110391
2018-08-08,98761.35551716594
2018-08-09,98713.98837545697
2018-08-10,97914.65148410204
2018-08-13,97647.22631585844
2018-08-14,98087.2382063689
2018-08-15,97384.12252677046
2018-08-16,97994.78483587848
2018-08-17,98386.81181691503
2018-08-20,98588.43237735407
2018-08-21,98973.81078685967
2018-08-22,99035.53735632777
2018-08-23,98787.76167310204
2018-08-24,99398.19244108126
2018-08-27,99871.99976695965
2018-08-28,100113.74804431736
2018-08-29,100526.34901043103
2018-08-30,100135.34547644094
2018-08-31,100138.20735788836
2018-09-04,99572.28885766154
2018-09-05,99432.5729365072
2018-09-06,99441.98521470364
2018-09-07,98996.64802399442
2018-09-10,99161.06902028382
2018-09-11,99021.89202184322
2018-09-12,99081.27196643665
2018-09-13,99282.91673696562
2018-09-14,99118.09938123821
2018-09-17,98898.78555484195
2018-09-18,98713.87722145893
2018-09-19,98443.81349929766
2018-09-20,98807.25429897226
2018-09-21,98730.07368365335
2018-09-24,98469.04705851953
2018-09-25,98422.11558944911
2018-09-26,98457.91647071799
2018-09-27,98610.67139030475
2018-09-28,98751.6668761931
2018-10-01,98560.83173901244
2018-10-02,98571.57341731545
2018-10-03,98571.57341731545
2018-10-04,98593.12646043503
2018-10-05,98603.90795960293
2018-10-08,98603.90795960293
2018-10-09,98593.12646043503
2018-10-10,98614.7292796357
2018-10-11,98625.5008235874
2018-10-12,98625.5008235874
2018-10-15,98636.23254667419
2018-10-16,98647.01404584208
2018-10-17,98647.01404584208
2018-10-18,98647.01404584208
2018-10-19,98657.84532109108
2018-10-22,98679.34858812956
2018-10-23,98679.34858812956
