,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99425.93277044439
2018-02-02,97873.0585965581
2018-02-05,95673.1008190856
2018-02-06,96260.06348814463
2018-02-07,95582.67498934064
2018-02-08,93723.6398352619
2018-02-09,94359.94788050374
2018-02-12,95201.28333216903
2018-02-13,95474.11628015351
2018-02-14,96213.38847511979
2018-02-15,96872.12143752922
2018-02-16,97085.22615634429
2018-02-20,96221.96958111977
2018-02-21,95424.2939260241
2018-02-22,95874.31322799585
2018-02-23,96779.2196294727
2018-02-26,97364.93006713109
2018-02-27,96168.0755222615
2018-02-28,95788.70795698818
2018-03-01,95214.2265610577
2018-03-02,95306.55842740047
2018-03-05,95630.56114950952
2018-03-06,96132.07977697451
2018-03-07,96024.68378875202
2018-03-08,96237.3624167387
2018-03-09,96564.38489816396
2018-03-12,96765.41562997551
2018-03-13,96734.98185706802
2018-03-14,96901.95123747244
2018-03-15,96709.6292156786
2018-03-16,96675.2464446851
2018-03-19,96176.48066892837
2018-03-20,95938.84989124766
2018-03-21,96287.54027224271
2018-03-22,95642.58106834034
2018-03-23,95188.65128059284
2018-03-26,96088.84985040114
2018-03-27,95864.87049867475
2018-03-28,96000.04190839357
2018-03-29,96448.03572297806
2018-04-02,95882.081348032
2018-04-03,95880.49894390773
2018-04-04,96209.48200626146
2018-04-05,96089.0913569699
2018-04-06,95972.48617629394
2018-04-09,96251.28988422829
2018-04-10,96632.18943882053
2018-04-11,96819.92782907351
2018-04-12,96337.626157713
2018-04-13,96615.83933042691
2018-04-16,96888.59555916152
2018-04-17,97380.37923704566
2018-04-18,97248.49813779238
2018-04-19,96624.87385049171
2018-04-20,95927.31843499978
2018-04-23,95700.93578367536
2018-04-24,95504.30088494334
2018-04-25,95145.91165103058
2018-04-26,95651.98594993149
2018-04-27,96242.06770540048
2018-04-30,95892.12617883254
2018-05-01,95527.32718444265
2018-05-02,95338.98631890802
2018-05-03,95598.469477822
2018-05-04,96075.5702378648
2018-05-07,96185.31974239417
2018-05-08,96090.30249593967
2018-05-09,96140.72978311544
2018-05-10,96872.14329851385
2018-05-11,96934.93426522269
2018-05-14,96594.58394931306
2018-05-15,95430.05977661742
2018-05-16,95322.09999613604
2018-05-17,95141.68589040164
2018-05-18,95306.76579550152
2018-05-21,95711.12777890905
2018-05-22,95620.69999232248
2018-05-23,95845.52482218975
2018-05-24,96160.84080728028
2018-05-25,96169.65150840419
2018-05-29,96356.98877604387
2018-05-30,96825.94009182291
2018-05-31,96492.90927941592
2018-06-01,96452.53518998071
2018-06-04,96542.5191891668
2018-06-05,96617.54974428605
2018-06-06,96791.11222682112
2018-06-07,96876.38720185222
2018-06-08,96964.15009791557
2018-06-11,97088.37431213407
2018-06-12,97007.34565354517
2018-06-13,96714.30134245253
2018-06-14,97086.06104794372
2018-06-15,96593.23906495147
2018-06-18,96359.91051708671
2018-06-19,96175.28957056832
2018-06-20,96105.29626631938
2018-06-21,96034.0435202104
2018-06-22,96457.93035836282
2018-06-25,95908.39091707881
2018-06-26,95945.10297867277
2018-06-27,95661.90916920017
2018-06-28,95908.4952545578
2018-06-29,96083.05371582814
2018-07-02,95403.90632786443
2018-07-03,95872.5741851106
2018-07-05,96528.44045383364
2018-07-06,96886.3290855533
2018-07-09,97023.19329651436
2018-07-10,97063.24160337095
2018-07-11,96371.36618273202
2018-07-12,96821.9139407871
2018-07-13,96789.11295686345
2018-07-16,96582.57377042646
2018-07-17,96281.15823799351
2018-07-18,96175.05275475966
2018-07-19,96282.4086336978
2018-07-20,96107.0199468193
2018-07-23,95749.43547416113
2018-07-24,95942.3768116337
2018-07-25,96462.84755428627
2018-07-26,96164.11240711763
2018-07-27,95954.37577763748
2018-07-30,95768.44652533122
2018-07-31,96323.07399724828
2018-08-01,95795.16821239203
2018-08-02,95630.70386163285
2018-08-03,96078.28002067332
2018-08-06,95951.85438329939
2018-08-07,96073.68039143266
2018-08-08,96039.13681717294
2018-08-09,96097.54733336896
2018-08-10,95627.42849814528
2018-08-13,95073.4272130049
2018-08-14,95256.53951227551
2018-08-15,94725.99378489048
2018-08-16,95116.68430035151
2018-08-17,95667.77752547644
2018-08-20,96057.15482063474
2018-08-21,96106.91029373072
2018-08-22,96195.51636208425
2018-08-23,95823.67543100158
2018-08-24,96571.78666793474
2018-08-27,96873.08536286766
2018-08-28,96787.72166514551
2018-08-29,97126.06358734278
2018-08-30,96702.74585946009
2018-08-31,96561.47930054953
2018-09-04,95772.48466698249
2018-09-05,95662.89938988134
2018-09-06,95712.84983066717
2018-09-07,95121.72655973949
2018-09-10,95398.87774570964
2018-09-11,95324.84300792529
2018-09-12,95610.38988687909
2018-09-13,95909.49130077945
2018-09-14,95606.26250057171
2018-09-17,95647.40987679361
2018-09-18,95596.30307241775
2018-09-19,95425.54841940275
2018-09-20,96126.16521986891
2018-09-21,95971.42049171282
2018-09-24,95469.65715420256
2018-09-25,95537.2255655168
2018-09-26,95343.31793940006
2018-09-27,95303.96250451053
2018-09-28,95443.926734625
2018-10-01,95024.22933291073
2018-10-02,95235.85855842377
2018-10-03,94604.19042409307
2018-10-04,93960.9975646259
2018-10-05,93585.63449640677
2018-10-08,93447.2910401575
2018-10-09,93621.51755957257
2018-10-10,92298.57873231093
2018-10-11,91883.77988431872
2018-10-12,92055.26183468329
2018-10-15,92094.35493999085
2018-10-16,93158.79091822365
2018-10-17,92889.29227609209
2018-10-18,92291.71938295741
2018-10-19,92451.58665500219
2018-10-22,92006.69692825674
2018-10-23,91987.31394613866
