,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100184.34256086178
2018-02-02,97789.48409504225
2018-02-05,93301.3927676971
2018-02-06,95330.72344587259
2018-02-07,95002.93644867923
2018-02-08,91075.76620584205
2018-02-09,92727.43163780763
2018-02-12,94215.72647659905
2018-02-13,94498.93961030254
2018-02-14,96224.8411731511
2018-02-15,97497.2700966073
2018-02-16,97412.18221326011
2018-02-20,97014.83898560875
2018-02-21,96858.77755215498
2018-02-22,96841.98582160156
2018-02-23,98271.83878193026
2018-02-26,99731.94292353664
2018-02-27,98664.40322022374
2018-02-28,97503.33709488275
2018-03-01,95905.19764780636
2018-03-02,96564.72098495695
2018-03-05,97569.3723738434
2018-03-06,97818.90244516401
2018-03-07,97944.16154771924
2018-03-08,98409.52482721618
2018-03-09,100011.917096786
2018-03-12,100083.04588145207
2018-03-13,99506.26294935735
2018-03-14,99275.3174296912
2018-03-15,99206.07293888638
2018-03-16,99137.30205736005
2018-03-19,97535.29059326921
2018-03-20,97761.20073946004
2018-03-21,97401.23860018316
2018-03-22,94939.66839077415
2018-03-23,92817.5089630124
2018-03-26,95545.7218917534
2018-03-27,93521.47127454529
2018-03-28,93098.08620320182
2018-03-29,94377.86709180703
2018-04-02,91859.45981740711
2018-04-03,92970.61424409828
2018-04-04,94300.03441962652
2018-04-05,95101.71137434593
2018-04-06,92887.23724648889
2018-04-09,93223.60273871355
2018-04-10,94831.74428570649
2018-04-11,94172.67132064384
2018-04-12,95234.83137018218
2018-04-13,94474.25319438684
2018-04-16,95091.26020616293
2018-04-17,96275.28607673828
2018-04-18,96192.73764244697
2018-04-19,96208.8233344079
2018-04-20,95445.3070231037
2018-04-23,95364.1574923839
2018-04-24,94102.02671028567
2018-04-25,94214.22939495859
2018-04-26,95303.3677185746
2018-04-27,95437.01016580903
2018-04-30,94818.86132804505
2018-05-01,94891.9167249611
2018-05-02,94226.78149956101
2018-05-03,94109.01772411338
2018-05-04,95480.87268461163
2018-05-07,96123.84691382977
2018-05-08,96641.57258985622
2018-05-09,97862.54023667995
2018-05-10,98778.90277134792
2018-05-11,98777.60517528304
2018-05-14,98693.02240429613
2018-05-15,98208.33137300861
2018-05-16,98533.09141501997
2018-05-17,98417.34194737731
2018-05-18,98205.47835253863
2018-05-21,99222.33551465927
2018-05-22,98981.94508139169
2018-05-23,98990.26093648074
2018-05-24,98860.51535341046
2018-05-25,98671.84572567049
2018-05-29,96891.59978839874
2018-05-30,98159.01421450208
2018-05-31,97428.27742051377
2018-06-01,98296.60035667643
2018-06-04,98386.85833959086
2018-06-05,98282.93512633292
2018-06-06,99250.58803614642
2018-06-07,99579.27985867577
2018-06-08,99507.37826312866
2018-06-11,99643.47145419243
2018-06-12,99470.74255503932
2018-06-13,99056.28000884579
2018-06-14,98935.8175270538
2018-06-15,98107.8485515593
2018-06-18,98402.83278788978
2018-06-19,98073.87851277797
2018-06-20,98201.48449815947
2018-06-21,97253.10801121822
2018-06-22,97621.37666512937
2018-06-25,95941.88458597008
2018-06-26,96363.59150469827
2018-06-27,95955.53541919496
2018-06-28,96578.94965654158
2018-06-29,96766.7187048318
2018-07-02,96430.0987844611
2018-07-03,96082.72338614959
2018-07-05,96661.97783475096
2018-07-06,97490.23053657808
2018-07-09,98608.23210094057
2018-07-10,98999.32722465166
2018-07-11,98097.80107119349
2018-07-12,98894.48455246656
2018-07-13,99100.58708565231
2018-07-16,98731.2655985211
2018-07-17,98886.72342115364
2018-07-18,98831.6657587607
2018-07-19,98643.10723763713
2018-07-20,98394.90061881
2018-07-23,98391.11581979686
2018-07-24,98877.73840212285
2018-07-25,99812.62710666125
2018-07-26,99462.43665801146
2018-07-27,98657.91172508145
2018-07-30,98143.87100650596
2018-07-31,98325.69314774091
2018-08-01,97808.92390849233
2018-08-02,98269.27760039744
2018-08-03,98335.49401361306
2018-08-06,98854.60030523583
2018-08-07,99374.13826674185
2018-08-08,99268.37284566578
2018-08-09,99108.78222200322
2018-08-10,98752.48927463673
2018-08-13,98131.64321870677
2018-08-14,98735.9530596541
2018-08-15,96923.11283820655
2018-08-16,97452.93924495169
2018-08-17,97609.43633585537
2018-08-20,98001.67709331262
2018-08-21,98478.53620425172
2018-08-22,98988.52191778476
2018-08-23,98881.51876069164
2018-08-24,99648.82161751317
2018-08-27,100413.2583430388
2018-08-28,100405.12000293803
2018-08-29,101296.01535744804
2018-08-30,100903.9134484213
2018-08-31,100820.79503025567
2018-09-04,100481.70579410007
2018-09-05,99658.27044116064
2018-09-06,98709.6568234105
2018-09-07,98591.3674378373
2018-09-10,98803.19764245278
2018-09-11,99660.30952045557
2018-09-12,99757.08498411972
2018-09-13,100213.93776624778
2018-09-14,100236.84208734217
2018-09-17,99458.04418350614
2018-09-18,100308.92176921615
2018-09-19,100342.58040473715
2018-09-20,100971.44241392458
2018-09-21,100914.0378261412
2018-09-24,101359.16288588542
2018-09-25,101682.34088878692
2018-09-26,101299.64105790292
2018-09-27,101610.56519437235
2018-09-28,101611.18793949907
2018-10-01,101632.85839815954
2018-10-02,101142.64664714693
2018-10-03,101069.4392413976
2018-10-04,99605.2229369246
2018-10-05,98899.24194824477
2018-10-08,98596.2112017136
2018-10-09,98674.55467109666
2018-10-10,95203.79199898939
2018-10-11,93373.54652589775
2018-10-12,95419.0872419101
2018-10-15,94602.6682131365
2018-10-16,97051.79863652345
2018-10-17,96815.3677173142
2018-10-18,95204.98466969005
2018-10-19,94590.32110077317
2018-10-22,94708.14168775888
