,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99835.29304682257
2018-02-02,97802.85685830307
2018-02-05,93612.089833178
2018-02-06,95738.70540870549
2018-02-07,95418.74015835268
2018-02-08,91509.67239213164
2018-02-09,92903.63013691216
2018-02-12,94337.22153361418
2018-02-13,94672.40582203938
2018-02-14,96346.74798297432
2018-02-15,97516.5089766286
2018-02-16,97334.55263443568
2018-02-20,96962.41447134448
2018-02-21,96810.62098595951
2018-02-22,96828.14632976893
2018-02-23,98238.75361582174
2018-02-26,99540.00109286029
2018-02-27,98215.81050352998
2018-02-28,97236.12510368373
2018-03-01,95517.47568959079
2018-03-02,96004.43158061735
2018-03-05,97040.71513651093
2018-03-06,97334.96610267987
2018-03-07,97425.48745958276
2018-03-08,97900.15722807722
2018-03-09,99633.56274584812
2018-03-12,99379.75012173866
2018-03-13,98828.06732676024
2018-03-14,98389.46596254024
2018-03-15,98407.31340174592
2018-03-16,98485.2103539791
2018-03-19,97099.4997049354
2018-03-20,97351.09310240748
2018-03-21,97110.46194446483
2018-03-22,94468.5220823902
2018-03-23,92538.06025028879
2018-03-26,95137.91193556917
2018-03-27,93296.56906245441
2018-03-28,92900.45197132688
2018-03-29,94197.69026908939
2018-04-02,91781.41433858368
2018-04-03,92932.71034791462
2018-04-04,94029.10613824446
2018-04-05,94866.4813023043
2018-04-06,92553.92850513212
2018-04-09,92736.12839436052
2018-04-10,94291.09606892485
2018-04-11,93626.89720549055
2018-04-12,94754.16978144518
2018-04-13,94127.88613038836
2018-04-16,94823.85813139634
2018-04-17,95909.48540742906
2018-04-18,96094.45847259494
2018-04-19,96040.05702691211
2018-04-20,95364.12202400272
2018-04-23,95274.90102700287
2018-04-24,93662.592713647
2018-04-25,93813.02123149174
2018-04-26,94542.90144321743
2018-04-27,94595.4775404043
2018-04-30,93825.88478488343
2018-05-01,94082.92371430175
2018-05-02,93483.33926100361
2018-05-03,93154.88456879975
2018-05-04,94559.98795201127
2018-05-07,95094.1219271683
2018-05-08,95249.24918989
2018-05-09,96224.35760509182
2018-05-10,97029.3979788879
2018-05-11,97025.19593201978
2018-05-14,97057.88552264885
2018-05-15,96502.69840345914
2018-05-16,96969.24581272357
2018-05-17,96624.02607403236
2018-05-18,96185.09111927029
2018-05-21,96873.15547061128
2018-05-22,96900.07895718364
2018-05-23,97167.32665894227
2018-05-24,96948.24361148471
2018-05-25,96870.22787369977
2018-05-29,95384.73837408557
2018-05-30,96474.044756615
2018-05-31,96068.55420189057
2018-06-01,96807.71643572528
2018-06-04,97150.47618610859
2018-06-05,97379.48339425973
2018-06-06,98050.92131914556
2018-06-07,98365.89846993508
2018-06-08,98317.4680697968
2018-06-11,98655.1815993011
2018-06-12,98727.32143005393
2018-06-13,98487.59118751856
2018-06-14,99025.06692939496
2018-06-15,98265.58563445913
2018-06-18,98557.9307445575
2018-06-19,98273.80811406617
2018-06-20,98642.8747029079
2018-06-21,97559.83796882763
2018-06-22,98018.90828159521
2018-06-25,95972.12356674782
2018-06-26,96730.53361875055
2018-06-27,96287.65759972425
2018-06-28,96888.27856152423
2018-06-29,97130.99239144006
2018-07-02,96793.10528147129
2018-07-03,96444.4222050792
2018-07-05,97025.85722936093
2018-07-06,97857.22784888926
2018-07-09,98979.43807669447
2018-07-10,99372.00545930237
2018-07-11,98467.08555373718
2018-07-12,99266.76811188986
2018-07-13,99473.64650820901
2018-07-16,99102.93472799499
2018-07-17,99258.97776416913
2018-07-18,99203.71283983818
2018-07-19,99014.4444991759
2018-07-20,98765.30351839779
2018-07-23,98761.5044716897
2018-07-24,99249.95892146375
2018-07-25,100188.3669698378
2018-07-26,99836.858245985
2018-07-27,99029.3047174055
2018-07-30,98513.32891711875
2018-07-31,98695.83551911231
2018-08-01,98006.01969600128
2018-08-02,98191.80174998677
2018-08-03,98472.51860020676
2018-08-06,98855.06478106334
2018-08-07,99328.6379259083
2018-08-08,99145.94873580195
2018-08-09,99157.734524015
2018-08-10,98534.95742265043
2018-08-13,97824.33238900761
2018-08-14,98481.28859779416
2018-08-15,96733.12220950573
2018-08-16,97276.28543109132
2018-08-17,97571.37397981068
2018-08-20,98035.69407710619
2018-08-21,98489.50026564833
2018-08-22,98749.75291264328
2018-08-23,98504.28723093451
2018-08-24,99395.25668449585
2018-08-27,100304.67659433436
2018-08-28,100203.73250029352
2018-08-29,101059.94051173034
2018-08-30,100472.04844199013
2018-08-31,100335.26205936418
2018-09-04,100155.75932194387
2018-09-05,99558.8324282082
2018-09-06,98735.92827314128
2018-09-07,98621.12621267169
2018-09-10,98752.7195473394
2018-09-11,99418.9719146938
2018-09-12,99261.45381449653
2018-09-13,99567.10405467206
2018-09-14,99760.92324329507
2018-09-17,99073.6003854537
2018-09-18,99832.39620384548
2018-09-19,100281.66598489964
2018-09-20,100971.95647950757
2018-09-21,100829.69915489545
2018-09-24,100877.91349672618
2018-09-25,101021.49719810499
2018-09-26,100434.08308259568
2018-09-27,100577.3945509156
2018-09-28,100320.47108357729
2018-10-01,100633.39853560184
2018-10-02,100296.85481628521
2018-10-03,100447.54275554961
2018-10-04,99257.56969501424
2018-10-05,98731.5019351624
2018-10-08,98487.29006014956
2018-10-09,98773.3238709426
2018-10-10,95396.96796853199
2018-10-11,93199.01669522465
2018-10-12,94779.78102115213
2018-10-15,93973.65467418608
2018-10-16,95985.45034462806
2018-10-17,95658.36807527795
2018-10-18,94346.95410867507
2018-10-19,93680.30585734405
2018-10-22,93506.47100650263
2018-10-23,92680.76984135539
