,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99757.14785003713
2018-02-02,97986.43241945539
2018-02-05,95925.21258452414
2018-02-06,96695.04980934177
2018-02-07,95650.41300225309
2018-02-08,93870.57082285623
2018-02-09,94087.5577722158
2018-02-12,95063.47920250733
2018-02-13,95322.11993947925
2018-02-14,96533.65488336669
2018-02-15,97239.02520366562
2018-02-16,97346.8211741136
2018-02-20,96631.46870704195
2018-02-21,96152.32302640598
2018-02-22,96542.2918462749
2018-02-23,97425.33954721945
2018-02-26,98080.32219881436
2018-02-27,96852.94461309545
2018-02-28,96220.63986631026
2018-03-01,95709.95155479509
2018-03-02,95832.94239388013
2018-03-05,96089.84641937501
2018-03-06,96609.36174436027
2018-03-07,96251.05677568883
2018-03-08,96296.74708555735
2018-03-09,96889.81504056416
2018-03-12,96993.60367487994
2018-03-13,96809.75616700509
2018-03-14,96954.29239202784
2018-03-15,96748.68814028022
2018-03-16,96674.562249452
2018-03-19,96138.1255060806
2018-03-20,96213.89752764216
2018-03-21,96993.93267928172
2018-03-22,96049.18410457169
2018-03-23,95864.3836007276
2018-03-26,96797.03256606308
2018-03-27,96305.57265460961
2018-03-28,95976.32034878651
2018-03-29,96734.64816760071
2018-04-02,95967.07297922223
2018-04-03,96055.38001072733
2018-04-04,96121.67003584698
2018-04-05,96142.04642528153
2018-04-06,95822.11847078471
2018-04-09,96347.24990185078
2018-04-10,97187.92469259238
2018-04-11,97472.82628382114
2018-04-12,97124.34489232837
2018-04-13,97213.00651564251
2018-04-16,97305.9106536236
2018-04-17,97600.99562747654
2018-04-18,97966.91929683331
2018-04-19,97494.58927971845
2018-04-20,96879.60126076166
2018-04-23,96617.87028539967
2018-04-24,96262.10131106409
2018-04-25,95953.9452151557
2018-04-26,96446.51136145659
2018-04-27,96768.53602032996
2018-04-30,96555.63414779033
2018-05-01,95950.9317436064
2018-05-02,95763.9279160781
2018-05-03,96087.69980108566
2018-05-04,96520.28910475543
2018-05-07,96463.38931349629
2018-05-08,96550.7015287844
2018-05-09,96690.8061321165
2018-05-10,97497.59899766956
2018-05-11,97466.160413738
2018-05-14,97434.5090963349
2018-05-15,96479.11149242686
2018-05-16,96667.63034549716
2018-05-17,96455.56218669028
2018-05-18,96512.80382013065
2018-05-21,96908.01539573124
2018-05-22,96865.01872695095
2018-05-23,97028.0794090772
2018-05-24,97149.48248268462
2018-05-25,96869.48111632119
2018-05-29,96577.50548915597
2018-05-30,97110.27194525559
2018-05-31,96815.67194313214
2018-06-01,96876.23418655887
2018-06-04,96874.74848697477
2018-06-05,96882.15574929067
2018-06-06,97494.94512963553
2018-06-07,97232.99360078888
2018-06-08,97297.31271358313
2018-06-11,97493.87095290313
2018-06-12,97241.62598301834
2018-06-13,97294.29178767829
2018-06-14,96998.63180319773
2018-06-15,95836.0605691303
2018-06-18,95620.77190455853
2018-06-19,94941.4251786523
2018-06-20,94904.62829749973
2018-06-21,94277.72732378314
2018-06-22,95127.65776714383
2018-06-25,94115.38544673026
2018-06-26,94213.44510250767
2018-06-27,93614.81335175475
2018-06-28,93799.89695225595
2018-06-29,94449.6558147562
2018-07-02,93376.3157992078
2018-07-03,93628.26839178083
2018-07-05,94126.38475693917
2018-07-06,94599.64559951152
2018-07-09,95346.20416191431
2018-07-10,95287.46551411449
2018-07-11,93692.40625552172
2018-07-12,94388.01748450864
2018-07-13,94389.12904956134
2018-07-16,93944.9012593489
2018-07-17,93890.38782719203
2018-07-18,94062.95568149752
2018-07-19,93658.25613818875
2018-07-20,94198.98169267611
2018-07-23,94077.9581470849
2018-07-24,94579.12134023865
2018-07-25,95466.10877374769
2018-07-26,94974.56277320969
2018-07-27,94884.07865638485
2018-07-30,94815.3158340335
2018-07-31,94989.25365593881
2018-08-01,94179.24218808052
2018-08-02,94060.50949749979
2018-08-03,94407.97046010182
2018-08-06,94314.54857107504
2018-08-07,94943.69078008438
2018-08-08,94650.41637884329
2018-08-09,94400.93570897679
2018-08-10,93295.39501415886
2018-08-13,92711.96383166924
2018-08-14,93042.08484608385
2018-08-15,91548.15037932803
2018-08-16,92227.54569512367
2018-08-17,92738.00505900229
2018-08-20,93053.27202787112
2018-08-21,93528.2279460529
2018-08-22,94007.4949554188
2018-08-23,93476.61939295169
2018-08-24,94267.74446007785
2018-08-27,95177.97349353918
2018-08-28,95031.3469801401
2018-08-29,95665.30138972576
2018-08-30,94806.67476470991
2018-08-31,94702.03510244464
2018-09-04,94060.52688189918
2018-09-05,93586.18457713371
2018-09-06,93244.32362039501
2018-09-07,92974.6414388144
2018-09-10,93301.46160110006
2018-09-11,93679.47944509356
2018-09-12,93963.62258828297
2018-09-13,94199.37153400513
2018-09-14,94114.96077959496
2018-09-17,93889.33876527104
2018-09-18,94632.21679355922
2018-09-19,94921.56307821732
2018-09-20,95645.22397641285
2018-09-21,95668.57985242362
2018-09-24,95708.68703390291
2018-09-25,95869.9639082404
2018-09-26,95654.96380935377
2018-09-27,95811.97923059165
2018-09-28,95789.72925963765
2018-10-01,96204.44169756939
2018-10-02,96103.00793025017
2018-10-03,96285.00184673877
2018-10-04,95353.526727897
2018-10-05,94885.59063455566
2018-10-08,94688.06290911246
2018-10-09,94710.7269816651
2018-10-10,92276.648602481
2018-10-11,90621.59688823708
2018-10-12,91471.36239857074
2018-10-15,91218.67333536682
2018-10-16,92701.57373823301
2018-10-17,92355.54056551786
2018-10-18,91045.98624653913
2018-10-19,91298.84831660977
2018-10-22,91013.9031750538
2018-10-23,90065.27633497061
