,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,98776.68005529759
2018-02-02,96755.39318884614
2018-02-05,94244.6139323719
2018-02-06,96455.64672128725
2018-02-07,94125.73001228643
2018-02-08,91611.40232695689
2018-02-09,92603.99188293309
2018-02-12,93675.81718258967
2018-02-13,94196.0340219442
2018-02-14,95853.57027281342
2018-02-15,97436.54932525015
2018-02-16,97274.6341677101
2018-02-20,96171.92777459265
2018-02-21,95979.71292494248
2018-02-22,96057.1272896338
2018-02-23,97447.14485370589
2018-02-26,98153.81602656111
2018-02-27,95903.80759350241
2018-02-28,94921.90716612551
2018-03-01,94486.69775294818
2018-03-02,94572.94211534603
2018-03-05,94844.09146411961
2018-03-06,94887.2410330348
2018-03-07,94878.52016892355
2018-03-08,95010.60102346257
2018-03-09,95392.34863254635
2018-03-12,95395.93474691156
2018-03-13,95256.06191912934
2018-03-14,95123.75092474467
2018-03-15,95106.10688744854
2018-03-16,95098.06527794832
2018-03-19,94773.31511031138
2018-03-20,94787.95604671746
2018-03-21,94793.59140309488
2018-03-22,94236.00296736206
2018-03-23,93761.07389438452
2018-03-26,94344.9758031354
2018-03-27,94001.3514706
2018-03-28,93942.48723938607
2018-03-29,94258.64801991163
2018-04-02,92375.1782451126
2018-04-03,93290.9519703716
2018-04-04,93329.93549665493
2018-04-05,93563.72955675516
2018-04-06,91732.20888063707
2018-04-09,91829.63199714548
2018-04-10,93622.17807178022
2018-04-11,93661.15267326357
2018-04-12,93622.17807178022
2018-04-13,92686.9304329795
2018-04-16,92803.84531262956
2018-04-17,92998.68262084639
2018-04-18,93797.56824085525
2018-04-19,93252.00414328818
2018-04-20,92082.90889558739
2018-04-23,91342.51641460345
2018-04-24,90913.86719668643
2018-04-25,90212.42254278593
2018-04-26,91517.87980927857
2018-04-27,92082.90889558739
2018-04-30,91420.46561757014
2018-05-01,91056.29862290647
2018-05-02,91053.39765847748
2018-05-03,91228.19638493992
2018-05-04,91372.95787865337
2018-05-07,91379.39761580204
2018-05-08,91391.33574132907
2018-05-09,91479.0219791623
2018-05-10,91775.66666904307
2018-05-11,91898.19402793025
2018-05-14,91982.02029008453
2018-05-15,91619.2520726404
2018-05-16,91683.74345488843
2018-05-17,91765.68502548266
2018-05-18,91619.92221526895
2018-05-21,91910.124034309
2018-05-22,91852.09432505394
2018-05-23,91381.05411856217
2018-05-24,91266.57941240561
2018-05-25,91008.31276453432
2018-05-29,90217.81884445887
2018-05-30,90840.06142148541
2018-05-31,90534.39837265886
2018-06-01,90630.10882575778
2018-06-04,90687.91422006083
2018-06-05,90836.04888951824
2018-06-06,91038.53050281553
2018-06-07,91223.40373620656
2018-06-08,91298.29911459617
2018-06-11,91315.85144059738
2018-06-12,91349.37968419054
2018-06-13,91147.96304584562
2018-06-14,91406.02582992593
2018-06-15,91382.03584258317
2018-06-18,91308.65032491024
2018-06-19,91250.32117953835
2018-06-20,91183.34041563922
2018-06-21,91012.79712582374
2018-06-22,91105.37434347704
2018-06-25,90540.79395552538
2018-06-26,90663.36617140815
2018-06-27,90458.71952769568
2018-06-28,90672.50992282334
2018-06-29,90702.48422008139
2018-07-02,90561.4404506866
2018-07-03,90505.87084500004
2018-07-05,90682.11448460609
2018-07-06,90891.05084258161
2018-07-09,91057.16680650592
2018-07-10,91132.47627230878
2018-07-11,90986.74861458884
2018-07-12,91187.93721029465
2018-07-13,91222.6735383693
2018-07-16,91185.43776225968
2018-07-17,91271.55864664582
2018-07-18,91312.65879958455
2018-07-19,91256.87281328952
2018-07-20,91230.1847884021
2018-07-23,91232.74547463411
2018-07-24,91358.54510920642
2018-07-25,91534.27717477898
2018-07-26,91478.3873370493
2018-07-27,91326.3392240042
2018-07-30,91203.71283314809
2018-07-31,91318.82223800346
2018-08-01,90984.13695227396
2018-08-02,91479.78549432622
2018-08-03,91871.75140237811
2018-08-06,92208.67123722019
2018-08-07,92513.15370469278
2018-08-08,92474.30682490405
2018-08-09,92347.94309265546
2018-08-10,91729.221888589
2018-08-13,91385.81458027303
2018-08-14,91968.93542561108
2018-08-15,91282.18206409349
2018-08-16,92020.74054640734
2018-08-17,92344.7411207692
2018-08-20,92542.30557047462
2018-08-21,92759.36028383551
2018-08-22,92704.3142106257
2018-08-23,92581.20256808419
2018-08-24,93138.37908817342
2018-08-27,93873.77457912832
2018-08-28,93919.11450103772
2018-08-29,94424.4580570969
2018-08-30,94042.19273169867
2018-08-31,94045.45595869927
2018-09-04,93669.51606265904
2018-09-05,93538.82767364211
2018-09-06,93494.42790796666
2018-09-07,93193.10557354239
2018-09-10,93301.41069337234
2018-09-11,93285.42703030814
2018-09-12,93351.7397406951
2018-09-13,93623.5645205682
2018-09-14,93544.56466475506
2018-09-17,93304.7933984435
2018-09-18,93366.1569408146
2018-09-19,93338.34281914985
2018-09-20,93724.40059672011
2018-09-21,93699.39518324271
2018-09-24,93491.45367027665
2018-09-25,93401.80876558849
2018-09-26,93411.76751230785
2018-09-27,93543.31958222587
2018-09-28,93571.06371619296
2018-10-01,93533.35553251921
2018-10-02,93522.96020093095
2018-10-03,93526.14260955054
2018-10-04,93148.69418319795
2018-10-05,92882.88530633751
2018-10-08,92871.62307369633
2018-10-09,92821.06808058632
2018-10-10,91370.7956728369
2018-10-11,90403.14116011499
2018-10-12,91010.24409691506
2018-10-15,90778.16026957669
2018-10-16,91724.92501559883
2018-10-17,91732.98333256991
2018-10-18,91110.65032314166
2018-10-19,91058.41535256055
2018-10-22,90847.9956087744
