,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,99900.0999000999
2018-01-09,99737.4230949036
2018-01-10,99107.0667741157
2018-01-11,99717.08150881928
2018-01-12,100672.75418434762
2018-01-16,100205.3011298954
2018-01-17,101125.99398954076
2018-01-18,101119.61169887641
2018-01-19,101666.7161787633
2018-01-22,101888.97585297347
2018-01-23,102266.19996861447
2018-01-24,102908.88287007963
2018-01-25,102857.55114122563
2018-01-26,103913.57859990529
2018-01-29,102457.28141427336
2018-01-30,101323.68484260165
2018-01-31,102034.58159574712
2018-02-01,100890.02277712524
2018-02-02,98831.89903487956
2018-02-05,96084.69067567035
2018-02-06,98389.54598865284
2018-02-07,96049.25632806901
2018-02-08,93578.79370288778
2018-02-09,94700.42955995984
2018-02-12,94465.99296747702
2018-02-13,94465.99296747702
2018-02-14,94330.35936786418
2018-02-15,94296.46385402918
2018-02-16,94319.09178981623
2018-02-20,93158.75294297162
2018-02-21,93104.57209500133
2018-02-22,93150.13219668265
2018-02-23,94395.58568279872
2018-02-26,94648.44416063008
2018-02-27,93231.41862913396
2018-02-28,92579.54673779105
2018-03-01,92559.77377550847
2018-03-02,92726.67853475932
2018-03-05,92575.05359548343
2018-03-06,92774.77670186006
2018-03-07,92798.80689399855
2018-03-08,92820.20382941101
2018-03-09,93286.83023540962
2018-03-12,93280.03391824712
2018-03-13,92654.02631840491
2018-03-14,92763.52560831782
2018-03-15,92513.67818849444
2018-03-16,92348.14174511054
2018-03-19,91419.16557911843
2018-03-20,92169.36408047
2018-03-21,92593.28610344493
2018-03-22,90286.69532607327
2018-03-23,88929.68407985521
2018-03-26,88709.52118295977
2018-03-27,88773.29625746189
2018-03-28,88783.93834778649
2018-03-29,88815.81620160687
2018-04-02,87041.1047151394
2018-04-03,87903.9983866854
2018-04-04,87940.73086458535
2018-04-05,88161.02481858418
2018-04-06,86435.26270384235
2018-04-09,86252.27870428581
2018-04-10,86210.89895760543
2018-04-11,86210.89895760543
2018-04-12,86159.2330389486
2018-04-13,86138.61368324078
2018-04-16,85992.15039929963
2018-04-17,86089.3004395142
2018-04-18,86147.47358382496
2018-04-19,86065.50120888597
2018-04-20,85960.3648989111
2018-04-23,85729.12127579776
2018-04-24,85564.33019330737
2018-04-25,85486.769943013
2018-04-26,85708.36223311746
2018-04-27,85760.90319760647
2018-04-30,85435.46622713981
2018-05-01,85265.69116704032
2018-05-02,85263.02302977852
2018-05-03,85426.55808127427
2018-05-04,85561.8732564825
2018-05-07,85535.35901149003
2018-05-08,85540.49482120895
2018-05-09,85934.05189483712
2018-05-10,86338.50144758628
2018-05-11,86471.71614086028
2018-05-14,86329.77215250177
2018-05-15,85870.83747011822
2018-05-16,86141.2733291964
2018-05-17,86091.91602262309
2018-05-18,85940.95812340881
2018-05-21,86091.69411622414
2018-05-22,85971.5634621298
2018-05-23,86126.22439923079
2018-05-24,86063.46751226834
2018-05-25,85996.82786503505
2018-05-29,85455.02977891629
2018-05-30,85969.61305382356
2018-05-31,85685.72069253022
2018-06-01,86072.11741631903
2018-06-04,86188.20353150851
2018-06-05,86248.20667735445
2018-06-06,86782.06450963035
2018-06-07,86795.61969631333
2018-06-08,86983.55475754375
2018-06-11,86815.20913972787
2018-06-12,86811.9671080999
2018-06-13,86711.27200222724
2018-06-14,86789.3454705303
2018-06-15,86792.88672642816
2018-06-18,86551.66521891078
2018-06-19,86500.82931098214
2018-06-20,86433.94467252515
2018-06-21,86278.40507923768
2018-06-22,86365.05191402146
2018-06-25,85987.80193131504
2018-06-26,86066.5204371565
2018-06-27,86136.93819659551
2018-06-28,86194.43189372336
2018-06-29,86174.34565978611
2018-07-02,86040.3432160659
2018-07-03,85987.54781084863
2018-07-05,86154.99284226474
2018-07-06,86353.49847403323
2018-07-09,86459.7911087659
2018-07-10,86582.6503931724
2018-07-11,86351.67366151602
2018-07-12,86727.58152662856
2018-07-13,86833.38144944343
2018-07-16,86549.37309889874
2018-07-17,86699.13239571976
2018-07-18,86756.79781977084
2018-07-19,86710.75828323078
2018-07-20,86509.15315249361
2018-07-23,86370.53311606693
2018-07-24,86764.41525457986
2018-07-25,87348.14000659387
2018-07-26,87213.62019257338
2018-07-27,86797.20550347329
2018-07-30,86171.31090724604
2018-07-31,86596.04792478372
2018-08-01,86451.40177359243
2018-08-02,86922.3576202136
2018-08-03,87294.79619394345
2018-08-06,87321.59344664117
2018-08-07,87330.20997448804
2018-08-08,87243.91169368307
2018-08-09,87217.92766524444
2018-08-10,86996.2149539684
2018-08-13,86647.14572634321
2018-08-14,86880.73379449945
2018-08-15,86661.72156926757
2018-08-16,86998.53083229852
2018-08-17,87168.83978637491
2018-08-20,87200.25644592108
2018-08-21,87193.73154835223
2018-08-22,87164.04674105611
2018-08-23,87121.04496090404
2018-08-24,87469.75343371514
2018-08-27,87542.07887980822
2018-08-28,87465.74135950935
2018-08-29,87689.82826080403
2018-08-30,87591.28385320073
2018-08-31,87601.3053486573
2018-09-04,87251.12547776353
2018-09-05,87129.39207389951
2018-09-06,87088.034653802
2018-09-07,86807.35942545433
2018-09-10,86714.40477063162
2018-09-11,86831.44823078581
2018-09-12,86841.99608063936
2018-09-13,87104.75003145213
2018-09-14,87096.64964901515
2018-09-17,86666.09196466455
2018-09-18,86723.20607445558
2018-09-19,86705.34310785934
2018-09-20,87171.21447982213
2018-09-21,87138.71286504586
2018-09-24,86820.15449465619
2018-09-25,86785.18317531049
2018-09-26,86660.85186033032
2018-09-27,86781.49524461503
2018-09-28,86806.89365710563
2018-10-01,86771.91136492928
2018-10-02,86762.26750273649
2018-10-03,86765.2198578305
2018-10-04,86415.0568468936
2018-10-05,86168.46306041357
2018-10-08,85980.72959722311
2018-10-09,85972.71122087611
2018-10-10,85308.54448734727
2018-10-11,84873.98442183244
2018-10-12,85156.33789307399
2018-10-15,85016.93091566168
2018-10-16,84986.1953598211
2018-10-17,84986.1953598211
