,EEM,LQD,SHY,EFA,SPY,IEF,AGG
2018-01-05,1.0,,,,,,
2018-01-12,0.75,0.25,,,,,
2018-01-19,0.75,,0.25,,,,
2018-01-26,0.75,0.25,,,,,
2018-02-02,0.75,,0.25,,,,
2018-02-09,,,1.0,,,,
2018-02-16,0.75,,0.25,,,,
2018-02-23,0.5,,0.5,,,,
2018-03-02,0.25,,0.75,,,,
2018-03-09,0.75,,0.25,,,,
2018-03-16,0.75,,0.25,,,,
2018-03-23,,,1.0,,,,
2018-03-29,1.0,,,,,,
2018-04-06,,,1.0,,,,
2018-04-13,,,0.75,0.25,,,
2018-04-20,,,0.5,0.5,,,
2018-04-27,,,0.5,0.5,,,
2018-05-04,,,0.5,,0.5,,
2018-05-11,,,0.25,,0.75,,
2018-05-18,,,0.5,,0.5,,
2018-05-25,,,0.5,,0.5,,
2018-06-01,,,0.25,,0.75,,
2018-06-08,,,0.75,,0.25,,
2018-06-15,,,,,0.5,0.5,
2018-06-22,,,,,0.25,0.75,
2018-06-29,,,0.75,,0.25,,
2018-07-06,,,,,0.5,0.5,
2018-07-13,,,,,0.5,0.5,
2018-07-20,,0.25,,,0.75,,
2018-07-27,,,,,1.0,,
2018-08-03,,0.5,,,0.5,,
2018-08-10,,,,,0.5,0.5,
2018-08-17,,0.5,,,0.5,,
2018-08-24,,,,,0.5,0.5,
2018-08-31,,,,,0.5,0.5,
2018-09-07,,,0.5,,0.5,,
2018-09-14,,0.5,,,0.5,,
2018-09-21,,,0.5,,0.5,,
2018-09-28,,,0.5,,0.5,,
2018-10-05,,,0.75,,0.25,,
2018-10-12,,,1.0,,,,
2018-10-19,,,1.0,,,,
2018-10-26,,,1.0,,,,
2018-11-02,,,1.0,,,,
2018-11-09,,,0.75,,0.25,,
2018-11-16,,,,,,0.75,0.25
2018-11-23,,,1.0,,,,
2018-11-30,,,,,,0.75,0.25
2018-12-07,,,,,,0.75,0.25
2018-12-14,,,,,,0.75,0.25
2018-12-21,,,,,,0.75,0.25
2018-12-28,,,,,,0.75,0.25
2019-01-04,,,,,,0.75,0.25
2019-01-11,,,,,,0.5,0.5
2019-01-18,1.0,,,,,,
2019-01-25,1.0,,,,,,
2019-02-01,1.0,,,,,,
2019-02-08,,0.25,,,0.75,,
2019-02-15,,,,,1.0,,
2019-02-22,,,,,1.0,,
2019-03-01,,0.25,,,0.75,,
2019-03-08,,0.25,,0.75,,,
2019-03-15,,,,1.0,,,
2019-03-22,,,,,1.0,,
2019-03-29,,,,,1.0,,
2019-04-05,1.0,,,,,,
2019-04-12,,,,,1.0,,
2019-04-18,,,,,1.0,,
2019-04-26,,,,,1.0,,
2019-05-03,,,,,1.0,,
2019-05-10,,,,,0.75,0.25,
2019-05-17,,,,,,0.5,0.5
2019-05-24,,,,,,0.75,0.25
2019-05-31,,,,,,0.75,0.25
2019-06-07,,0.25,,,,,0.75
2019-06-14,,0.25,,,,,0.75
2019-06-21,,,,,1.0,,
2019-06-28,,,,,1.0,,
2019-07-05,,,,,1.0,,
2019-07-12,,,,,1.0,,
2019-07-19,,0.25,,,0.75,,
2019-07-26,,0.25,,,0.75,,
2019-08-02,,0.5,,,,,0.5
2019-08-09,,0.5,,,,,0.5
2019-08-16,,0.75,,,,,0.25
2019-08-23,,0.75,,,,,0.25
