,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99152.86414136086
2018-02-02,97543.93414247342
2018-02-05,94688.01357089725
2018-02-06,96491.20889801979
2018-02-07,95493.5726387524
2018-02-08,92397.2572501621
2018-02-09,93490.09664328542
2018-02-12,94715.24652146574
2018-02-13,95069.60198590437
2018-02-14,96302.34892713239
2018-02-15,97752.82074085691
2018-02-16,97498.52805313228
2018-02-20,97540.19207046111
2018-02-21,97198.86647496244
2018-02-22,97223.36457717129
2018-02-23,98826.53680196762
2018-02-26,99844.1481134186
2018-02-27,98804.5255651986
2018-02-28,98372.71527583897
2018-03-01,97442.98858515488
2018-03-02,97862.75379925368
2018-03-05,98402.92683892077
2018-03-06,98599.62653441424
2018-03-07,98714.11603436118
2018-03-08,98998.87717800474
2018-03-09,99944.0999218791
2018-03-12,100237.75517833872
2018-03-13,99553.76175884182
2018-03-14,99539.05787893667
2018-03-15,99500.91936053813
2018-03-16,99327.66160185804
2018-03-19,98256.44632598711
2018-03-20,98400.48206207332
2018-03-21,98221.17857907273
2018-03-22,97033.26709096649
2018-03-23,95783.54283519738
2018-03-26,97491.94703806945
2018-03-27,95962.94222141098
2018-03-28,95430.7355764622
2018-03-29,96295.25151862639
2018-04-02,94371.08647380536
2018-04-03,95306.6469031183
2018-04-04,95346.47272862497
2018-04-05,95585.31827005642
2018-04-06,93714.22476433268
2018-04-09,93813.75285756316
2018-04-10,95645.02965541428
2018-04-11,95684.8463632869
2018-04-12,95645.02965541428
2018-04-13,94689.5745486161
2018-04-16,94809.01555459992
2018-04-17,95008.06262342684
2018-04-18,95824.2093996581
2018-04-19,95266.8575481478
2018-04-20,94072.50219411391
2018-04-23,93316.11239141074
2018-04-24,92878.20154588428
2018-04-25,92161.6010981516
2018-04-26,93495.26478275242
2018-04-27,94072.50219411391
2018-04-30,93395.74580715598
2018-05-01,93721.26310072685
2018-05-02,93460.05771431168
2018-05-03,93487.90316902346
2018-05-04,94360.09090020454
2018-05-07,94756.80876413995
2018-05-08,94713.17452071348
2018-05-09,95214.88662513014
2018-05-10,95718.75433612344
2018-05-11,95672.41675132158
2018-05-14,95756.39315174142
2018-05-15,95183.96394928632
2018-05-16,95505.39952774865
2018-05-17,95328.39910490435
2018-05-18,95098.8785554952
2018-05-21,95371.06765095345
2018-05-22,95307.36045320658
2018-05-23,95757.82005469085
2018-05-24,95771.33281112964
2018-05-25,95859.77724447049
2018-05-29,95777.11373128823
2018-05-30,96071.44318395297
2018-05-31,96017.19911124007
2018-06-01,96865.14559040844
2018-06-04,97440.09102181825
2018-06-05,97729.14378225352
2018-06-06,98064.17818140732
2018-06-07,97560.58165019646
2018-06-08,97532.01136333153
2018-06-11,97707.22026656987
2018-06-12,98081.94504004225
2018-06-13,98049.60487466876
2018-06-14,98876.76149217931
2018-06-15,98633.48558635023
2018-06-18,98601.98382287254
2018-06-19,98453.48338005232
2018-06-20,98905.5620069275
2018-06-21,98316.61366168241
2018-06-22,98156.13435803218
2018-06-25,96516.12899658337
2018-06-26,96824.29752361099
2018-06-27,95924.63947095389
2018-06-28,96519.52667026108
2018-06-29,96695.58563059734
2018-07-02,96984.39112514784
2018-07-03,96149.78163675676
2018-07-05,97040.78374632592
2018-07-06,98180.805896474
2018-07-09,98832.54410881171
2018-07-10,98884.48461989206
2018-07-11,98513.66670073559
2018-07-12,99792.59013977389
2018-07-13,99861.66931735305
2018-07-16,99674.52266205201
2018-07-17,100131.23226329868
2018-07-18,99984.989287231
2018-07-19,99617.09469112648
2018-07-20,99600.22887467431
2018-07-23,99826.07932073117
2018-07-24,100140.99470813519
2018-07-25,101194.87970381827
2018-07-26,100026.90500811394
2018-07-27,99005.15300080713
2018-07-30,97946.81287459859
2018-07-31,98511.8244883029
2018-08-01,98508.2889496694
2018-08-02,99545.2250171314
2018-08-03,99851.74715577468
2018-08-06,100318.1215876018
2018-08-07,100517.2630926425
2018-08-08,100570.88505526041
2018-08-09,100544.0553324467
2018-08-10,100003.6325956269
2018-08-13,99913.69166079545
2018-08-14,100417.84070720166
2018-08-15,99541.25463835338
2018-08-16,99819.73983669162
2018-08-17,99857.75466292858
2018-08-20,99854.78003037637
2018-08-21,100068.83392947972
2018-08-22,100359.21694516404
2018-08-23,100259.07784484504
2018-08-24,101010.11191323641
2018-08-27,101749.03426060504
2018-08-28,101768.18743087974
2018-08-29,102632.7336938671
2018-08-30,102518.26243786083
2018-08-31,102582.3457893274
2018-09-04,101989.79680622114
2018-09-05,101000.01431228593
2018-09-06,100377.83240999267
2018-09-07,99974.91901422234
2018-09-10,100240.82762906994
2018-09-11,100724.27830128718
2018-09-12,100532.1388176396
2018-09-13,101331.80712767022
2018-09-14,101062.17652872772
2018-09-17,99977.0538863253
2018-09-18,100489.1349232842
2018-09-19,100389.04003017719
2018-09-20,101222.53794960747
2018-09-21,100817.03507487071
2018-09-24,100999.7302804709
2018-09-25,101077.75096014336
2018-09-26,101213.80671515156
2018-09-27,101856.71978414032
2018-09-28,101852.72092197601
2018-10-01,101739.07366378327
2018-10-02,101642.5627765342
2018-10-03,101672.77578068779
2018-10-04,100683.92373431337
2018-10-05,100067.74769155186
2018-10-08,99754.5720156678
2018-10-09,99931.62770163693
2018-10-10,97782.77429084026
2018-10-11,97218.45302613179
2018-10-12,98509.65747100141
2018-10-15,97950.83479110719
2018-10-16,99302.96330743378
2018-10-17,99322.12807689513
2018-10-18,98228.43564470275
2018-10-19,98154.02749509427
2018-10-22,98385.23024901246
