symbol,entry_date,exit_date,pnl_pct,pnl_dollar,exit_reason,regime
AMZN,2024-01-02,2024-01-04,-0.03575,-50.65,stop_loss,bull
NVDA,2024-01-02,2024-01-08,0.08481,205.07,model_sell,bull
ADBE,2024-01-02,2024-01-08,0.00083,1.46,model_sell,bull
NOW,2024-01-02,2024-01-08,0.01271,27.72,model_sell,bull
TSLA,2024-01-02,2024-01-09,-0.05418,-200.77,stop_loss,bull
META,2024-01-02,2024-01-09,0.03217,51.07,model_sell,bull
BAC,2024-01-04,2024-01-09,-0.00503,-7.21,model_sell,bull
NFLX,2024-01-02,2024-01-09,0.02901,41.91,model_sell,bull
CRM,2024-01-02,2024-01-09,0.02034,38.47,model_sell,bull
AMD,2024-01-02,2024-01-09,0.07707,316.5,model_sell,bull
INTC,2024-01-02,2024-01-09,0.00523,16.64,model_sell,bull
SPGI,2024-01-02,2024-01-09,-0.01425,-37.86,model_sell,bull
TSLA,2024-01-09,2024-01-10,-0.00434,-12.22,model_sell,bull
AVGO,2024-01-03,2024-01-10,0.02077,34.76,model_sell,bull
COST,2024-01-04,2024-01-10,0.03765,55.59,model_sell,bull
NVDA,2024-01-10,2024-01-11,0.00868,14.68,model_sell,bull
CRM,2024-01-10,2024-01-11,0.02745,58.47,model_sell,bull
QCOM,2024-01-02,2024-01-11,-0.00856,-24.66,model_sell,bull
INTC,2024-01-12,2024-01-16,-0.00127,-3.74,model_sell,bull
GS,2024-01-04,2024-01-16,-0.00653,-14.22,model_sell,bull
TSLA,2024-01-11,2024-01-17,-0.05136,-148.33,stop_loss,bull
NEE,2024-01-16,2024-01-17,-0.03447,-61.22,stop_loss,bull
SPGI,2024-01-11,2024-01-17,0.00815,16.41,model_sell,bull
TSLA,2024-01-17,2024-01-18,-0.01703,-38.86,model_sell,bull
INTC,2024-01-17,2024-01-19,0.04538,174.5,model_sell,bull
TSLA,2024-01-19,2024-01-22,-0.01598,-29.75,model_sell,bull
HD,2024-01-18,2024-01-22,-0.00338,-7.28,model_sell,bull
INTU,2024-01-02,2024-01-22,0.04604,95.02,model_sell,bull
META,2024-01-19,2024-01-23,0.00456,7.73,model_sell,bull
COST,2024-01-11,2024-01-23,0.0208,37.86,model_sell,bull
CRM,2024-01-12,2024-01-23,0.0178,33.99,model_sell,bull
AMD,2024-01-19,2024-01-23,-0.03335,-70.84,model_sell,bull
INTC,2024-01-22,2024-01-23,0.01389,33.41,model_sell,bull
SPGI,2024-01-19,2024-01-23,0.01027,16.29,model_sell,bull
GS,2024-01-17,2024-01-23,0.00952,22.82,model_sell,bull
AMD,2024-01-24,2024-01-25,0.01144,25.33,model_sell,bull
COST,2024-01-24,2024-01-26,0.00054,1.43,model_sell,bull
TMO,2024-01-17,2024-01-31,-0.0005,-1.43,stop_loss,bull
AMD,2024-01-29,2024-01-31,-0.05702,-191.36,stop_loss,bull
INTU,2024-01-29,2024-01-31,-0.03301,-76.36,stop_loss,bull
QCOM,2024-01-29,2024-02-01,-0.057,-89.21,stop_loss,bull
COST,2024-01-29,2024-02-01,0.01658,58.58,model_sell,bull
GS,2024-01-29,2024-02-01,0.00865,17.17,model_sell,bull
AMZN,2024-01-04,2024-02-02,0.18842,332.78,take_profit,bull
NVDA,2024-01-29,2024-02-02,0.05915,102.7,model_sell,bull
AVGO,2024-01-29,2024-02-02,0.0054,11.7,model_sell,bull
HD,2024-01-29,2024-02-02,0.0043,8.04,model_sell,bull
CRM,2024-01-29,2024-02-02,-0.00764,-19.4,model_sell,bull
AMD,2024-01-31,2024-02-02,0.05945,135.21,model_sell,bull
INTU,2024-01-31,2024-02-02,0.01307,30.89,model_sell,bull
INTC,2024-01-29,2024-02-02,-0.02828,-79.47,model_sell,bull
COST,2024-02-02,2024-02-05,0.00237,6.33,model_sell,bull
TMO,2024-01-31,2024-02-05,0.02345,72.5,model_sell,bull
NOW,2024-01-31,2024-02-05,0.0254,39.6,model_sell,bull
TMO,2024-02-06,2024-02-13,-0.0387,-117.3,stop_loss,bull
CRM,2024-02-08,2024-02-13,-0.03699,-115.13,stop_loss,bull
AVGO,2024-02-06,2024-02-15,0.0347,97.02,model_sell,bull
ADBE,2024-02-12,2024-02-16,-0.10653,-163.98,stop_loss,bull
HD,2024-02-08,2024-02-16,-0.00377,-6.66,model_sell,bull
INTC,2024-02-08,2024-02-16,0.02376,70.63,model_sell,bull
NVDA,2024-02-06,2024-02-20,0.01801,32.35,stop_loss,bull
META,2024-02-06,2024-02-20,0.03745,53.62,model_sell,bull
COST,2024-02-06,2024-02-20,0.02096,70.13,model_sell,bull
TMO,2024-02-13,2024-02-20,0.01771,52.99,model_sell,bull
CRM,2024-02-13,2024-02-20,0.01864,51.65,model_sell,bull
AMD,2024-02-05,2024-02-20,-0.04902,-100.71,model_sell,bull
INTU,2024-02-08,2024-02-20,-0.01096,-25.28,model_sell,bull
QCOM,2024-02-14,2024-02-20,-0.01286,-17.46,model_sell,bull
GS,2024-02-08,2024-02-20,-0.00135,-2.11,model_sell,bull
AVGO,2024-02-20,2024-02-21,0.00073,2.28,model_sell,bull
AMGN,2024-02-15,2024-02-21,-0.01941,-28.24,model_sell,bull
NOW,2024-02-13,2024-02-21,-0.03337,-49.42,model_sell,bull
NVDA,2024-02-21,2024-02-22,0.16401,336.79,model_sell,bull
COST,2024-02-27,2024-02-29,-0.0011,-2.75,model_sell,bull
CRM,2024-02-27,2024-02-29,0.03112,65.4,model_sell,bull
AMD,2024-02-27,2024-02-29,0.08163,224.22,model_sell,bull
META,2024-02-26,2024-03-01,0.04268,147.49,model_sell,bull
AVGO,2024-02-28,2024-03-01,0.08512,236.37,model_sell,bull
TMO,2024-02-28,2024-03-01,0.00752,15.0,model_sell,bull
INTU,2024-02-29,2024-03-01,0.00548,12.78,model_sell,bull
INTC,2024-02-27,2024-03-01,0.02551,56.73,model_sell,bull
SPGI,2024-02-13,2024-03-04,0.0091,12.86,model_sell,bull
NVDA,2024-02-26,2024-03-05,0.08694,141.48,model_sell,bull
LLY,2024-02-26,2024-03-06,0.01017,25.35,model_sell,bull
META,2024-03-07,2024-03-08,-0.01218,-40.05,model_sell,bull
LLY,2024-03-07,2024-03-11,-0.05869,-212.73,stop_loss,bull
MSFT,2024-01-05,2024-03-14,0.15841,209.12,take_profit,bull
INTU,2024-03-08,2024-03-15,-0.04022,-128.66,stop_loss,bull
TMO,2024-03-11,2024-03-18,-0.03169,-71.75,stop_loss,bull
AMD,2024-03-11,2024-03-19,-0.08554,-120.07,stop_loss,bull
INTC,2024-03-11,2024-03-19,-0.06264,-62.96,stop_loss,bull
INTU,2024-03-15,2024-03-21,0.0412,103.93,model_sell,bull
META,2024-03-11,2024-03-22,0.05374,180.26,model_sell,bull
INTC,2024-03-19,2024-03-22,0.01237,4.61,model_sell,bull
NOW,2024-03-11,2024-03-22,0.02301,40.99,model_sell,bull
AMZN,2024-03-11,2024-03-25,0.04507,73.93,model_sell,bull
NVDA,2024-03-08,2024-03-25,0.08539,143.18,model_sell,bull
AVGO,2024-03-08,2024-03-25,0.03715,64.65,model_sell,bull
COST,2024-03-08,2024-03-25,0.00744,25.93,model_sell,bull
LLY,2024-03-11,2024-03-26,0.05519,216.99,model_sell,bull
NFLX,2024-03-13,2024-03-26,0.03247,55.64,model_sell,bull
CRM,2024-03-08,2024-03-26,0.00311,6.66,model_sell,bull
META,2024-03-25,2024-03-27,-0.01821,-52.58,model_sell,bull
TMO,2024-03-18,2024-03-27,-0.00117,-2.95,model_sell,bull
AMD,2024-03-19,2024-03-27,-0.01009,-9.2,model_sell,bull
QCOM,2024-03-11,2024-03-27,-0.01163,-18.58,model_sell,bull
AVGO,2024-03-26,2024-03-28,-0.00457,-12.67,model_sell,bull
META,2024-03-28,2024-04-01,0.01188,36.03,model_sell,bull
NVDA,2024-03-26,2024-04-01,-0.02375,-70.26,model_sell,bull
LLY,2024-03-28,2024-04-01,-0.02238,-65.73,model_sell,bull
QCOM,2024-03-28,2024-04-01,0.01429,30.61,model_sell,bull
AMZN,2024-03-28,2024-04-02,0.00172,3.99,model_sell,bull
NFLX,2024-03-27,2024-04-02,0.00111,3.34,model_sell,bull
AMD,2024-04-01,2024-04-02,-0.02531,-91.78,model_sell,bull
INTC,2024-04-01,2024-04-02,-0.01303,-24.62,model_sell,bull
NVDA,2024-04-03,2024-04-04,-0.03438,-107.33,stop_loss,bull
CRM,2024-04-03,2024-04-04,-0.03478,-79.75,stop_loss,bull
LLY,2024-04-05,2024-04-09,-0.03439,-95.16,stop_loss,bull
INTC,2024-04-05,2024-04-12,-0.07802,-118.64,stop_loss,bull
LIN,2024-04-08,2024-04-12,-0.03089,-54.21,stop_loss,bull
META,2024-04-05,2024-04-15,-0.05141,-164.41,stop_loss,bull
AMD,2024-04-05,2024-04-15,-0.05927,-141.02,stop_loss,bull
CRM,2024-04-05,2024-04-15,-0.09609,-210.42,stop_loss,bull
NOW,2024-04-05,2024-04-15,-0.06087,-97.68,stop_loss,bull
TMO,2024-04-08,2024-04-15,-0.03616,-52.93,stop_loss,bull
TSLA,2024-04-09,2024-04-15,-0.08706,-97.39,stop_loss,bull
QCOM,2024-04-03,2024-04-16,-0.03065,-115.3,stop_loss,bull
AMZN,2024-04-05,2024-04-16,-0.00946,-19.2,model_sell,bull
META,2024-04-15,2024-04-16,-0.00094,-2.3,model_sell,bull
NVDA,2024-04-05,2024-04-16,-0.00674,-27.43,model_sell,bull
