trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
s10_turn_of_month_spy_2bps_full,2026-07-02,turn_of_month_spy net @2bps/side full,daily_ledger_v1,full,0.4292,0.03722,-0.28814,1,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md
s10_turn_of_month_spy_2bps_half1_2005_2015,2026-07-02,turn_of_month_spy net @2bps/side half1_2005_2015,daily_ledger_v1,half1_2005_2015,0.2684,0.02206,-0.28814,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_2bps_half2_2016_2026,2026-07-02,turn_of_month_spy net @2bps/side half2_2016_2026,daily_ledger_v1,half2_2016_2026,0.6274,0.05457,-0.13882,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_10bps_full,2026-07-02,turn_of_month_spy net @10bps/side full,daily_ledger_v1,full,0.0301,-0.00177,-0.36028,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_10bps_half1_2005_2015,2026-07-02,turn_of_month_spy net @10bps/side half1_2005_2015,daily_ledger_v1,half1_2005_2015,-0.1136,-0.01638,-0.32351,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_10bps_half2_2016_2026,2026-07-02,turn_of_month_spy net @10bps/side half2_2016_2026,daily_ledger_v1,half2_2016_2026,0.2054,0.01474,-0.16248,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_20bps_full,2026-07-02,turn_of_month_spy net @20bps/side full,daily_ledger_v1,full,-0.4597,-0.04854,-0.68775,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_20bps_half1_2005_2015,2026-07-02,turn_of_month_spy net @20bps/side half1_2005_2015,daily_ledger_v1,half1_2005_2015,-0.5822,-0.06248,-0.53649,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_turn_of_month_spy_20bps_half2_2016_2026,2026-07-02,turn_of_month_spy net @20bps/side half2_2016_2026,daily_ledger_v1,half2_2016_2026,-0.3128,-0.03302,-0.33054,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_0bps_full,2026-07-02,overnight_qqq gross @0bps/side full,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",full,0.9439,0.11614,-0.27432,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_0bps_half1_2005_2015,2026-07-02,overnight_qqq gross @0bps/side half1_2005_2015,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",half1_2005_2015,0.9609,0.10764,-0.2468,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_0bps_half2_2016_2026,2026-07-02,overnight_qqq gross @0bps/side half2_2016_2026,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",half2_2016_2026,0.9365,0.12522,-0.27432,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_1bps_full,2026-07-02,overnight_qqq net @1bps/side full,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",full,0.5405,0.06138,-0.30821,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_1bps_half1_2005_2015,2026-07-02,overnight_qqq net @1bps/side half1_2005_2015,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",half1_2005_2015,0.5154,0.05322,-0.29024,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_1bps_half2_2016_2026,2026-07-02,overnight_qqq net @1bps/side half2_2016_2026,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",half2_2016_2026,0.5666,0.07004,-0.30821,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
s10_overnight_qqq_2bps_full,2026-07-02,overnight_qqq net @2bps/side full,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",full,0.137,0.00929,-0.3531,1,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md
s10_overnight_qqq_2bps_half1_2005_2015,2026-07-02,overnight_qqq net @2bps/side half1_2005_2015,"daily_ledger_v1 (overnight leg via ledger _build_return_frames, NAV compounded daily)",half1_2005_2015,0.0698,0.00147,-0.33118,0,research/droplets/study10_calendar/run_study10.py,OWNER-AUTHORIZED quarterly spec-budget expansion; study10 pre-registered HYPOTHESIS.md; same config re-costed/sub-window (n_rep counted once on primary full row)
