trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
S12_R01,2026-07-02,arm_blend_126_252_single_tranche,daily_ledger_v1,2007-2017_dev,0.969,12.98,-16.97,1,dev_reference,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R02,2026-07-02,arm_blend_126_252_single_tranche,daily_ledger_v1,2007-2017_dev,0.918,12.21,-18.00,1,dev_reference,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R03,2026-07-02,arm_gem,daily_ledger_v1,2007-2017_dev,0.543,7.25,-24.60,1,dev_reference,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R04,2026-07-02,arm_gem,daily_ledger_v1,2007-2017_dev,0.507,6.67,-24.75,1,dev_reference,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R05,2026-07-02,arm_spy_sma200,daily_ledger_v1,2007-2017_dev,0.864,10.20,-17.31,1,dev_reference,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R06,2026-07-02,arm_spy_sma200,daily_ledger_v1,2007-2017_dev,0.847,9.98,-17.31,1,dev_reference,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-rewindow-common-calendar
S12_R07,2026-07-02,arm_blend_126_252_single_tranche,daily_ledger_v1,2007-2026_full,0.889,13.51,-16.97,1,diagnostic,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_R08,2026-07-02,arm_blend_126_252_single_tranche,daily_ledger_v1,2007-2026_full,0.839,12.62,-18.00,1,diagnostic,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_R09,2026-07-02,arm_gem,daily_ledger_v1,2007-2026_full,0.597,8.78,-33.72,1,diagnostic,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_R10,2026-07-02,arm_gem,daily_ledger_v1,2007-2026_full,0.569,8.30,-33.72,1,diagnostic,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_R11,2026-07-02,arm_spy_sma200,daily_ledger_v1,2007-2026_full,0.783,9.36,-28.14,1,diagnostic,cost=10bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_R12,2026-07-02,arm_spy_sma200,daily_ledger_v1,2007-2026_full,0.759,9.03,-29.00,1,diagnostic,cost=20bps;owner-authorized-budget-expansion;exempt-published-arm-full-window-diagnostic
S12_001,2026-07-02,book_EW_thirds,daily_ledger_v1,2007-2017_dev,0.856,10.27,-14.98,1,dev,cost=10bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.333/0.333/0.333;netted_cost=45.9bps/yr;unnetted=47.2
S12_002,2026-07-02,book_EW_thirds,daily_ledger_v1,2007-2017_dev,0.819,9.76,-15.14,1,dev,cost=20bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.333/0.333/0.333;netted_cost=91.8bps/yr;unnetted=94.5
S12_003,2026-07-02,book_IVOL_devwindow,daily_ledger_v1,2007-2017_dev,0.866,10.35,-15.00,1,dev,cost=10bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.3303/0.2993/0.3704;netted_cost=44.8bps/yr;unnetted=46.0
S12_004,2026-07-02,book_IVOL_devwindow,daily_ledger_v1,2007-2017_dev,0.830,9.86,-15.15,1,dev,cost=20bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.3303/0.2993/0.3704;netted_cost=89.6bps/yr;unnetted=91.9
S12_005,2026-07-02,book_CONV_50_25_25,daily_ledger_v1,2007-2017_dev,0.902,10.97,-14.32,1,dev,cost=10bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.50/0.25/0.25;netted_cost=51.6bps/yr;unnetted=52.5;FINAL-by-rule-but-FAIL
S12_006,2026-07-02,book_CONV_50_25_25,daily_ledger_v1,2007-2017_dev,0.860,10.39,-14.32,1,dev,cost=20bps;owner-authorized-budget-expansion;fr(BLEND/GEM/SMA)=0.50/0.25/0.25;netted_cost=103.3bps/yr;unnetted=105.0;FINAL-by-rule-but-FAIL
