cost_bps,control,metric,arm,window_months,value,extra
10.0,,sharpe_sd_12m,blend,12,0.8339419232135864,obs_sharpe_2018plus=0.816
10.0,,sharpe_sd_12m,gem,12,0.9571154081483211,obs_sharpe_2018plus=0.653
10.0,,sharpe_sd_12m,spy_sma200,12,0.9407516137989704,obs_sharpe_2018plus=0.677
10.0,gem,edge_sd_12m,blend,12,0.8126289447440384,obs_edge=0.163;daily_corr=0.541
10.0,spy_sma200,edge_sd_12m,blend,12,0.5724124617951062,obs_edge=0.139;daily_corr=0.799
10.0,gem,fpr_literal_rule,blend,12,0.338,P(edge_hat>=0.2|true=0);B=5000
10.0,gem,fnr_literal_rule,blend,12,0.5702,P(edge_hat<0.2|true=0.2);B=5000
10.0,gem,power_literal_rule,blend,12,0.4298,1-FNR;B=5000
10.0,gem,power_sharpe_diff_test5pct,blend,12,0.08,crit=1.248;B=5000
10.0,gem,power_paired_test5pct,blend,12,0.0926,crit=1.324;true_pair_sharpe=0.206;B=5000
10.0,gem,fpr_literal_rule,blend,24,0.3175,P(edge_hat>=0.2|true=0);B=2000
10.0,gem,fnr_literal_rule,blend,24,0.5505,P(edge_hat<0.2|true=0.2);B=2000
10.0,gem,power_literal_rule,blend,24,0.4495,1-FNR;B=2000
10.0,gem,power_sharpe_diff_test5pct,blend,24,0.0965,crit=0.905;B=2000
10.0,gem,power_paired_test5pct,blend,24,0.1135,crit=0.894;true_pair_sharpe=0.206;B=2000
10.0,gem,fpr_literal_rule,blend,36,0.3025,P(edge_hat>=0.2|true=0);B=2000
10.0,gem,fnr_literal_rule,blend,36,0.547,P(edge_hat<0.2|true=0.2);B=2000
10.0,gem,power_literal_rule,blend,36,0.453,1-FNR;B=2000
10.0,gem,power_sharpe_diff_test5pct,blend,36,0.1065,crit=0.749;B=2000
10.0,gem,power_paired_test5pct,blend,36,0.1155,crit=0.762;true_pair_sharpe=0.206;B=2000
10.0,gem,fpr_literal_rule,blend,60,0.2665,P(edge_hat>=0.2|true=0);B=2000
10.0,gem,fnr_literal_rule,blend,60,0.556,P(edge_hat<0.2|true=0.2);B=2000
10.0,gem,power_literal_rule,blend,60,0.444,1-FNR;B=2000
10.0,gem,power_sharpe_diff_test5pct,blend,60,0.134,crit=0.582;B=2000
10.0,gem,power_paired_test5pct,blend,60,0.157,crit=0.579;true_pair_sharpe=0.206;B=2000
10.0,gem,fpr_literal_rule,blend,96,0.235,P(edge_hat>=0.2|true=0);B=2000
10.0,gem,fnr_literal_rule,blend,96,0.522,P(edge_hat<0.2|true=0.2);B=2000
10.0,gem,power_literal_rule,blend,96,0.478,1-FNR;B=2000
10.0,gem,power_sharpe_diff_test5pct,blend,96,0.1605,crit=0.478;B=2000
10.0,gem,power_paired_test5pct,blend,96,0.202,crit=0.452;true_pair_sharpe=0.206;B=2000
10.0,gem,fpr_literal_rule,blend,120,0.197,P(edge_hat>=0.2|true=0);B=2000
10.0,gem,fnr_literal_rule,blend,120,0.5275,P(edge_hat<0.2|true=0.2);B=2000
10.0,gem,power_literal_rule,blend,120,0.4725,1-FNR;B=2000
10.0,gem,power_sharpe_diff_test5pct,blend,120,0.1785,crit=0.418;B=2000
10.0,gem,power_paired_test5pct,blend,120,0.2075,crit=0.406;true_pair_sharpe=0.206;B=2000
10.0,gem,fpr_literal_rule,blend,180,0.164,P(edge_hat>=0.2|true=0);B=2000
