trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
S13RP_001,2026-07-02,blend,daily_ledger_v1,2018-latest,0.816,13.92,-16.93,1,power_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_002,2026-07-02,gem,daily_ledger_v1,2018-latest,0.653,10.66,-33.72,1,power_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_003,2026-07-02,spy_sma200,daily_ledger_v1,2018-latest,0.677,8.17,-28.14,1,power_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_004,2026-07-02,blend,daily_ledger_v1,full-common,0.838,12.3,-17.37,1,spa_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_005,2026-07-02,gem,daily_ledger_v1,full-common,0.597,8.78,-33.72,1,spa_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_006,2026-07-02,spy_sma200,daily_ledger_v1,full-common,0.827,9.83,-28.14,1,spa_input,cost=10bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_007,2026-07-02,promotion_rule_vs_gem,daily_ledger_v1,12m-bootstrap,0.163,,,1,power_analysis,cost=10bps;FPR=0.338;FNR=0.570;block=21;B=5000;owner-authorized-budget-expansion
S13RP_008,2026-07-02,promotion_rule_vs_spy_sma200,daily_ledger_v1,12m-bootstrap,0.139,,,1,power_analysis,cost=10bps;FPR=0.354;FNR=0.502;block=21;B=5000;owner-authorized-budget-expansion
S13RP_009,2026-07-02,spa_blend_vs_gem,daily_ledger_v1,2007-02-01..2026-07-01,0.293,,,1,spa_test,cost=10bps;p_consistent=0.0593;block=21;reps=10000;owner-authorized-budget-expansion
S13RP_010,2026-07-02,spa_blend_vs_spy_sma200,daily_ledger_v1,2007-02-01..2026-07-01,0.105,,,1,spa_test,cost=10bps;p_consistent=0.0081;block=21;reps=10000;owner-authorized-budget-expansion
S13RP_011,2026-07-02,blend,daily_ledger_v1,2018-latest,0.764,12.86,-17.77,1,power_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_012,2026-07-02,gem,daily_ledger_v1,2018-latest,0.633,10.27,-33.72,1,power_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_013,2026-07-02,spy_sma200,daily_ledger_v1,2018-latest,0.642,7.68,-29.0,1,power_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_014,2026-07-02,blend,daily_ledger_v1,full-common,0.788,11.44,-18.0,1,spa_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_015,2026-07-02,gem,daily_ledger_v1,full-common,0.569,8.3,-33.72,1,spa_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_016,2026-07-02,spy_sma200,daily_ledger_v1,full-common,0.804,9.52,-29.0,1,spa_input,cost=20bps;arm-rerun-not-new-config;owner-authorized-budget-expansion
S13RP_017,2026-07-02,promotion_rule_vs_gem,daily_ledger_v1,12m-bootstrap,0.131,,,1,power_analysis,cost=20bps;FPR=0.350;FNR=0.555;block=21;B=5000;owner-authorized-budget-expansion
S13RP_018,2026-07-02,promotion_rule_vs_spy_sma200,daily_ledger_v1,12m-bootstrap,0.122,,,1,power_analysis,cost=20bps;FPR=0.353;FNR=0.505;block=21;B=5000;owner-authorized-budget-expansion
S13RP_019,2026-07-02,spa_blend_vs_gem,daily_ledger_v1,2007-02-01..2026-07-01,0.271,,,1,spa_test,cost=20bps;p_consistent=0.0750;block=21;reps=10000;owner-authorized-budget-expansion
S13RP_020,2026-07-02,spa_blend_vs_spy_sma200,daily_ledger_v1,2007-02-01..2026-07-01,0.079,,,1,spa_test,cost=20bps;p_consistent=0.0178;block=21;reps=10000;owner-authorized-budget-expansion
