date,prev,top3_true,top3_stale,gate_true,gate_stale,top3_differs,gate_differs,composition_flip,fwd1m_true_minus_stale
2005-01-31,2005-01-28,,,True,True,False,False,False,
2005-02-28,2005-02-25,,,True,True,False,False,False,
2005-03-31,2005-03-30,,,True,True,False,False,False,
2005-04-29,2005-04-28,,,True,True,False,False,False,
2005-05-31,2005-05-27,,,True,True,False,False,False,
2005-06-30,2005-06-29,,,True,True,False,False,False,
2005-07-29,2005-07-28,,,True,True,False,False,False,
2005-08-31,2005-08-30,,,True,True,False,False,False,
2005-09-30,2005-09-29,,,True,True,False,False,False,
2005-10-31,2005-10-28,,,False,False,False,False,False,
2005-11-30,2005-11-29,,,False,False,False,False,False,
2005-12-30,2005-12-29,,,False,False,False,False,False,
2006-01-31,2006-01-30,GLD|SOXX|XLE,GLD|SOXX|XLE,False,False,False,False,False,
2006-02-28,2006-02-27,GLD|SOXX|XLE,GLD|SOXX|XLE,False,False,False,False,False,
2006-03-31,2006-03-30,GLD|SOXX|VGT,GLD|SOXX|VGT,False,False,False,False,False,
2006-04-28,2006-04-27,GLD|SOXX|XLE,GLD|SOXX|XLE,False,False,False,False,False,
2006-05-31,2006-05-30,GLD|SOXX|XLE,GLD|SOXX|XLE,False,False,False,False,False,
2006-06-30,2006-06-29,GLD|QQQ|XLE,GLD|QQQ|XLE,False,False,False,False,False,
2006-07-31,2006-07-28,GLD|SHY|XLE,GLD|SHY|XLE,False,False,False,False,False,
2006-08-31,2006-08-30,GLD|SHY|XLE,GLD|VGT|XLE,False,False,True,False,True,0.010147458408095649
2006-09-29,2006-09-28,GLD|IGV|XLK,GLD|IGV|XLK,False,False,False,False,False,
2006-10-31,2006-10-30,QQQ|XLE|XLK,IGV|XLE|XLK,False,False,True,False,True,0.0013986065810140183
2006-11-30,2006-11-29,IGV|XLE|XLK,IGV|XLE|XLK,False,False,False,False,False,
2006-12-29,2006-12-28,IGV|XLE|XLK,GLD|IGV|XLK,False,False,True,False,True,-0.00810221996902116
2007-01-31,2007-01-30,IGV|VGT|XLK,IGV|VGT|XLK,False,False,False,False,False,
2007-02-28,2007-02-27,GLD|IGV|QQQ,GLD|IGV|QQQ,False,False,False,False,False,
2007-03-30,2007-03-29,GLD|XLE|XLK,GLD|QQQ|XLE,False,False,True,False,True,-0.003075549827586649
2007-04-30,2007-04-27,GLD|QQQ|XLE,GLD|QQQ|XLE,False,False,False,False,False,
2007-05-31,2007-05-30,IGV|XLE|XLK,IGV|XLE|XLK,False,False,False,False,False,
2007-06-29,2007-06-28,VGT|XLE|XLK,VGT|XLE|XLK,False,False,False,False,False,
2007-07-31,2007-07-30,QQQ|XLE|XLK,QQQ|VGT|XLE,False,False,True,False,True,-0.0038594962091904467
2007-08-31,2007-08-30,QQQ|VGT|XLE,QQQ|XLE|XLK,False,False,True,False,True,-0.0005308832811342576
2007-09-28,2007-09-27,QQQ|XLE|XLK,QQQ|XLE|XLK,False,False,False,False,False,
2007-10-31,2007-10-30,GLD|QQQ|XLE,GLD|QQQ|XLE,False,False,False,False,False,
2007-11-30,2007-11-29,GLD|QQQ|XLE,GLD|QQQ|XLE,False,True,False,True,True,0.04407374322558308
2007-12-31,2007-12-28,GLD|QQQ|XLE,GLD|QQQ|XLE,True,True,False,False,False,
2008-01-31,2008-01-30,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-02-29,2008-02-28,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-03-31,2008-03-28,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-04-30,2008-04-29,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-05-30,2008-05-29,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-06-30,2008-06-27,GLD|SHY|XLE,GLD|SHY|XLE,True,True,False,False,False,
2008-07-31,2008-07-30,IGV|SHY|XLE,IGV|QQQ|XLE,True,True,True,False,False,
2008-08-29,2008-08-28,IGV|QQQ|SHY,IGV|QQQ|XLE,True,True,True,False,False,
2008-09-30,2008-09-29,GLD|IGV|SHY,GLD|IGV|SHY,True,True,False,False,False,
2008-10-31,2008-10-30,GLD|IGV|SHY,GLD|IGV|SHY,True,True,False,False,False,
2008-11-28,2008-11-26,GLD|SHY|XLK,GLD|SHY|XLK,True,True,False,False,False,
2008-12-31,2008-12-30,GLD|IGV|SHY,GLD|IGV|SHY,True,True,False,False,False,
2009-01-30,2009-01-29,GLD|QQQ|SHY,GLD|QQQ|SHY,True,True,False,False,False,
2009-02-27,2009-02-26,GLD|SHY|XLK,GLD|QQQ|SHY,True,True,True,False,False,
