trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
study2_tl_001,2026-07-02,study2_gem_offset0,daily_ledger_v1,2005-04-01..2026-07-01,0.6194,0.0898,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+0td; 10bps shown; 20bps: sharpe=0.5937 cagr=0.0854; turn=4.05x; engineering measurement, offset NOT selectable"
study2_tl_002,2026-07-02,study2_gem_offset2,daily_ledger_v1,2005-04-01..2026-07-01,0.585,0.0847,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+2td; 10bps shown; 20bps: sharpe=0.5596 cagr=0.0803; turn=4.05x; engineering measurement, offset NOT selectable"
study2_tl_003,2026-07-02,study2_gem_offset4,daily_ledger_v1,2005-04-01..2026-07-01,0.5666,0.081,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+4td; 10bps shown; 20bps: sharpe=0.5405 cagr=0.0765; turn=4.14x; engineering measurement, offset NOT selectable"
study2_tl_004,2026-07-02,study2_gem_offset5,daily_ledger_v1,2005-04-01..2026-07-01,0.5381,0.0755,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+5td; 10bps shown; 20bps: sharpe=0.5142 cagr=0.0715; turn=3.76x; engineering measurement, offset NOT selectable"
study2_tl_005,2026-07-02,study2_gem_offset6,daily_ledger_v1,2005-04-01..2026-07-01,0.5334,0.076,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+6td; 10bps shown; 20bps: sharpe=0.5125 cagr=0.0723; turn=3.39x; engineering measurement, offset NOT selectable"
study2_tl_006,2026-07-02,study2_gem_offset8,daily_ledger_v1,2005-04-01..2026-07-01,0.5355,0.0755,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+8td; 10bps shown; 20bps: sharpe=0.5123 cagr=0.0715; turn=3.67x; engineering measurement, offset NOT selectable"
study2_tl_007,2026-07-02,study2_gem_offset10,daily_ledger_v1,2005-04-01..2026-07-01,0.5825,0.0832,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+10td; 10bps shown; 20bps: sharpe=0.5617 cagr=0.0796; turn=3.29x; engineering measurement, offset NOT selectable"
study2_tl_008,2026-07-02,study2_gem_offset12,daily_ledger_v1,2005-04-01..2026-07-01,0.5754,0.0826,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+12td; 10bps shown; 20bps: sharpe=0.5523 cagr=0.0786; turn=3.67x; engineering measurement, offset NOT selectable"
study2_tl_009,2026-07-02,study2_gem_offset14,daily_ledger_v1,2005-04-01..2026-07-01,0.5414,0.0759,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+14td; 10bps shown; 20bps: sharpe=0.5199 cagr=0.0722; turn=3.39x; engineering measurement, offset NOT selectable"
study2_tl_010,2026-07-02,study2_gem_offset15,daily_ledger_v1,2005-04-01..2026-07-01,0.5463,0.0768,-0.3373,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+15td; 10bps shown; 20bps: sharpe=0.5235 cagr=0.0729; turn=3.58x; engineering measurement, offset NOT selectable"
study2_tl_011,2026-07-02,study2_gem_offset16,daily_ledger_v1,2005-04-01..2026-07-01,0.5416,0.0753,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+16td; 10bps shown; 20bps: sharpe=0.5185 cagr=0.0715; turn=3.58x; engineering measurement, offset NOT selectable"
study2_tl_012,2026-07-02,study2_gem_offset18,daily_ledger_v1,2005-04-01..2026-07-01,0.6063,0.0887,-0.3372,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+18td; 10bps shown; 20bps: sharpe=0.5840 cagr=0.0848; turn=3.58x; engineering measurement, offset NOT selectable"
study2_tl_013,2026-07-02,study2_rot63_offset0,daily_ledger_v1,2005-04-01..2026-07-01,0.9352,0.1409,-0.2038,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+0td; 10bps shown; 20bps: sharpe=0.8708 cagr=0.1297; turn=9.85x; engineering measurement, offset NOT selectable"
study2_tl_014,2026-07-02,study2_rot63_offset2,daily_ledger_v1,2005-04-01..2026-07-01,0.7604,0.115,-0.2446,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+2td; 10bps shown; 20bps: sharpe=0.6942 cagr=0.1033; turn=10.48x; engineering measurement, offset NOT selectable"
study2_tl_015,2026-07-02,study2_rot63_offset4,daily_ledger_v1,2005-04-01..2026-07-01,0.8754,0.1355,-0.2709,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+4td; 10bps shown; 20bps: sharpe=0.8151 cagr=0.1246; turn=9.58x; engineering measurement, offset NOT selectable"
study2_tl_016,2026-07-02,study2_rot63_offset5,daily_ledger_v1,2005-04-01..2026-07-01,0.8009,0.1224,-0.3007,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+5td; 10bps shown; 20bps: sharpe=0.7400 cagr=0.1115; turn=9.73x; engineering measurement, offset NOT selectable"
study2_tl_017,2026-07-02,study2_rot63_offset6,daily_ledger_v1,2005-04-01..2026-07-01,0.6817,0.1011,-0.2275,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+6td; 10bps shown; 20bps: sharpe=0.6155 cagr=0.0895; turn=10.54x; engineering measurement, offset NOT selectable"
study2_tl_018,2026-07-02,study2_rot63_offset8,daily_ledger_v1,2005-04-01..2026-07-01,0.62,0.0883,-0.2712,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+8td; 10bps shown; 20bps: sharpe=0.5543 cagr=0.0772; turn=10.20x; engineering measurement, offset NOT selectable"
study2_tl_019,2026-07-02,study2_rot63_offset10,daily_ledger_v1,2005-04-01..2026-07-01,0.7037,0.1058,-0.2779,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+10td; 10bps shown; 20bps: sharpe=0.6412 cagr=0.0947; turn=10.04x; engineering measurement, offset NOT selectable"
study2_tl_020,2026-07-02,study2_rot63_offset12,daily_ledger_v1,2005-04-01..2026-07-01,0.7363,0.1143,-0.3009,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+12td; 10bps shown; 20bps: sharpe=0.6748 cagr=0.1031; turn=10.07x; engineering measurement, offset NOT selectable"
study2_tl_021,2026-07-02,study2_rot63_offset14,daily_ledger_v1,2005-04-01..2026-07-01,0.7478,0.115,-0.298,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+14td; 10bps shown; 20bps: sharpe=0.6853 cagr=0.1037; turn=10.15x; engineering measurement, offset NOT selectable"
study2_tl_022,2026-07-02,study2_rot63_offset15,daily_ledger_v1,2005-04-01..2026-07-01,0.7986,0.1194,-0.2586,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+15td; 10bps shown; 20bps: sharpe=0.7345 cagr=0.1083; turn=9.94x; engineering measurement, offset NOT selectable"
study2_tl_023,2026-07-02,study2_rot63_offset16,daily_ledger_v1,2005-04-01..2026-07-01,0.8339,0.127,-0.242,1,study2_timing_luck,"timing-luck grid; monthly rebal at month-end+16td; 10bps shown; 20bps: sharpe=0.7714 cagr=0.1159; turn=9.85x; engineering measurement, offset NOT selectable"
