,sel_freq_risk_on,avg_target_w_risk_on,avg_daily_ledger_w,bucket
XLB,0.28205128205128205,0.09124511024549188,0.07303604817795425,cyclical
XLE,0.28717948717948716,0.07782714350508577,0.06099740646887604,cyclical
XLF,0.37948717948717947,0.12222902507966288,0.09689330581355209,cyclical
XLI,0.37435897435897436,0.1357553958706795,0.106690533374309,cyclical
XLK,0.517948717948718,0.1565206601435615,0.12444099687917526,tech
XLP,0.2153846153846154,0.08539066562658988,0.0683577359348584,defensive_sector
XLU,0.26153846153846155,0.09424891194443681,0.07496089431358965,defensive_sector
XLV,0.3435897435897436,0.12097164410932963,0.09679531024841947,defensive_sector
GLD,0.3230769230769231,0.1031106263023043,0.08267674640613626,gold
SHY,0.015384615384615385,0.012700817172857872,0.21495559537511705,defensive
__risk_off_months__,0.20408163265306123,,,
