universe,kind,window,cost_bps,start,end,sharpe,cagr,vol,max_dd,ann_turnover,ann_cost_drag_bps,n_rebalances
U1_incumbent,blend,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,0.9204704599393981,0.12313633863417528,0.1363414492120583,-0.17369578852747625,7.073213002946732,70.73213002946729,142
U1_incumbent,blend,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.8682537833607723,0.11520462692935829,0.13637892484266737,-0.1800392407134802,7.07321300294673,141.46426005893454,142
U1_incumbent,blend,full_2005_latest,10.0,2006-02-28,2026-07-01,0.8676929983981222,0.1308972286248078,0.15613889791259045,-0.17369578852747625,7.9171077172020965,79.17107717202097,245
U1_incumbent,blend,full_2005_latest,20.0,2006-02-28,2026-07-01,0.8166755656243057,0.12196076128768985,0.15616216265118704,-0.1800392407134802,7.9171077172020965,158.34215434404194,245
U1_incumbent,gate_baseline,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,0.9152148836106484,0.10833752096300153,0.12038395861500993,-0.1730811641876535,1.859208699676076,18.592086996760763,142
U1_incumbent,gate_baseline,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.8992635497421936,0.10627261493561568,0.12045374281860691,-0.1730811641876535,1.859208699676076,37.184173993521526,142
U1_incumbent,gate_baseline,full_2005_latest,10.0,2006-02-28,2026-07-01,0.7538416173338843,0.09022677707526183,0.12525039670712293,-0.28136953950727794,3.0486672051696284,30.486672051696306,245
U1_incumbent,gate_baseline,full_2005_latest,20.0,2006-02-28,2026-07-01,0.7290256573694389,0.08689812795114515,0.12532355554418623,-0.2899672114097026,3.0486672051696284,60.97334410339261,245
U2_sectors,blend,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,0.7035730303498378,0.08259087276775756,0.12374362076586005,-0.17944087734464997,7.713518456713346,77.13518456713345,142
U2_sectors,blend,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.6409613518605335,0.07425685535769033,0.12377380675786136,-0.19100700235968926,7.713518456713345,154.2703691342669,142
U2_sectors,blend,full_2005_latest,10.0,2006-02-28,2026-07-01,0.6316750314756894,0.07365363451122997,0.12514139035721164,-0.2320321799635321,8.595128767778656,85.95128767778657,245
U2_sectors,blend,full_2005_latest,20.0,2006-02-28,2026-07-01,0.5626289730134386,0.06444647944304838,0.1251669326819032,-0.24659812028463324,8.595128767778656,171.90257535557322,245
U2_sectors,gate_baseline,dev_to_2017-12-31,10.0,2006-02-28,2017-12-29,0.9152148836106484,0.10833752096300153,0.12038395861500993,-0.1730811641876535,1.859208699676076,18.592086996760763,142
U2_sectors,gate_baseline,dev_to_2017-12-31,20.0,2006-02-28,2017-12-29,0.8992635497421936,0.10627261493561568,0.12045374281860691,-0.1730811641876535,1.859208699676076,37.184173993521526,142
U2_sectors,gate_baseline,full_2005_latest,10.0,2006-02-28,2026-07-01,0.7538416173338843,0.09022677707526183,0.12525039670712293,-0.28136953950727794,3.0486672051696284,30.486672051696306,245
U2_sectors,gate_baseline,full_2005_latest,20.0,2006-02-28,2026-07-01,0.7290256573694389,0.08689812795114515,0.12532355554418623,-0.2899672114097026,3.0486672051696284,60.97334410339261,245
U3_cross_asset,blend,dev_to_2017-12-31,10.0,2007-03-30,2017-12-29,0.9163778037438446,0.110642655470639,0.12284023218593951,-0.14973934487693596,6.682580236255625,66.82580236255626,129
U3_cross_asset,blend,dev_to_2017-12-31,20.0,2007-03-30,2017-12-29,0.861588271620715,0.10323117870983411,0.1228797823308328,-0.16383073505258383,6.682580236255624,133.65160472511252,129
U3_cross_asset,blend,full_2005_latest,10.0,2007-03-30,2026-07-01,0.7312158459983917,0.08744401328240148,0.1257168858011821,-0.2499847548783567,7.716222492719729,77.16222492719729,232
U3_cross_asset,blend,full_2005_latest,20.0,2007-03-30,2026-07-01,0.6693252179205468,0.07906849138242489,0.125775571551155,-0.25636265463553587,7.716222492719728,154.32444985439457,232
U3_cross_asset,gate_baseline,dev_to_2017-12-31,10.0,2007-03-30,2017-12-29,0.8978553641981687,0.10716972252024126,0.12174320227226351,-0.1730811641876534,2.0462184873949583,20.46218487394959,129
