trial_id,date,name,engine,window,sharpe,cagr,max_dd,n_trials_represented,source,notes
MS_001,2026-04-11,FN_abs_mom_optimized,daily_ledger_v0,2018-2025,0.962,22.99,-28.39,1,MASTER_SUMMARY,
MS_002,2026-04-11,FN_absmom_lb63_n5,daily_ledger_v0,2018-2025,0.962,22.99,-28.39,1,MASTER_SUMMARY,
MS_003,2026-04-11,FN_abs_mom_growth_energy,daily_ledger_v0,2018-2025,0.935,22.67,-27.67,1,MASTER_SUMMARY,
MS_004,2026-04-11,EL_breakout_QQQ_lb63,daily_ledger_v0,2018-2025,0.894,14.3,-19.37,1,MASTER_SUMMARY,
MS_005,2026-04-11,FN_fastdd_dd8_w21,daily_ledger_v0,2018-2025,0.846,20.81,-36.25,1,MASTER_SUMMARY,
MS_006,2026-04-11,EL_ultimate_strategy,daily_ledger_v0,2018-2025,0.834,18.38,-37.06,1,MASTER_SUMMARY,
MS_007,2026-04-11,EL_breakout_XLK_lb63,daily_ledger_v0,2018-2025,0.833,14.33,-25.03,1,MASTER_SUMMARY,
MS_008,2026-04-11,FN_absmom_lb84_n2,daily_ledger_v0,2018-2025,0.82,19.04,-27.67,1,MASTER_SUMMARY,
MS_009,2026-04-11,EL_breakout_QQQ_lb126,daily_ledger_v0,2018-2025,0.819,12.8,-19.37,1,MASTER_SUMMARY,
MS_010,2026-04-11,EL_absrel_lb63_n5,daily_ledger_v0,2018-2025,0.815,17.7,-39.15,1,MASTER_SUMMARY,
MS_011,2026-04-11,adaptive_top5_lb189,daily_ledger_v0,2018-2025,0.808,8.13,-18.96,1,MASTER_SUMMARY,
MS_012,2026-04-11,bold_QQQ_SPY_VNQ_GLD,daily_ledger_v0,2018-2025,0.802,13.98,-27.87,1,MASTER_SUMMARY,
MS_013,2026-04-11,FN_fastdd_dd10_w21,daily_ledger_v0,2018-2025,0.8,19.74,-45.8,1,MASTER_SUMMARY,
MS_014,2026-04-11,FN_fastdd_dd12_w21,daily_ledger_v0,2018-2025,0.8,19.74,-45.8,1,MASTER_SUMMARY,
MS_015,2026-04-11,FN_fastdd_dd12_w42,daily_ledger_v0,2018-2025,0.8,19.74,-45.8,1,MASTER_SUMMARY,
MS_016,2026-04-11,FN_multireg_sma100,daily_ledger_v0,2018-2025,0.789,17.81,-36.9,1,MASTER_SUMMARY,
MS_017,2026-04-11,FN_ultimate_sma150_dd10_n2,daily_ledger_v0,2018-2025,0.785,17.18,-26.44,1,MASTER_SUMMARY,
MS_018,2026-04-11,FN_fastdd_dd10_w63,daily_ledger_v0,2018-2025,0.783,18.99,-43.44,1,MASTER_SUMMARY,
MS_019,2026-04-11,FN_fastdd_dd10_w42,daily_ledger_v0,2018-2025,0.78,18.85,-43.96,1,MASTER_SUMMARY,
MS_020,2026-04-11,FN_multi_regime_rot,daily_ledger_v0,2018-2025,0.779,17.54,-30.93,1,MASTER_SUMMARY,
MS_021,2026-04-11,FN_multireg_sma150,daily_ledger_v0,2018-2025,0.779,17.54,-30.93,1,MASTER_SUMMARY,
MS_022,2026-04-11,FN_multireg_sma200,daily_ledger_v0,2018-2025,0.779,17.54,-30.93,1,MASTER_SUMMARY,
MS_023,2026-04-11,EL_breakout_XLK_lb126,daily_ledger_v0,2018-2025,0.778,13.06,-20.18,1,MASTER_SUMMARY,
MS_024,2026-04-11,FN_absmom_lb63_n3,daily_ledger_v0,2018-2025,0.776,17.59,-29.82,1,MASTER_SUMMARY,
MS_025,2026-04-11,EL_maxgrowth_sma150_dd10_n1,daily_ledger_v0,2018-2025,0.769,17.26,-38.93,1,MASTER_SUMMARY,
MS_026,2026-04-11,EL_maxgrowth_sma150_dd12_n1,daily_ledger_v0,2018-2025,0.769,17.26,-38.93,1,MASTER_SUMMARY,
MS_027,2026-04-11,EL_maxgrowth_sma200_dd10_n1,daily_ledger_v0,2018-2025,0.769,17.26,-38.93,1,MASTER_SUMMARY,
MS_028,2026-04-11,EL_maxgrowth_sma200_dd12_n1,daily_ledger_v0,2018-2025,0.769,17.26,-38.93,1,MASTER_SUMMARY,
MS_029,2026-04-11,protective_aa,daily_ledger_v0,2018-2025,0.766,6.35,-15.47,1,MASTER_SUMMARY,
MS_030,2026-04-11,adaptive_top6_lb189,daily_ledger_v0,2018-2025,0.759,6.91,-19.39,1,MASTER_SUMMARY,
MS_031,2026-04-11,FN_absmom_lb84_n3,daily_ledger_v0,2018-2025,0.759,18.35,-31.85,1,MASTER_SUMMARY,
