,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,99872.47600751805
2018-01-09,99982.95144870349
2018-01-10,99789.6311686285
2018-01-11,100480.00706261279
2018-01-12,101488.03423728948
2018-01-16,100938.98218250394
2018-01-17,101901.13017523098
2018-01-18,101729.86093323339
2018-01-19,102192.70740402649
2018-01-22,102817.76951420454
2018-01-23,103035.99974336268
2018-01-24,102995.9666972799
2018-01-25,103039.65057556964
2018-01-26,104232.62147693521
2018-01-29,103334.67864746618
2018-01-30,102274.78041280257
2018-01-31,102325.58227974101
2018-02-01,102209.42956576237
2018-02-02,99984.34806785262
2018-02-05,95603.39424110627
2018-02-06,97487.6810395342
2018-02-07,96456.13273239006
2018-02-08,93939.16101175969
2018-02-09,94338.01771322168
2018-02-12,95590.8176816356
2018-02-13,95302.55484227622
2018-02-14,96990.91049917796
2018-02-15,97594.88374676922
2018-02-16,98034.13823049488
2018-02-20,96920.42635719584
2018-02-21,96454.65011943206
2018-02-22,96961.51877845803
2018-02-23,97728.65497134265
2018-02-26,98449.38526059886
2018-02-27,96986.53331399181
2018-02-28,96070.5210463442
2018-03-01,94457.27357232578
2018-03-02,94908.44686756213
2018-03-05,95223.65820413319
2018-03-06,95783.05029967123
2018-03-07,95755.80007432263
2018-03-08,95960.4486036681
2018-03-09,96574.44723350568
2018-03-12,96490.40013493375
2018-03-13,95850.42587926351
2018-03-14,96081.90761862797
2018-03-15,96027.43665620484
2018-03-16,95959.35457015388
2018-03-19,94471.83197072381
2018-03-20,94632.50302852923
2018-03-21,94450.85704620437
2018-03-22,92089.88745874166
2018-03-23,90127.03134661738
2018-03-26,92407.808600684
2018-03-27,90835.77998276663
2018-03-28,90567.38837601607
2018-03-29,91724.59057023308
2018-04-02,89565.48517565634
2018-04-03,90713.41354901019
2018-04-04,91683.98903395142
2018-04-05,92407.57632480479
2018-04-06,90348.17207597567
2018-04-09,90612.05289954992
2018-04-10,92052.81715403894
2018-04-11,91570.24646286946
2018-04-12,92323.60225578824
2018-04-13,92052.81715403894
2018-04-16,92624.21000526956
2018-04-17,93615.1408341821
2018-04-18,93684.43234529681
2018-04-19,93164.72806386754
2018-04-20,92374.74979641526
2018-04-23,92176.36857821654
2018-04-24,90934.9629635511
2018-04-25,91159.76715179037
2018-04-26,92086.45526195149
2018-04-27,92172.89958049092
2018-04-30,91690.63669931509
2018-05-01,91366.5604819928
2018-05-02,91327.69249884125
2018-05-03,91612.85034509025
2018-05-04,91936.90766694187
2018-05-07,92063.61826140969
2018-05-08,92063.61826140969
2018-05-09,92953.50631632365
2018-05-10,93822.67478521804
2018-05-11,94108.95526247448
2018-05-14,93965.65778905475
2018-05-15,93318.52975703492
2018-05-16,93710.9576675577
2018-05-17,93631.78736936062
2018-05-18,93397.68816779983
2018-05-21,93911.92635817264
2018-05-22,93650.81860197595
2018-05-23,93908.47402698753
2018-05-24,93716.08664326434
2018-05-25,93492.82996145292
2018-05-29,92232.86146974356
2018-05-30,93463.7040792947
2018-05-31,92891.17013262032
2018-06-01,93803.13847110201
2018-06-04,94060.50957154758
2018-06-05,94128.94379514953
2018-06-06,94915.9462288128
2018-06-07,94905.6778457842
2018-06-08,95186.2504819435
2018-06-11,95122.39759122432
2018-06-12,95245.34840714563
2018-06-13,94941.38535748328
2018-06-14,95180.45900904405
2018-06-15,95059.03534933431
2018-06-18,94673.98646567563
2018-06-19,94311.07295022601
2018-06-20,94472.02196373396
2018-06-21,93879.75713383616
2018-06-22,94050.9276542895
2018-06-25,92585.28238323548
2018-06-26,92790.2554667855
2018-06-27,92021.5623573401
2018-06-28,92547.69634992162
2018-06-29,92680.93296520153
2018-07-02,92693.47993808093
2018-07-03,92366.191157394
2018-07-05,93119.7389798785
2018-07-06,93907.32211601156
2018-07-09,94563.60758900855
2018-07-10,94903.90073282212
2018-07-11,94209.71465216405
2018-07-12,95063.8109013723
2018-07-13,95138.67118146249
2018-07-16,94863.69813005545
2018-07-17,95247.44427581748
2018-07-18,95447.79366918722
2018-07-19,95087.80690661326
2018-07-20,94979.16172712596
2018-07-23,94965.62452919253
2018-07-24,95443.51568320894
2018-07-25,96256.8925213645
2018-07-26,96029.8232913818
2018-07-27,95379.11482963027
2018-07-30,94691.33609045859
2018-07-31,95158.06817628017
2018-08-01,94999.12041080647
2018-08-02,95516.64112491252
2018-08-03,95925.90385733242
2018-08-06,96085.32840214434
2018-08-07,96402.61198824586
2018-08-08,96362.13189942321
2018-08-09,96230.45555544912
2018-08-10,95585.72193892024
2018-08-13,95037.61153672374
2018-08-14,95644.03401741984
2018-08-15,94929.83784273763
2018-08-16,95697.9092820707
2018-08-17,96034.85698960393
2018-08-20,96048.02781356615
2018-08-21,96273.30507478671
2018-08-22,96216.17372563679
2018-08-23,96088.39832179196
2018-08-24,96666.68201127538
2018-08-27,97235.2708225052
2018-08-28,97282.2343073091
2018-08-29,97805.67355061346
2018-08-30,97409.71980732578
2018-08-31,97413.09988618786
2018-09-04,97051.04545516186
2018-09-05,96789.81421066816
2018-09-06,96498.47056776223
2018-09-07,96310.95166539593
2018-09-10,96285.61054314642
2018-09-11,96603.12666942335
2018-09-12,96626.53190750782
2018-09-13,97198.00118653037
2018-09-14,97214.7077236805
2018-09-17,96506.81544914747
2018-09-18,97030.50625233611
2018-09-19,97133.89358907544
2018-09-20,97921.04092083398
2018-09-21,97831.58610562728
2018-09-24,97311.75587612139
2018-09-25,97221.4841477513
2018-09-26,96930.5615302442
2018-09-27,97201.45682464687
2018-09-28,97211.45904201445
2018-10-01,97354.2392161102
2018-10-02,97297.5437879621
2018-10-03,97350.91561224415
2018-10-04,96590.05017461916
2018-10-05,96049.44487636488
2018-10-08,95857.53789359494
2018-10-09,95717.67830707472
2018-10-10,92686.95412282951
2018-10-11,90645.3746108618
2018-10-12,91904.2989647824
2018-10-15,91205.42758771063
2018-10-16,93199.71732800083
2018-10-17,93216.39414097472
