,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100247.97458059911
2018-02-02,98316.21578537252
2018-02-05,95414.2960582537
2018-02-06,96385.22269835082
2018-02-07,95504.3375130479
2018-02-08,93113.53857956367
2018-02-09,93250.14695749142
2018-02-12,94347.6241937996
2018-02-13,94461.19072309096
2018-02-14,95912.0325442768
2018-02-15,96636.14824218286
2018-02-16,96782.76648159605
2018-02-20,96487.39545634766
2018-02-21,96157.85668210092
2018-02-22,96636.39329861721
2018-02-23,97691.8245726416
2018-02-26,98557.94369754806
2018-02-27,97369.10740715219
2018-02-28,96393.36656457365
2018-03-01,95899.73825004252
2018-03-02,96047.289072064
2018-03-05,96784.00438152213
2018-03-06,97100.27999107132
2018-03-07,96362.08363394007
2018-03-08,96099.04005126812
2018-03-09,97255.72189394054
2018-03-12,97097.03727510982
2018-03-13,96702.50846868889
2018-03-14,96550.67952178078
2018-03-15,96478.19068758262
2018-03-16,96752.57593106423
2018-03-19,95909.71669757491
2018-03-20,96403.68446636047
2018-03-21,97560.36468421863
2018-03-22,96309.27140556657
2018-03-23,96312.2149886521
2018-03-26,97110.51684709081
2018-03-27,96343.4497568476
2018-03-28,95977.88390648292
2018-03-29,96940.51952300813
2018-04-02,95412.11541045549
2018-04-03,95991.30328927297
2018-04-04,96031.68598027341
2018-04-05,96596.52599600767
2018-04-06,95916.43142234281
2018-04-09,96870.82814326405
2018-04-10,98172.3172007682
2018-04-11,98257.30834442072
2018-04-12,98318.11464157962
2018-04-13,98392.95561634409
2018-04-16,98350.5052465525
2018-04-17,98643.42538648509
2018-04-18,99692.84458401144
2018-04-19,99305.42392322223
2018-04-20,99008.11892257843
2018-04-23,98912.93218226489
2018-04-24,98451.10792084802
2018-04-25,98430.27661067553
2018-04-26,98934.71650643049
2018-04-27,98968.0023758386
2018-04-30,98963.19199208413
2018-05-01,98435.54886329288
2018-05-02,98361.73241171715
2018-05-03,98643.0705915698
2018-05-04,99029.14696089797
2018-05-07,99049.74174557692
2018-05-08,99068.62169632326
2018-05-09,99333.92966708212
2018-05-10,100002.21140101242
2018-05-11,100264.79039424074
2018-05-14,100440.50049279687
2018-05-15,99701.74432561792
2018-05-16,99866.24271007764
2018-05-17,99993.35214860282
2018-05-18,99629.8975440528
2018-05-21,100263.01827675929
2018-05-22,100135.9245828984
2018-05-23,99097.98580327435
2018-05-24,98792.42200732329
2018-05-25,98176.51596771492
2018-05-29,96209.57929466781
2018-05-30,97663.36458973237
2018-05-31,97054.57112101078
2018-06-01,96508.28349402538
2018-06-04,96187.79783486547
2018-06-05,96466.51550508442
2018-06-06,96691.21818558514
2018-06-07,96768.93869798811
2018-06-08,96859.43137559718
2018-06-11,96962.99211465192
2018-06-12,96771.95293249938
2018-06-13,97012.95207407401
2018-06-14,96826.35568987415
2018-06-15,95200.78477440594
2018-06-18,95297.80050918859
2018-06-19,94831.38798774648
2018-06-20,94569.2478188984
2018-06-21,94196.64612938059
2018-06-22,94873.85794778119
2018-06-25,94194.146896906
2018-06-26,94186.20720361831
2018-06-27,93907.79289743626
2018-06-28,93791.84349475862
2018-06-29,94315.53255381825
2018-07-02,94146.18027342566
2018-07-03,94206.04776007167
2018-07-05,94451.05322096174
2018-07-06,94757.14846955218
2018-07-09,94861.46807827051
2018-07-10,94919.15197026689
2018-07-11,94830.91562607727
2018-07-12,95076.87231024877
2018-07-13,95207.55599814173
2018-07-16,95073.63609578325
2018-07-17,95157.90475482203
2018-07-18,95171.32998208184
2018-07-19,95232.97075880031
2018-07-20,94971.95503599152
2018-07-23,94713.58375073336
2018-07-24,94909.94246700741
2018-07-25,95125.09729158705
2018-07-26,94983.56501063166
2018-07-27,94876.80701376851
2018-07-30,94636.30066945516
2018-07-31,94873.39155027819
2018-08-01,94482.94513852354
2018-08-02,94732.45126146018
2018-08-03,95031.09286271302
2018-08-06,95181.32000715431
2018-08-07,95160.37746739064
2018-08-08,95201.83774640961
2018-08-09,95328.91493200275
2018-08-10,95379.54371910407
2018-08-13,95239.298398755
2018-08-14,95384.80331368343
2018-08-15,95294.63249774059
2018-08-16,95538.20967020947
2018-08-17,95677.71248756435
2018-08-20,95944.19944500178
2018-08-21,95935.26300691153
2018-08-22,96032.36441925677
2018-08-23,95982.55774156423
2018-08-24,96198.58737994991
2018-08-27,96318.30708191967
2018-08-28,96193.17963310097
2018-08-29,96354.01285916581
2018-08-30,96335.04150624547
2018-08-31,96348.48775890574
2018-09-04,95652.50800684773
2018-09-05,95185.58645499582
2018-09-06,95086.30540327312
2018-09-07,94482.94267075261
2018-09-10,94799.96531057154
2018-09-11,94715.06902159534
2018-09-12,94747.81352544646
2018-09-13,95232.5997705267
2018-09-14,94890.46278677376
2018-09-17,94445.68398750125
2018-09-18,94246.35393606317
2018-09-19,93884.91320299337
2018-09-20,94584.22049130808
2018-09-21,94399.67680284046
2018-09-24,94165.25638122641
2018-09-25,94144.01324917367
2018-09-26,94327.88655451345
2018-09-27,94668.76466486708
2018-09-28,94656.3863570115
2018-10-01,94965.29420390056
2018-10-02,94953.23628791238
2018-10-03,95103.19393611555
2018-10-04,94326.17880710043
2018-10-05,93836.58240938289
2018-10-08,93805.98188780193
2018-10-09,93764.97183016177
2018-10-10,90931.92156114796
2018-10-11,89006.674627019
2018-10-12,90177.64976361961
2018-10-15,89757.05617308425
2018-10-16,91528.69597907997
2018-10-17,91445.1841381441
2018-10-18,90159.94323295391
2018-10-19,90178.08347447855
2018-10-22,89834.2991408323
2018-10-23,89193.6514127042
