,SPY,DBC,QQQ,VNQ,IEF,GLD,TLT,EEM,EFA
2018-01-31,1.0,,,,,,,,
2018-02-28,0.23454304100137982,0.7654569589986202,,,,,,,
2018-03-29,,0.818564328074834,0.18143567192516608,,,,,,
2018-04-30,0.7264423408378121,0.2735576591621879,,,,,,,
2018-05-31,0.040467306315069805,0.5368364524405017,0.42269624124442845,,,,,,
2018-06-29,0.9390842434456118,0.06091575655438826,,,,,,,
2018-07-31,,0.1802639145376631,0.26793380922694815,0.5518022762353887,,,,,
2018-08-31,0.475036217785587,,0.21122680672542316,0.3137369754889899,,,,,
2018-09-28,1.0,,,,,,,,
2018-10-31,0.9150617531814931,,,0.08493824681850694,,,,,
2018-11-30,0.08131895354442402,,,,0.918681046455576,,,,
2018-12-31,,,,,0.9733959856835339,0.026604014316466154,,,
2019-01-31,,,,,0.9769708932539001,0.023029106746099953,,,
2019-02-28,,,,0.0251637599548523,0.9748362400451477,,,,
2019-03-29,,,,0.43216747197507566,,0.1989415742168791,0.3688909538080453,,
2019-04-30,,,0.6551029061610585,0.22276823414030147,,,,0.12212885969864005,
2019-05-31,,,,,1.0,,,,
2019-06-28,0.8026906329483031,,,0.19730936705169683,,,,,
2019-07-31,0.7760696011025867,,,,,,0.22393039889741329,,
2019-08-30,,,,0.4930219352974218,,0.176951321778286,0.3300267429242922,,
2019-09-30,,,,0.8930989309867968,,0.10690106901320312,,,
2019-10-31,,,,0.46518613991181296,,0.5348138600881871,,,
2019-11-29,0.776848759469508,,,,,0.2231512405304919,,,
2019-12-31,0.76264501409071,,,,,0.23735498590929002,,,
2020-01-31,0.6156707189814284,,,,,0.3843292810185715,,,
2020-02-28,,,0.022465628379981038,,0.977534371620019,,,,
2020-03-31,,,,,0.9744872254749822,0.0255127745250177,,,
2020-04-30,,,0.18606624716456643,,,0.154180672026147,0.6597530808092866,,
2020-05-29,,,0.4153596282263787,,,,0.5846403717736214,,
2020-06-30,,,0.27109360153123424,,,0.21685349127930792,0.5120529071894577,,
2020-07-31,,,0.14681139746225205,,,0.31564388720634695,0.537544715331401,,
2020-08-31,1.0,,,,,,,,
2020-09-30,0.6137145529875311,,,,,,,0.38628544701246886,
2020-10-30,0.15903001053934573,,,,,,,0.8409699894606543,
2020-11-30,0.8028809417850636,,,,,,,0.1971190582149364,
2020-12-31,0.7905321926200592,,0.09715228959017233,,,,,0.1123155177897684,
2021-01-29,,,0.26015093989734916,,,,,,0.7398490601026508
2021-02-26,,0.262739117605659,,,,,,,0.7372608823943411
2021-03-31,,0.02836168410822762,,,,,,,0.9716383158917723
2021-04-30,,0.2972021289923017,,0.5022039495704214,,,,,0.2005939214372769
2021-05-28,0.33402966783962074,0.37236355556908113,,0.2936067765912982,,,,,
2021-06-30,0.7785688863435071,0.22143111365649285,,,,,,,
2021-07-30,0.9393662283281354,,,0.06063377167186461,,,,,
2021-08-31,0.6641277231026952,,,0.33587227689730487,,,,,
2021-09-30,,0.3859936605293734,0.24582121748854963,0.3681851219820769,,,,,
2021-10-29,,0.2813936236675739,0.3843254551968908,0.3342809211355353,,,,,
2021-11-30,0.742259543713878,,,,,,0.25774045628612197,,
2021-12-31,0.8787877329250581,,,0.12121226707494193,,,,,
2022-01-31,,0.7537692449161298,,0.24623075508387013,,,,,
2022-02-28,0.2535049167988203,0.19472340135420096,,,,0.5517716818469788,,,
2022-03-31,,,,0.4753230024689158,,0.5246769975310842,,,
2022-04-29,,,,0.1755167386968142,,0.8244832613031857,,,
2022-05-31,,0.035193880833911326,,0.07755402498286704,,0.8872520941832216,,,
2022-06-30,,0.23962725915969962,,,0.7266449427783903,0.03372779806190997,,,
2022-07-29,,,,0.25626422372914215,,0.7437357762708579,,,
2022-08-31,,0.18331844299312164,,,0.8166815570068784,,,,
2022-09-30,,,,,0.6913325044222317,0.30866749557776824,,,
2022-10-31,,0.13677519840599905,,,0.863224801594001,,,,
2022-11-30,,,,,0.9145724443550596,,,,0.08542755564494035
2022-12-30,0.23837717352392704,,,,,0.5221594034651442,,,0.2394634230109288
2023-01-31,,,,,,0.5669560396309757,,,0.4319776434877024
2023-02-28,0.14745388300393567,,,,,0.45715849311311624,,,0.395387623882948
2023-03-31,,,0.2103409619607981,,,0.4464286224122354,,,0.34323041562696655
2023-04-28,,,0.05600643704803021,,,0.3494878587858996,,,0.5945057041660702
2023-05-31,,,0.3370283395153714,,,0.5299666672088768,,,0.1330049932757519
2023-06-30,1.0,,,,,,,,
2023-07-31,1.0,,,,,,,,
2023-08-31,0.5095091140975855,,,,,0.4904908859024147,,,
2023-09-29,0.5955614052123112,0.4044385947876889,,,,,,,
2023-10-31,0.7517686584264647,0.24823134157353538,,,,,,,
2023-11-30,0.8788344506518452,0.12116554934815488,,,,,,,
2023-12-29,1.0,,,,,,,,
2024-01-31,0.8540510914758325,,,,,,,,0.1459489085241676
2024-02-29,0.5734710253840506,,,,,,,,0.4265289746159494
2024-03-28,0.8909833130982749,,,,,0.109016686901725,,,
2024-04-30,1.0,,,,,,,,
2024-05-31,0.9353154435038605,,,,,0.0646845564961395,,,
2024-06-28,0.9272739601067882,,,,,0.07272603989321179,,,
2024-07-31,1.0,,,,,,,,
2024-08-30,,,,0.4838838576528834,,0.5161161423471166,,,
2024-09-30,,,,0.6326635778646813,,0.3126380880864299,,0.05469833404888867,
2024-10-31,0.42581598431865225,,,0.19322025276517754,,0.3809637629161703,,,
2024-11-29,0.5715262219615438,,,0.2573878123149763,,0.17108596572348,,,
2024-12-31,0.4842612277058331,,,,,0.5157387722941669,,,
2025-01-31,0.7165942036423174,,,,,0.2834057963576826,,,
2025-02-28,0.8257887098365138,,,,,0.17421129016348627,,,
2025-03-31,,0.35110503509445345,,,0.6467635443946365,,,,
2025-04-30,,,,,0.8833982944771323,0.10736942085984501,,,
2025-05-30,,,,,,0.10889327432740047,,0.25175292768725765,0.6393537979853418
2025-06-30,,,,,,0.3267597444136563,,0.15449587977733126,0.5187443758090124
2025-07-31,,,,,,0.34538453422461635,,0.6377899755718458,0.016825490203537793
2025-08-29,,,0.2983782853979746,,,0.5655734551134816,,0.13604825948854382,
2025-09-30,,,0.5052288535169883,,,0.16768524148641734,,0.3270859049965943,
2025-10-31,1.0,,,,,,,,
2025-11-28,,,,,,0.044716439279036,,0.955283560720964,
2025-12-30,,,0.015455687040717711,,,0.17270582740959833,,0.8118384855496841,
