,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99786.70042099009
2018-02-02,97614.36131502385
2018-02-05,93531.88176868079
2018-02-06,95374.66323793614
2018-02-07,94857.2635233304
2018-02-08,91299.2611756073
2018-02-09,92670.70801284253
2018-02-12,94031.54476770575
2018-02-13,94265.45192818623
2018-02-14,95537.6603979894
2018-02-15,96756.74473214065
2018-02-16,96785.09153009346
2018-02-20,96179.0758177263
2018-02-21,95700.68213263992
2018-02-22,95824.71012506972
2018-02-23,97352.09506929194
2018-02-26,98482.5695493311
2018-02-27,97252.86898915851
2018-02-28,96267.69795913703
2018-03-01,94678.33966744061
2018-03-02,95166.40932401466
2018-03-05,96266.38400378452
2018-03-06,96510.38817520007
2018-03-07,96475.01014552201
2018-03-08,96941.86524703783
2018-03-09,98628.86383311727
2018-03-12,98505.05299199268
2018-03-13,97868.48145001094
2018-03-14,97366.26058156567
2018-03-15,97260.15714940299
2018-03-16,97365.64131276195
2018-03-19,96048.2235750194
2018-03-20,96211.57564896786
2018-03-21,96026.89865522386
2018-03-22,93626.53306412669
2018-03-23,91630.92401569277
2018-03-26,94137.84676065038
2018-03-27,92536.38697735057
2018-03-28,92262.97060344531
2018-03-29,93441.8376762598
2018-04-02,93081.41379178442
2018-04-03,93025.36229125148
2018-04-04,92890.99569844079
2018-04-05,92888.8720887913
2018-04-06,92698.71741153172
2018-04-09,93417.10511694488
2018-04-10,94372.98095992955
2018-04-11,95069.13110589364
2018-04-12,94360.03549614217
2018-04-13,94638.853022069
2018-04-16,94544.9384112283
2018-04-17,94621.43759697094
2018-04-18,95548.56912107051
2018-04-19,95251.42852797305
2018-04-20,94785.9752795567
2018-04-23,94377.47636679106
2018-04-24,94330.999601207
2018-04-25,94097.8246954257
2018-04-26,94238.58140534196
2018-04-27,94419.00276615443
2018-04-30,94290.4555319784
2018-05-01,93904.08009494747
2018-05-02,93920.22843595642
2018-05-03,94206.61414521797
2018-05-04,94298.31340030105
2018-05-07,94251.03278604246
2018-05-08,94148.7758749791
2018-05-09,94074.90210222019
2018-05-10,94306.95121733125
2018-05-11,94238.37547487457
2018-05-14,94151.59438548489
2018-05-15,93713.9115457012
2018-05-16,93614.28056887249
2018-05-17,93579.81432646736
2018-05-18,93901.29114538088
2018-05-21,94055.38689269722
2018-05-22,94037.11507045642
2018-05-23,94477.71309650764
2018-05-24,94603.73322285166
2018-05-25,94738.11098750732
2018-05-29,95506.58151220903
2018-05-30,95312.12629575338
2018-05-31,95236.97398682994
2018-06-01,94475.85936365451
2018-06-04,93569.2715909499
2018-06-05,93756.71967996714
2018-06-06,93562.25010321676
2018-06-07,94184.51019858563
2018-06-08,94022.76857101012
2018-06-11,93913.13945796074
2018-06-12,93896.56863875437
2018-06-13,94068.50933590686
2018-06-14,93881.88890918919
2018-06-15,92729.44592531554
2018-06-18,93104.80789178587
2018-06-19,92865.76227917653
2018-06-20,92415.77079165014
2018-06-21,92289.44255125336
2018-06-22,93229.3113164666
2018-06-25,92774.74695137542
2018-06-26,93309.80320813353
2018-06-27,93983.83768849686
2018-06-28,93967.25895391185
2018-06-29,94366.0024009417
2018-07-02,93429.37961931094
2018-07-03,93595.67040466679
2018-07-05,94553.15822126958
2018-07-06,95200.59483106784
2018-07-09,95072.58058405957
2018-07-10,95129.08875590576
2018-07-11,93933.08190690291
2018-07-12,94509.3818237129
2018-07-13,94413.16798314489
2018-07-16,93541.01946517403
2018-07-17,93334.58870262817
2018-07-18,93309.99529450788
2018-07-19,93790.57938429902
2018-07-20,93478.14926041856
2018-07-23,93517.20379067132
2018-07-24,93468.13820515772
2018-07-25,94457.1649190844
2018-07-26,94370.53897339982
2018-07-27,93493.44390678102
2018-07-30,93447.86132041659
2018-07-31,94261.70860447717
2018-08-01,94000.76298026273
2018-08-02,94420.93122057788
2018-08-03,94888.91291801406
2018-08-06,95188.00385749423
2018-08-07,95452.33485802845
2018-08-08,95359.7582121903
2018-08-09,95247.43161967969
2018-08-10,94600.08367078422
2018-08-13,94263.14941139135
2018-08-14,94850.40697491677
2018-08-15,94288.60966773884
2018-08-16,95051.6705632399
2018-08-17,95442.55752618723
2018-08-20,95632.61967299206
2018-08-21,95773.51999023075
2018-08-22,95667.11943807483
2018-08-23,95528.33176576688
2018-08-24,96102.17179922923
2018-08-27,96747.93821906835
2018-08-28,96921.99163545706
2018-08-29,97392.40654322937
2018-08-30,96974.67121346564
2018-08-31,97016.60420690467
2018-09-04,96294.4769555362
2018-09-05,96081.41056188557
2018-09-06,95850.60394900569
2018-09-07,95356.30766026866
2018-09-10,95636.08451348159
2018-09-11,95936.39067484328
2018-09-12,95902.7698161871
2018-09-13,96535.51620434033
2018-09-14,96292.70958079526
2018-09-17,95855.95135086199
2018-09-18,96124.49041126808
2018-09-19,95807.68664928304
2018-09-20,96681.20710909144
2018-09-21,96517.20092722116
2018-09-24,95881.55307542816
2018-09-25,95869.68356959778
2018-09-26,95393.67577895834
2018-09-27,95833.10942705403
2018-09-28,96229.27601713131
2018-10-01,96592.73665134047
2018-10-02,96593.03031344867
2018-10-03,96773.98553601625
2018-10-04,95973.54309826696
2018-10-05,95486.51654693088
2018-10-08,95446.50558119136
2018-10-09,95432.58018808556
2018-10-10,92588.50400293876
2018-10-11,90650.65527177174
2018-10-12,91824.41510490952
2018-10-15,91421.01323384166
2018-10-16,93170.30574278953
2018-10-17,93056.36902034609
2018-10-18,91758.73460849335
2018-10-19,91796.63022946997
2018-10-22,91464.34074858707
