,SPY,EFA,QQQ,GLD,DBC,IEF,TLT,VNQ,EEM
2018-01-31,0.6264865940361333,0.37351340596386673,,,,,,,
2018-02-28,,,0.44538496105502856,0.5546150389449714,,,,,
2018-03-29,,,0.14752522918403219,0.38744248752518634,0.46503228329078145,,,,
2018-04-30,,,,,0.11946165746689782,0.8805383425331021,,,
2018-05-31,,,0.14288971097902,,0.4252200484680388,,0.43189024055294123,,
2018-06-29,0.768953477990738,,,,0.0710132536133337,,,0.16003326839592819,
2018-07-31,0.7073093252636683,,,,,,0.2926906747363317,,
2018-08-31,0.13080218621588136,,0.25303276070320535,,,,0.4995919878313423,0.11657306524957105,
2018-09-28,0.8680732910033107,,,,0.13192670899668937,,,,
2018-10-31,0.11516275009506237,,,0.06907507789820422,0.04601199853140905,0.7697501734753244,,,
2018-11-30,,,,0.119562450767252,,0.8681566350240604,,,0.01228091420868751
2018-12-31,,,,0.06644480037794138,,0.9037393022345631,,0.029815897387495554,
2019-01-31,,,,0.18548854098686704,,,0.4740743719668579,0.17028721339353597,0.17014987365273904
2019-02-28,,,0.1872636527478861,0.43896366416886595,,,,0.37377268308324796,
2019-03-29,0.05355597136885105,0.51849073180743,,,,,,0.4279532968237189,
2019-04-30,0.528578980419084,0.2759057708041419,0.11323889456716604,,,,,0.08227635420960794,
2019-05-31,,,,,,1.0,,,
2019-06-28,0.06123993967260149,,,,,0.9387600603273986,,,
2019-07-31,,,,,,0.9599068333607047,,0.040093166639295276,
2019-08-30,,,0.10781136591420894,0.18007505926464354,,,0.36764133422911344,0.3444722405920341,
2019-09-30,,,,,,0.9994773396901551,,,
2019-10-31,,0.3049507496218325,,,,,,0.621109843971844,0.07393940640632349
2019-11-29,0.8502047319360595,0.1497952680639405,,,,,,,
2019-12-31,0.8651668740025288,0.11062282544338031,,,,,,,0.024210300554090906
2020-01-31,0.5656199839771058,,,0.26686162049444034,,,0.16751839552845368,,
2020-02-28,,,0.026440228656677837,0.0380113883189534,,0.9355483830243687,,,
2020-03-31,,,0.03819901998949483,,,0.9618009800105051,,,
2020-04-30,,,0.022088732688103855,0.022720780235318976,,0.9551904870765773,,,
2020-05-29,,,,,,0.9968512189253328,,,
2020-06-30,,,0.6078994441551414,,,,,,0.3921005558448586
2020-07-31,0.4775205825609191,,,,0.5224794174390809,,,,
2020-08-31,0.8187326882505838,,,,0.18126731174941627,,,,
2020-09-30,0.3668165258557911,,,0.4659644519792998,,,,,0.16721902216490905
2020-10-30,0.20249431583957533,,,,,0.7653360506333426,,,0.03216963352708198
2020-11-30,0.5130328463671089,,,,,,,0.23163894798480894,0.2553282056480821
2020-12-31,,0.32350182012871265,0.3113735733545004,,0.3651246065167869,,,,
2021-01-29,,0.4436778877180323,0.23322664351771938,,0.32309546876424833,,,,
2021-02-26,0.6342103778829582,,,,0.2795704674220588,,,,0.08621915469498295
2021-03-31,,0.8153553215814523,,,0.03612094966621176,,,0.14852372875233605,
2021-04-30,0.44198502564534864,,,,0.3044609805818013,,,0.2535539937728501,
2021-05-28,,,,0.5922460299372193,0.22324791503891728,,,0.18450605502386339,
2021-06-30,0.5144358457113125,,0.22175296092861502,,0.24492166386687675,,,0.01888952949319567,
2021-07-30,,,0.18621229930590602,,0.2249426321007665,,0.4742989689661708,0.11454609962715664,
2021-08-31,0.6361838622306122,,,,,,0.28645040672139194,0.07736573104799578,
2021-09-30,,,0.16916648849955362,,0.30962399891834125,,0.3819358522907929,0.13927366029131225,
2021-10-29,,,0.39894813186651745,,0.2769965087390081,,,0.32405535939447433,
2021-11-30,0.8150042002940037,,,,,,0.18499579970599642,,
2021-12-31,,0.8714888649017395,,,,,,0.12851113509826054,
2022-01-31,0.039723460096469834,,,,0.26080717627931965,0.6994693636242106,,,
2022-02-28,,,,0.0474476802545829,0.25104678596346025,0.4872372054693858,,,0.21426832831257103
2022-03-31,0.2816110529297939,,,0.5319380077759969,,,,0.1864509392942093,
2022-04-29,0.10674716563907001,,,0.8072754206324051,,,,0.08597741372852488,
2022-05-31,,0.2766413774401618,,0.7233586225598383,,,,,
2022-06-30,,,,,0.2179128895015393,0.6865883140309482,,,0.09549879646751262
2022-07-29,,,0.05108165998701228,,,0.9413222032437408,,,
2022-08-31,0.3670539645423907,,,,,0.6329460354576093,,,
2022-09-30,0.5897408269423461,,,0.41025917305765397,,,,,
2022-10-31,0.1122580349266898,,,0.6172213598220528,0.2705206052512574,,,,
2022-11-30,0.2620490015537774,,,0.5883839187039452,0.14956707974227726,,,,
2022-12-30,0.2055795181427381,,,0.43788553616336456,,,,,0.3565349456938973
2023-01-31,,0.26569678897657534,,0.526002163020008,,,0.15901215837688998,,0.04928888962652676
2023-02-28,,0.6463211790624198,,0.3536788209375802,,,,,
2023-03-31,0.7004591216962298,,,0.29954087830377024,,,,,
2023-04-28,0.5385435450488193,0.22483410241878904,,0.2366223525323916,,,,,
2023-05-31,0.500310096654062,,,0.07771424835441335,,0.42197565499152456,,,
2023-06-30,1.0,,,,,,,,
2023-07-31,0.9293061475015527,,,,0.07069385249844726,,,,
2023-08-31,0.721373030793984,,,,0.27862696920601604,,,,
2023-09-29,0.17214316171387087,,,0.45040558759759514,0.37745125068853386,,,,
2023-10-31,,,0.18791354576571556,,0.271831128002035,0.5402553262322494,,,
2023-11-30,0.6425781517573845,,,0.35742184824261536,,,,,
2023-12-29,,,0.7245831380138966,,,,0.2754168619861035,,
2024-01-31,0.871664577392913,,,,,,0.128335422607087,,
2024-02-29,0.6573345825029845,0.34266541749701546,,,,,,,
2024-03-28,0.804656200739652,0.10197417682421929,,0.09336962243612867,,,,,
2024-04-30,0.17482833131035805,,,,0.6616887360912518,,,,0.16348293259839022
2024-05-31,,0.4932378085294603,,,0.3880271646241056,,,,0.11873502684643418
2024-06-28,0.857718756892652,,,0.02102407952653442,,,,,0.12125716358081355
2024-07-31,0.9153871351340888,,,,,,0.0846128648659113,,
2024-08-30,0.13569098768589102,,,0.20679337184829108,,,0.39316016062581877,0.2643554798399992,
2024-09-30,,,,0.1887121156658429,,,0.31912330913554643,0.4271839613773845,0.06498061382122619
2024-10-31,0.7094903146944308,,,0.19887152880193504,,,,,0.09163815650363424
2024-11-29,0.8754849760790128,,,0.1102338780678539,,,,0.014281145853133543,
2024-12-31,0.5369740289897642,,,,0.4630259710102359,,,,
2025-01-31,0.5843255958618525,0.1311888494691202,,,0.2844855546690274,,,,
2025-02-28,,,,0.0640622170401952,0.22854244956666386,0.7053171763033412,,,
2025-03-31,,0.14717876593079343,,0.036984782338592447,0.44543156473117285,,0.37040488699944124,,
2025-04-30,,0.046040994348086256,,0.03620099181377604,,0.9177580138381378,,,
2025-05-30,,0.16628562493963067,0.4937129637417056,0.34000141131866374,,,,,
2025-06-30,0.9253311338412206,,,,,,,,0.07466886615877955
2025-07-31,0.709625874422152,,,,0.2593655938381148,,,,0.031008531739733097
2025-08-29,0.6165784980129192,,,,0.2615208702310113,,,,0.12190063175606955
2025-09-30,0.6595244518848435,,,0.15350502832036353,,,,,0.18697051979479296
2025-10-31,0.9447719815111185,,,0.055228018488881515,,,,,
2025-11-28,0.6935393682409257,,,0.02661453841810124,,,,,0.2798460933409731
2025-12-30,,0.7423209550746399,,0.01223594900603033,0.23388549268866324,,,,0.011557603230666399
