,QQQ,SPY,DBC,EFA,EEM,GLD,IEF,VNQ,TLT
2018-01-31,0.04983669785638259,0.3629931908081554,0.37307893845438267,0.2140911728810794,,,,,
2018-02-28,,0.30192095974864,0.6974183817744324,,,,,,
2018-03-29,,0.014798654383987982,0.41403880761014483,0.5711625380058671,,,,,
2018-04-30,,0.0391782377440043,,0.9505758785735448,0.010245883682450923,,,,
2018-05-31,,0.12193675607032607,0.28464203206753214,,,0.5934212118621418,,,
2018-06-29,,0.31129285470367174,,,,,0.6837905720883951,,
2018-07-31,,0.3414327972303001,,,,,0.6585672027696998,,
2018-08-31,0.2859776427456855,0.15871295728408724,,,,,,0.08606398557956117,0.4692454143906661
2018-09-28,,0.8835824602861874,0.11641753971381269,,,,,,
2018-10-31,,0.08311245460034683,,,,,0.9168875453996532,,
2018-11-30,,0.1205629691609915,,,,,0.8794370308390085,,
2018-12-31,,0.061010580535511116,,,,0.04914156670886128,0.8898478527556276,,
2019-01-31,,,,,0.08481977236563266,0.010722780475588797,0.844447350703868,0.06001009645491054,
2019-02-28,,,,,,0.07521650240825464,0.8813555453443642,0.043427952247381135,
2019-03-29,,,,,0.04209577464187704,,0.9023555157949273,0.05554870956319563,
2019-04-30,0.08520653865513436,0.5134353340429769,,0.3745398387577328,,,,0.026818288544155973,
2019-05-31,0.034952941561054905,,,,,0.038354669228038825,0.9266923892109062,,
2019-06-28,,0.5606752317957566,,,,,,,0.4393247682042435
2019-07-31,,0.7542309882815883,,,,,,,0.24576901171841173
2019-08-30,0.06038542157645683,,,,,,0.9396145784235431,,
2019-09-30,,0.0668289142339097,,,,,0.9331710857660902,,
2019-10-31,,0.08353598010801726,,,,,0.9164640198919827,,
2019-11-29,,0.741274414893285,,,,0.1306813147212938,,,0.12804427038542113
2019-12-31,,0.7276789071712905,,0.024645296569013743,0.013622440191263699,0.23405335606843233,,,
2020-01-31,,0.4606173331256493,,,,0.2974090492469677,,0.07094290666886477,0.17103071095851818
2020-02-28,,,,,0.05508522741523764,0.05274481861224577,0.8909571627349582,,
2020-03-31,0.11540858154050178,,,,,,0.8845914184594982,,
2020-04-30,0.012678781170363591,0.010760928361851326,,,,0.02366444369701984,0.9528958467707652,,
2020-05-29,,0.0191676987799275,,,,,0.9808323012200726,,
2020-06-30,,0.11000119546643816,,,,,0.8899988045335618,,
2020-07-31,,,,,,0.02203953029188397,0.9667421878021051,,
2020-08-31,,0.7412030636984241,,,,,,,0.2587969363015758
2020-09-30,,0.4009163276145985,,0.23989853605902534,0.3591851363263763,,,,
2020-10-30,,0.07535154616514786,0.12679756965901498,0.04911000250886098,0.7487408816669763,,,,
2020-11-30,0.11558387695919964,0.1286495131188562,0.6939936815008629,,0.061772928421081306,,,,
2020-12-31,0.16531770031561815,0.2880834480188339,0.3413271394759457,0.20527171218960216,,,,,
2021-01-29,0.15471685256732592,0.13026450948623938,0.32404763491428,0.3909710030321547,,,,,
2021-02-26,,0.04946655129886783,0.12858551731711082,0.5731625589227789,,,,0.2487853724612425,
2021-03-31,,,0.03067892265316575,0.9556533552315224,,,,0.013667722115312045,
2021-04-30,,0.6264055192469486,0.1524313574646138,,,,,0.22116312328843749,
2021-05-28,,0.4704815823749648,0.25235147899582183,0.05437256459736282,,,,0.22279437403185054,
2021-06-30,0.1557627410692956,0.6063480819002671,0.1997843460766029,,,,,0.038104830953834413,
2021-07-30,0.7196210837020168,,0.020971841220131807,,,,,0.25940707507785127,
2021-08-31,,0.35528580769748763,,0.36039426831347143,,,,0.28431992398904093,
2021-09-30,0.01768455392307788,0.2345294966265293,0.2628992206956972,,,,,0.09374735403690317,0.3911393747177926
2021-10-29,0.09876275437941955,0.24657870621787015,0.2736564338202579,,,,,,0.3810021055824525
2021-11-30,,0.7890051327258859,,,,,,0.02555932381964794,0.18543554345446622
2021-12-31,,,0.026053455824610085,0.8503438234491225,,,,0.12360272072626745,
2022-01-31,,0.624061440126887,0.23585027547684675,,,0.1400882843962663,,,
2022-02-28,,0.22436707475341267,0.10891952348311472,,,0.30663143284184113,0.36008196892163147,,
2022-03-31,,0.7134904535536435,,,,0.28650954644635646,,,
2022-04-29,,0.060131810787034404,,,,0.36526970054300434,0.5400185524275101,0.03457993624245115,
2022-05-31,,0.2502756622613698,,,,0.7497243377386302,,,
2022-06-30,,,0.1757743566159406,,0.2768587185650268,,0.5473669248190326,,
2022-07-29,,0.22102268594929655,0.07792689881577793,,,,0.7010504152349255,,
2022-08-31,,,0.1617694949934312,,,,0.7043679793431321,0.13386252566343676,
2022-09-30,,,,,,0.03818406305349249,0.9618159369465075,,
2022-10-31,0.24163433335454296,,0.12311914380079217,,,,0.6352465228446649,,
2022-11-30,,0.48095240141756357,,,,0.0995561658960064,0.41949143268642997,,
2022-12-30,,0.02823310158847735,0.19658011663234012,,0.39612718913181055,0.37905959264737193,,,
2023-01-31,,,0.26666396761699174,0.24605124499355885,0.06104103099287661,0.42624375639657286,,,
2023-02-28,,0.637217623988525,,0.13637509636922995,0.08575801813784276,0.14064926150440227,,,
2023-03-31,,0.6991708638787953,,,,0.3008291361212047,,,
2023-04-28,,,,0.422275694505736,0.25427287860538317,,,,0.32345142688888084
2023-05-31,,0.46319574262763774,,0.03618350873596213,,0.0639423863587274,0.4366783622776727,,
2023-06-30,,0.7322107044852781,,,,0.26778929551472186,,,
2023-07-31,,0.8978016647901755,,,,0.10219833520982437,,,
2023-08-31,,0.5145344607263092,,,,0.38508010775742507,0.10038543151626582,,
2023-09-29,,0.4674353488259187,0.39973969936998927,0.13282495180409196,,,,,
2023-10-31,,0.5497258500080872,0.024205241379864788,,0.13224996594577593,0.29381894266627206,,,
2023-11-30,,0.7419905090629173,,,,0.2580094909370828,,,
2023-12-29,,0.9502782855357023,,0.02379333152910905,,0.025928382935188746,,,
2024-01-31,,0.4585918551045118,,,,0.07975125731876284,0.46165688757672535,,
2024-02-29,,0.4143088415278399,,,,0.5856911584721601,,,
2024-03-28,,0.8130688929447694,,0.04836630124310434,,0.13856480581212616,,,
2024-04-30,,0.8787398506422772,,0.04786236892928589,,0.07339778042843689,,,
2024-05-31,,0.7923504669346584,,,0.16150491184356316,0.04614462122177849,,,
2024-06-28,,0.8521178830632803,,,0.12612525683854173,0.021756860098177996,,,
2024-07-31,,0.9514060080248595,,,0.048593991975140485,,,,
2024-08-30,,,,0.44465526673329214,,0.33628783409524676,,0.21905689917146107,
2024-09-30,,0.7240544413634129,,,,0.15113774427610022,,0.12480781436048688,
2024-10-31,,0.7243683780816397,,,0.08017485564227252,0.19545676627608777,,,
2024-11-29,,0.7599720196596951,,,,0.09278992697844636,,,0.1472380533618587
2024-12-31,,0.3579758099038844,,,,,0.6420241900961156,,
2025-01-31,,0.7011165927016109,0.1782250744297081,,,0.12065833286868093,,,
2025-02-28,,0.7138259860364378,0.10127404327945332,,0.13501401079577266,0.04988595988833628,,,
2025-03-31,,0.011900680319172616,0.2151735145067457,0.11905466576891624,,,0.6538711394051655,,
2025-04-30,,,,,0.09267927941132573,0.027851924746833363,0.879468795841841,,
2025-05-30,0.05932651732158051,,,,0.24745087819247816,0.01134508208799938,0.681877522397942,,
2025-06-30,0.2691077453811567,,,0.042807271831070984,,0.05929188233968316,0.6287931004480891,,
2025-07-31,0.05399679743932937,0.6570734728177228,,,0.10527194521741783,0.18365778452553,,,
2025-08-29,,0.7670080665304195,,,,0.228212264235197,,,
2025-09-30,,0.6567041268982274,,,0.21558711805914402,0.12770875504262852,,,
2025-10-31,,0.6761045363753695,,0.28011243106483286,,0.04378303255979768,,,
2025-11-28,,0.6769869397990655,0.1891351045907281,,0.11408629866436674,0.019791656945839592,,,
2025-12-30,,0.7822627143774098,,0.09842368103175854,0.09789398628266015,0.021419618308171535,,,
