,QQQ,SPY,EFA,DBC,GLD,IEF,TLT,VNQ,EEM
2018-01-31,0.04983669785638294,0.36299319080815456,0.2140911728810797,0.3730789384543828,,,,,
2018-02-28,0.4332745563547562,,,0.051246079879193586,0.5154793637660503,,,,
2018-03-29,,,0.5475980999342558,0.24272849324913967,0.20967340681660457,,,,
2018-04-30,,,,0.03383526368480786,,0.9606066996793469,,,
2018-05-31,,0.3103646410123084,,0.27684786458303107,,,0.41278749440466056,,
2018-06-29,,0.5148517201081843,,0.03225701402162639,,,0.3914919901014199,0.061399275768769364,
2018-07-31,,0.11059453275881706,,,,0.8695597221436838,,0.019845745097499062,
2018-08-31,0.05103595673814413,0.02982421699055138,,,,0.8955568533962671,,0.0235829728750374,
2018-09-28,,0.8835824602861873,,0.1164175397138127,,,,,
2018-10-31,,0.06205730660871444,,0.021443452759438524,0.09023554396727386,0.8262636966645732,,,
2018-11-30,,,,,0.017762593073973196,0.9295887430858842,,0.05264866384014259,
2018-12-31,,,,,,0.9192501959929705,,,0.08074980400702948
2019-01-31,,,,,0.010722780475588545,0.8444473507038684,,0.060010096454910435,0.08481977236563253
2019-02-28,,,,0.29876183601216094,0.2508563927669957,,,0.38195784940335786,0.06842392181748554
2019-03-29,,0.17318357824146877,0.34249177692239424,0.17426165268819288,,,,0.31006299214794397,
2019-04-30,0.03058816507011114,0.4096108540623093,0.20463011449488766,0.2983794807983381,,,,0.05679138557435376,
2019-05-31,0.034952941561054995,,,,0.03835466922803891,0.9266923892109061,,,
2019-06-28,0.06564160015072269,,,,,0.9343583998492774,,,
2019-07-31,,0.039173883285751505,,,,0.9344435895676136,,0.026382527146634884,
2019-08-30,0.06038542157645681,,,,,0.9396145784235432,,,
2019-09-30,,0.06682891423390967,,,,0.9331710857660902,,,
2019-10-31,0.18063854082297406,,0.2977742456109043,,,,,0.4634055197971758,0.058181693768945816
2019-11-29,,0.8052338602681132,0.17003480117509637,0.024731338556790577,,,,,
2019-12-31,,0.756193114439976,0.07953081958549509,0.13704272956295693,,,,,0.027233336411571878
2020-01-31,,0.1493428006519121,,,,0.8506571993480878,,,
2020-02-28,,,,,0.05274481861224581,0.890957162734958,,,0.05508522741523771
2020-03-31,0.11540858154050178,,,,,0.8845914184594982,,,
