,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96780.24713022693
2018-03-02,97704.16405483094
2018-03-05,98700.28529893186
2018-03-06,98916.82664983305
2018-03-07,99465.37062254004
2018-03-08,99898.46525894066
2018-03-09,101789.65153634248
2018-03-12,102107.2311961463
2018-03-13,100937.87925824408
2018-03-14,100851.31761703563
2018-03-15,100909.02139964185
2018-03-16,100804.71301081488
2018-03-19,98806.31823720796
2018-03-20,98762.8822668263
2018-03-21,98169.1181012972
2018-03-22,95634.89566943352
2018-03-23,93086.18463527742
2018-03-26,96619.63130679063
2018-03-27,93520.6159466836
2018-03-28,92897.91634766353
2018-03-29,94737.04987473712
2018-04-02,95652.66472623948
2018-04-03,94931.09888447357
2018-04-04,95043.83906717483
2018-04-05,94555.2829834812
2018-04-06,94998.74299409434
2018-04-09,95321.94489832761
2018-04-10,95547.43673272125
2018-04-11,96291.55061102741
2018-04-12,95171.62083172888
2018-04-13,95795.4708691596
2018-04-16,95930.76482289669
2018-04-17,96020.96270355326
2018-04-18,96096.12473685262
2018-04-19,95908.21678635642
2018-04-20,95179.13302091192
2018-04-23,94419.98902974412
2018-04-24,94878.48488771447
2018-04-25,94262.14703946678
2018-04-26,93931.42721155491
2018-04-27,94329.79114908754
2018-04-30,93645.80345672354
2018-05-01,94527.21421375846
2018-05-02,93969.73042623799
2018-05-03,93958.11968068843
2018-05-04,95740.90112616091
2018-05-07,96536.46119782791
2018-05-08,96437.71386027616
2018-05-09,97488.7850012075
2018-05-10,98499.21853271539
2018-05-11,98406.2952347319
2018-05-14,98574.6977121843
2018-05-15,97482.97962843272
2018-05-16,98127.57200776515
2018-05-17,97750.09210984991
2018-05-18,97244.91267768294
2018-05-21,97790.74838606686
2018-05-22,97662.99285143468
2018-05-23,98487.60778716582
2018-05-24,98458.57158989516
2018-05-25,98557.30959405018
2018-05-29,98121.75730159362
2018-05-30,98824.40340867387
2018-05-31,98760.54430815126
2018-06-01,100241.14823779388
2018-06-04,101044.92429461963
2018-06-05,101397.42972217544
2018-06-06,102060.17571805252
2018-06-07,101242.33849002143
2018-06-08,101073.0931202409
2018-06-11,101185.91949316037
2018-06-12,101679.4666024675
2018-06-13,101157.73904673646
2018-06-14,101876.86917706665
2018-06-15,101487.70011715314
2018-06-18,101600.89835575738
2018-06-19,101077.36957561574
2018-06-20,101289.62353600035
2018-06-21,100511.32027858128
2018-06-22,100185.87970039507
2018-06-25,98105.72116380998
2018-06-26,98501.94405093146
2018-06-27,97157.63797968852
2018-06-28,98346.28339944764
2018-06-29,98303.83260737071
2018-07-02,98764.72941092352
2018-07-03,97621.60409359758
2018-07-05,98833.27806311562
2018-07-06,100370.76438150552
2018-07-09,101273.84108222883
2018-07-10,101348.15559457455
2018-07-11,100833.7290350174
2018-07-12,102571.26961730678
2018-07-13,102657.0150161574
2018-07-16,102411.22803952906
2018-07-17,103034.22510410937
2018-07-18,102839.90003352628
2018-07-19,102325.49180738775
2018-07-20,102302.63003437797
2018-07-23,102628.43321654052
2018-07-24,103051.36685051204
2018-07-25,104491.70438367435
2018-07-26,102908.50368597422
2018-07-27,101519.60055872925
2018-07-30,100085.01055230194
2018-07-31,100850.88911483869
2018-08-01,101031.54470791787
2018-08-02,102406.26475636876
2018-08-03,102719.99978715739
2018-08-06,103324.6354568046
2018-08-07,103701.10102664137
2018-08-08,103826.6169951029
2018-08-09,103763.84071408374
2018-08-10,102970.94024013843
2018-08-13,102856.89635800711
2018-08-14,103501.44647156086
2018-08-15,102235.15319120079
2018-08-16,102571.67687194842
2018-08-17,102594.49296709005
2018-08-20,102503.22858652356
2018-08-21,102879.70330475454
2018-08-22,103278.98496973293
2018-08-23,103130.68035131239
2018-08-24,104088.98379244316
2018-08-27,105149.93221652863
2018-08-28,105303.96372972008
2018-08-29,106518.95281539123
2018-08-30,106330.71545627574
2018-08-31,106467.60287873127
2018-09-04,105799.44283435114
2018-09-05,104433.21232207453
2018-09-06,103499.58495155608
2018-09-07,103101.11931237346
2018-09-10,103448.34674228786
2018-09-11,104245.33280134726
2018-09-12,103937.94006620072
2018-09-13,105048.00692248331
2018-09-14,104740.60505722108
2018-09-17,103232.05430152448
2018-09-18,104085.93011146598
2018-09-19,104006.22420146748
2018-09-20,105156.19879344347
2018-09-21,104581.20236733978
2018-09-24,104872.07872319798
2018-09-25,105014.6180893946
2018-09-26,105088.75462882046
2018-09-27,105978.43875250926
2018-09-28,105955.63172350854
2018-10-01,106249.25055681456
2018-10-02,106263.32451803949
2018-10-03,106586.15246616985
2018-10-04,104663.02895965391
2018-10-05,103343.5347778388
2018-10-08,102178.41758947639
2018-10-09,102543.39848759393
2018-10-10,97574.15276934303
2018-10-11,96338.84959802292
2018-10-12,99427.09029290127
2018-10-15,97798.75021259724
2018-10-16,100746.63043050814
2018-10-17,100283.38456067063
2018-10-18,98318.11959311544
2018-10-19,98276.00110997206
2018-10-22,99090.17689459804
