,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,92511.27207342806
2018-04-03,93428.39498311636
2018-04-04,93467.43594276471
2018-04-05,93701.57444527125
2018-04-06,91867.35543974057
2018-04-09,91964.92208706692
2018-04-10,93760.10907089787
2018-04-11,93799.14109259761
2018-04-12,93760.10907089787
2018-04-13,92823.48355728267
2018-04-16,92940.57068443322
2018-04-17,93135.6950411373
2018-04-18,93935.75763752096
2018-04-19,93389.38977526255
2018-04-20,92218.572131449
2018-04-23,91477.08885043515
2018-04-24,91047.80811532727
2018-04-25,90345.33004216723
2018-04-26,91652.71060321231
2018-04-27,92218.572131449
2018-04-30,91555.15289383459
2018-05-01,92416.88608041454
2018-05-02,91871.84816607961
2018-05-03,91860.49663141642
2018-05-04,93603.47732880512
2018-05-07,94381.27645390273
2018-05-08,94284.73365909838
2018-05-09,95312.3395470092
2018-05-10,96300.21506359881
2018-05-11,96209.36628618179
2018-05-14,96374.00916393744
2018-05-15,95306.66377967759
2018-05-16,95936.86557907006
2018-05-17,95567.81295212613
2018-05-18,95073.91169394276
2018-05-21,95607.56157350303
2018-05-22,95482.65819209644
2018-05-23,96288.86352893562
2018-05-24,96260.47556724977
2018-05-25,96357.00923702624
2018-05-29,95931.1806867106
2018-05-30,96618.14015941905
2018-05-31,96555.70671877147
2018-06-01,97875.63650244824
2018-06-04,98759.54212612945
2018-06-05,99065.49404590273
2018-06-06,99643.4295362186
2018-06-07,98833.1978925042
2018-06-08,98838.8532128453
2018-06-11,99105.15414265868
2018-06-12,99626.43625480721
2018-06-13,99620.753614078
2018-06-14,100629.3312755523
2018-06-15,100278.0457250899
2018-06-18,100220.10828868089
2018-06-19,99936.2221357135
2018-06-20,100645.98760551019
2018-06-21,99771.54394291494
2018-06-22,99550.09398360054
2018-06-25,97307.1994004025
2018-06-26,97704.69283397388
2018-06-27,96375.98397129141
2018-06-28,97205.00293523713
2018-06-29,97466.19495247185
2018-07-02,96734.03225879309
2018-07-03,97462.54503508905
2018-07-05,98620.98064712109
2018-07-06,99146.46577608296
2018-07-09,98358.23501167502
2018-07-10,98561.27494286968
2018-07-11,98238.78675159051
2018-07-12,98537.3705502201
2018-07-13,98238.78675159051
2018-07-16,97713.32619034978
2018-07-17,97068.4542206062
2018-07-18,96638.50067521872
2018-07-19,97773.03189460118
2018-07-20,96829.60683587943
2018-07-23,96626.59147240588
2018-07-24,96136.93836469727
2018-07-25,96901.23402680423
2018-07-26,97223.69765036227
2018-07-27,96184.70415648445
2018-07-30,96244.42828652672
2018-07-31,97856.64199150217
2018-08-01,98031.93394827987
2018-08-02,99365.83877351761
2018-08-03,99670.25906031464
2018-08-06,100256.94319150347
2018-08-07,100622.23155745624
2018-08-08,100744.0209764466
2018-08-09,100683.1085133918
2018-08-10,99913.74913049725
2018-08-13,99803.09119338838
2018-08-14,100428.50471488733
2018-08-15,99199.80748395524
2018-08-16,99526.33982925848
2018-08-17,99548.4785181041
2018-08-20,99459.9237627216
2018-08-21,99825.2210054542
2018-08-22,100212.6480602526
2018-08-23,100068.74658275605
2018-08-24,100998.59814461165
2018-08-27,102028.04717593311
2018-08-28,102177.5055175906
2018-08-29,103356.42176734935
2018-08-30,103173.77314598307
2018-08-31,103306.59640227699
2018-09-04,102658.27392510496
2018-09-05,101332.60658304038
2018-09-06,100426.69846312031
2018-09-07,100040.06320643944
2018-09-10,100376.9815082709
2018-09-11,101150.30517589654
2018-09-12,100852.03888297599
2018-09-13,101929.14802792546
2018-09-14,101630.87287596094
2018-09-17,100167.11075624263
2018-09-18,100995.63512694502
2018-09-19,100918.29567294726
2018-09-20,102034.12769915952
2018-09-21,101476.20282700942
2018-09-24,101758.44310935929
2018-09-25,101896.75050406867
2018-09-26,101968.68594123497
2018-09-27,102831.95548245044
2018-09-28,102809.82559057341
2018-10-01,102814.26064393754
2018-10-02,102582.30799463319
2018-10-03,102692.75405886455
2018-10-04,100721.21400851094
2018-10-05,99489.65021062647
2018-10-08,98882.16149197955
2018-10-09,99202.48337055004
2018-10-10,94839.64279982098
2018-10-11,93663.31087539581
2018-10-12,96269.98652582857
2018-10-15,95104.7328049322
2018-10-16,97871.50750524501
2018-10-17,97910.19722483166
2018-10-18,95640.4032895292
2018-10-19,95552.04290160668
2018-10-22,96043.54203358603
2018-10-23,95690.10048189589
