,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,100184.34256086178
2018-02-02,97789.48409504225
2018-02-05,93301.3927676971
2018-02-06,95330.72344587259
2018-02-07,95002.93644867925
2018-02-08,91075.76620584205
2018-02-09,92727.43163780765
2018-02-12,94215.72647659905
2018-02-13,94498.93961030254
2018-02-14,96224.84117315112
2018-02-15,97497.2700966073
2018-02-16,97412.18221326012
2018-02-20,97014.83898560875
2018-02-21,96858.77755215498
2018-02-22,96841.98582160156
2018-02-23,98271.83878193026
2018-02-26,99731.94292353664
2018-02-27,98664.40322022376
2018-02-28,97503.33709488275
2018-03-01,95905.19764780637
2018-03-02,96564.72098495698
2018-03-05,97569.37237384342
2018-03-06,97818.90244516403
2018-03-07,97944.16154771927
2018-03-08,98409.5248272162
2018-03-09,100011.91709678603
2018-03-12,100083.04588145208
2018-03-13,99506.26294935736
2018-03-14,99275.31742969123
2018-03-15,99206.0729388864
2018-03-16,99137.30205736008
2018-03-19,97535.29059326922
2018-03-20,97761.20073946005
2018-03-21,97401.23860018316
2018-03-22,94939.66839077417
2018-03-23,92817.50896301241
2018-03-26,95545.7218917534
2018-03-27,93521.4712745453
2018-03-28,93098.08620320183
2018-03-29,94377.86709180704
2018-04-02,91859.45981740713
2018-04-03,92970.6142440983
2018-04-04,94300.03441962654
2018-04-05,95101.71137434595
2018-04-06,92887.23724648892
2018-04-09,93223.60273871357
2018-04-10,94831.74428570652
2018-04-11,94172.67132064386
2018-04-12,95234.83137018219
2018-04-13,94474.25319438685
2018-04-16,95091.26020616296
2018-04-17,96275.28607673831
2018-04-18,96192.73764244698
2018-04-19,96208.82333440792
2018-04-20,95445.30702310371
2018-04-23,95364.15749238394
2018-04-24,94102.02671028569
2018-04-25,94214.22939495862
2018-04-26,95303.36771857462
2018-04-27,95437.01016580904
2018-04-30,94818.86132804508
2018-05-01,94774.87772034787
2018-05-02,94082.73399552371
2018-05-03,94022.31853855835
2018-05-04,95346.28888306119
2018-05-07,95986.89941381259
2018-05-08,96532.18834268564
2018-05-09,97721.85451401043
2018-05-10,98594.22110280512
2018-05-11,98628.44911538264
2018-05-14,98529.42206936171
2018-05-15,98071.19699129168
2018-05-16,98400.83881286629
2018-05-17,98368.59072100409
2018-05-18,98289.51429805583
2018-05-21,99386.70034094369
2018-05-22,98979.3479988901
2018-05-23,98970.80709102226
2018-05-24,98944.57669230452
2018-05-25,98756.78439566014
2018-05-29,97009.3536942898
2018-05-30,98295.02495070413
2018-05-31,97446.8056256437
2018-06-01,98319.0143135941
2018-06-04,98493.76226612988
2018-06-05,98271.22101885281
2018-06-06,99538.3250620021
2018-06-07,99864.62168811183
2018-06-08,99871.07607060464
2018-06-11,99879.35145268968
2018-06-12,99678.27678723613
2018-06-13,99284.40597767297
2018-06-14,98868.8081582227
2018-06-15,98341.14924482394
2018-06-18,98463.1857618165
2018-06-19,98162.41371153783
2018-06-20,98151.86438985121
2018-06-21,97444.21339411785
2018-06-22,97508.08090462488
2018-06-25,96060.64534224044
2018-06-26,96210.87723969722
2018-06-27,95519.30552320673
2018-06-28,96216.8171411881
2018-06-29,96336.1814966686
2018-07-02,96001.05927512108
2018-07-03,95655.22942920792
2018-07-05,96231.90664261463
2018-07-06,97056.47425921129
2018-07-09,98169.50157954977
2018-07-10,98558.85663182987
2018-07-11,97661.34157390529
2018-07-12,98454.48042861244
2018-07-13,98659.66596460722
2018-07-16,98291.98767303034
2018-07-17,98446.75382834338
2018-07-18,98391.94113005145
2018-07-19,98204.22154880664
2018-07-20,97957.11925785328
2018-07-23,97953.35129827441
2018-07-24,98437.80878571213
2018-07-25,99368.53795711577
2018-07-26,99019.9055856655
2018-07-27,98218.96016770879
2018-07-30,97707.20653356501
2018-07-31,97888.21970661216
2018-08-01,98004.16513973713
2018-08-02,98878.14050545571
2018-08-03,99102.70342169215
2018-08-06,99632.66356868309
2018-08-07,100079.50207500567
2018-08-08,100178.58754041418
2018-08-09,100134.20426551386
2018-08-10,99529.84507354455
2018-08-13,99167.08886865985
2018-08-14,99784.30941234925
2018-08-15,98461.91374107983
2018-08-16,98942.9207678994
2018-08-17,99095.34669985925
2018-08-20,99205.19707387696
2018-08-21,99522.05076849411
2018-08-22,99915.02749725293
2018-08-23,99981.10304719847
2018-08-24,100876.77535323234
2018-08-27,101728.58018328031
2018-08-28,101822.7583785096
2018-08-29,102740.2233264058
2018-08-30,102385.30630597663
2018-08-31,102397.99344361332
2018-09-04,102053.59963705545
2018-09-05,101217.28280533211
2018-09-06,100253.82947229948
2018-09-07,100133.68961697756
2018-09-10,100348.83360485098
2018-09-11,101219.35378313198
2018-09-12,101317.64316173497
2018-09-13,101781.6427579989
2018-09-14,101804.90538472735
2018-09-17,101013.92429172
2018-09-18,101878.11265104313
2018-09-19,101912.29782820193
2018-09-20,102550.99749204003
2018-09-21,102492.69489085826
2018-09-24,102944.78330114702
2018-09-25,103273.01696576251
2018-09-26,102884.33033854465
2018-09-27,103200.118442359
2018-09-28,103200.75092945041
2018-10-01,103222.7603917163
2018-10-02,102724.87997278976
2018-10-03,102650.52734095727
2018-10-04,101163.40544809317
2018-10-05,100446.38038765341
2018-10-08,100138.60915467315
2018-10-09,100218.17819657396
2018-10-10,96693.12036266057
2018-10-11,94834.2432937226
2018-10-12,96911.78359445142
2018-10-15,96082.59284733904
2018-10-16,98570.03644428027
2018-10-17,98329.90689850757
2018-10-18,96694.33169100362
2018-10-19,96070.05258190622
2018-10-22,96189.71630495129
