,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99583.05311167802
2018-02-02,97610.39905520104
2018-02-05,94586.86300051837
2018-02-06,96107.45732150676
2018-02-07,95931.31520046326
2018-02-08,91569.2073793269
2018-02-09,93430.29121495834
2018-02-12,94880.42191543702
2018-02-13,95467.51717163331
2018-02-14,97234.6946605339
2018-02-15,99653.50544536722
2018-02-16,99465.63631780287
2018-02-20,99999.89796714252
2018-02-21,99313.00464390364
2018-02-22,99001.83828897293
2018-02-23,101003.81550516226
2018-02-26,101943.19500344557
2018-02-27,101074.27912567198
2018-02-28,100739.64747087908
2018-03-01,98950.46774280145
2018-03-02,100630.8312609617
2018-03-05,101533.53770368632
2018-03-06,103061.61912102759
2018-03-07,103393.34861505259
2018-03-08,103485.78344560285
2018-03-09,105633.81082555193
2018-03-12,106754.0486749159
2018-03-13,105106.33341406587
2018-03-14,105095.42818124813
2018-03-15,105013.885095287
2018-03-16,104970.36532573054
2018-03-19,102969.18429047732
2018-03-20,103725.07136496328
2018-03-21,103920.84625888153
2018-03-22,101182.85050437337
2018-03-23,97815.54121249932
2018-03-26,101896.62058507657
2018-03-27,98147.9046532682
2018-03-28,96022.88819129938
2018-03-29,98104.30395434017
2018-04-02,95687.0559992914
2018-04-03,96581.33283691066
2018-04-04,98375.63149747634
2018-04-05,98548.73522524985
2018-04-06,96390.93869962927
2018-04-09,97083.25379437592
2018-04-10,99114.15047035628
2018-04-11,98733.36219579351
2018-04-12,100227.66836965074
2018-04-13,99235.29424396405
2018-04-16,100366.11364347165
2018-04-17,102627.74135178159
2018-04-18,103072.001732575
2018-04-19,102177.72489495574
2018-04-20,100873.82394908516
2018-04-23,100769.97058498526
2018-04-24,99050.66727342037
2018-04-25,98381.39866421405
2018-04-26,100573.7981902609
2018-04-27,100343.03388581553
2018-04-30,100210.3335973218
2018-05-01,100891.09193343075
2018-05-02,100338.32874551385
2018-05-03,100873.8250016496
2018-05-04,102422.6909195103
2018-05-07,103505.20578818193
2018-05-08,104023.41297544452
2018-05-09,105722.01418377658
2018-05-10,106672.08283085
2018-05-11,105543.522810762
2018-05-14,104345.87292645739
2018-05-15,103890.97782239233
2018-05-16,104006.13497511735
2018-05-17,103793.09866999448
2018-05-18,104484.0526548906
2018-05-21,104581.95394438048
2018-05-22,103931.30053551971
2018-05-23,105278.65250465764
2018-05-24,105226.82957222218
2018-05-25,104990.7596228451
2018-05-29,104294.07213111395
2018-05-30,105434.13237051005
2018-05-31,105341.99779349322
2018-06-01,106849.71929413929
2018-06-04,107648.46462952683
2018-06-05,108470.20863433238
2018-06-06,109177.03661706517
2018-06-07,107326.67104700243
2018-06-08,108102.45085226507
2018-06-11,108401.25681180252
2018-06-12,109510.31848786754
2018-06-13,109924.06256233981
2018-06-14,110521.69657427676
2018-06-15,110234.37890301728
2018-06-18,110906.70888162307
2018-06-19,110096.46421152653
2018-06-20,109699.96361590225
2018-06-21,108527.69426144635
2018-06-22,106671.57350081358
2018-06-25,104539.63440363033
2018-06-26,105084.52170736798
2018-06-27,102716.4761932105
2018-06-28,104578.72772306853
2018-06-29,104998.30431312807
2018-07-02,106595.41013551562
2018-07-03,105912.80379785193
2018-07-05,106813.3727619239
2018-07-06,108281.85061966829
2018-07-09,108838.2611056049
2018-07-10,108821.05207926211
2018-07-11,109555.28549595417
2018-07-12,112503.66244865696
2018-07-13,112561.0332193731
2018-07-16,111889.9032407247
2018-07-17,112830.63394917002
2018-07-18,113014.18954725297
2018-07-19,112371.73392960239
2018-07-20,112320.10685057401
2018-07-23,112692.97276278793
2018-07-24,111344.9580894431
2018-07-25,113111.71103798221
2018-07-26,112773.28522717438
2018-07-27,109887.96761507426
2018-07-30,106050.48703295451
2018-07-31,106417.56515603968
2018-08-01,106817.51957337814
2018-08-02,108626.51225357004
2018-08-03,108494.84732796012
2018-08-06,109256.21981205234
2018-08-07,109565.37438251385
2018-08-08,109800.08716416643
2018-08-09,110298.12979703881
2018-08-10,110349.6647273937
2018-08-13,109834.42544718042
2018-08-14,110630.18022362085
2018-08-15,109067.32074730791
2018-08-16,109571.08459362705
2018-08-17,109181.82203257759
2018-08-20,109473.77995569824
2018-08-21,109811.54059339345
2018-08-22,110950.7442139752
2018-08-23,111483.15813686224
2018-08-24,114414.21280196274
2018-08-27,114374.1313008349
2018-08-28,114820.66100801951
2018-08-29,116148.79670034633
2018-08-30,115083.99085923933
2018-08-31,114980.95400553024
2018-09-04,114915.3250420379
2018-09-05,113127.25806239677
2018-09-06,112521.81987704124
2018-09-07,112176.67412267526
2018-09-10,112589.73387073744
2018-09-11,113302.67873765984
2018-09-12,113081.99742689099
2018-09-13,114389.09988094875
2018-09-14,114496.60656251562
2018-09-17,112765.13611365049
2018-09-18,113506.39307022339
2018-09-19,112946.22473654867
2018-09-20,114168.40935400489
2018-09-21,113987.35759580677
2018-09-24,114406.85023403043
2018-09-25,114446.58116452635
2018-09-26,113907.29668343888
2018-09-27,114474.95776740198
2018-09-28,114985.8748617888
2018-10-01,114459.40157658714
2018-10-02,112779.78224809942
2018-10-03,113244.45716626404
2018-10-04,110747.47912216627
2018-10-05,110070.04474685523
2018-10-08,107293.07814085955
2018-10-09,106962.76459129795
2018-10-10,101806.39555381965
2018-10-11,101246.50451082375
2018-10-12,104852.0526167214
2018-10-15,103284.42440895285
2018-10-16,107259.50662888377
2018-10-17,107097.13672000097
2018-10-18,104219.41253767801
2018-10-19,102388.6353244994
2018-10-22,103525.17088617908
2018-10-23,103110.88551627811
