,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99583.05311167802
2018-02-02,97610.39905520104
2018-02-05,94586.86300051837
2018-02-06,96107.45732150676
2018-02-07,95931.31520046326
2018-02-08,91569.2073793269
2018-02-09,93430.29121495834
2018-02-12,94880.42191543702
2018-02-13,95467.51717163331
2018-02-14,97234.6946605339
2018-02-15,99653.50544536722
2018-02-16,99465.63631780287
2018-02-20,99999.89796714252
2018-02-21,99313.00464390364
2018-02-22,99001.83828897293
2018-02-23,101003.81550516226
2018-02-26,101943.19500344557
2018-02-27,101074.27912567198
2018-02-28,100739.64747087908
2018-03-01,99688.77319642168
2018-03-02,101686.76172240255
2018-03-05,102659.39759492541
2018-03-06,103028.52770416572
2018-03-07,104715.98285048417
2018-03-08,105454.23180469539
2018-03-09,106801.86647083191
2018-03-12,106631.93370220208
2018-03-13,105506.9711141694
2018-03-14,105542.13816333169
2018-03-15,105430.77959574091
2018-03-16,105131.98358482517
2018-03-19,103924.96079399067
2018-03-20,103948.42426721458
2018-03-21,103567.56805349702
2018-03-22,101098.84570801194
2018-03-23,98649.46411313918
2018-03-26,102458.31912132
2018-03-27,98790.09851698006
2018-03-28,97623.98755271744
2018-03-29,99440.50869817156
2018-04-02,99270.35912517784
2018-04-03,99222.77206125176
2018-04-04,99163.35856238453
2018-04-05,99187.15209434756
2018-04-06,99270.35912517784
2018-04-09,99258.52187007663
2018-04-10,99210.90234567039
2018-04-11,99210.90234567039
2018-04-12,99151.44556616292
2018-04-13,99127.71695516021
2018-04-16,99115.79313877856
2018-04-17,99115.79313877856
2018-04-18,99032.52118698796
2018-04-19,99032.52118698796
2018-04-20,98996.91204024381
2018-04-23,98985.00986418227
2018-04-24,99008.76011550508
2018-04-25,98996.91204024381
2018-04-26,99020.68393188674
2018-04-27,99044.41254288945
2018-04-30,99008.76011550508
2018-05-01,98767.03354582704
2018-05-02,98802.63633667296
2018-05-03,98873.94990377835
2018-05-04,98838.28232168431
2018-05-07,98838.28232168431
2018-05-08,98850.17151571566
2018-05-09,98802.63633667296
2018-05-10,98802.63633667296
2018-05-11,98802.63633667296
2018-05-14,98802.63633667296
2018-05-15,98743.21196359892
2018-05-16,98743.21196359892
2018-05-17,98767.03354582704
2018-05-18,98814.51473216296
2018-05-21,98814.51473216296
2018-05-22,98814.51473216296
2018-05-23,98897.73909038241
2018-05-24,98957.08787366697
2018-05-25,99040.21504501424
2018-05-29,99325.4477163531
2018-05-30,99206.59897020501
2018-05-31,99159.10698532774
2018-06-01,100578.33503034472
2018-06-04,101330.19920441318
2018-06-05,102103.71217543923
2018-06-06,102769.05394821841
2018-06-07,101027.29281432096
2018-06-08,101757.53938566372
2018-06-11,102038.80737687564
2018-06-12,103082.77433871213
2018-06-13,103472.23432432553
2018-06-14,104034.79110290398
2018-06-15,103764.33711209356
2018-06-18,104397.20568943635
2018-06-19,103634.5171168891
2018-06-20,103261.28852995524
2018-06-21,102157.82376975592
2018-06-22,100410.64523758041
2018-06-25,98403.83711307327
2018-06-26,98916.74307250064
2018-06-27,96687.68644358819
2018-06-28,98440.63590867027
2018-06-29,98835.58607910288
2018-07-02,98560.97040826998
2018-07-03,99088.90209975417
2018-07-05,99373.16054417126
2018-07-06,99698.0582069274
2018-07-09,99056.3891816261
2018-07-10,99048.33233697248
2018-07-11,99430.00605922735
2018-07-12,99421.88747630053
2018-07-13,99673.67930629446
2018-07-16,99259.48494862736
2018-07-17,99072.64949933221
2018-07-18,98674.63828652972
2018-07-19,99300.0778632615
2018-07-20,98081.7888007675
2018-07-23,96871.58745206372
2018-07-24,97204.58826317839
2018-07-25,97050.23486287468
2018-07-26,96863.43028271614
2018-07-27,97025.90998323081
2018-07-30,96692.901454832
2018-07-31,97220.84086360034
2018-08-01,97394.99390102045
2018-08-02,98720.23198504228
2018-08-03,99022.67437072025
2018-08-06,99605.54665608297
2018-08-07,99968.46164450761
2018-08-08,100089.45976463072
2018-08-09,100028.94306635924
2018-08-10,99264.58241991681
2018-08-13,99154.64345742013
2018-08-14,99775.99349774618
2018-08-15,98555.27944577241
2018-08-16,98879.6902219188
2018-08-17,98901.68506970211
2018-08-20,98813.70567856886
2018-08-21,99176.62948609846
2018-08-22,99561.53932230642
2018-08-23,99418.5728117149
2018-08-24,100342.38287592887
2018-08-27,101365.14329785285
2018-08-28,101513.63056815261
2018-08-29,102684.88707948131
2018-08-30,102503.42517571652
2018-08-31,102635.38544331142
2018-09-04,102576.80309789134
2018-09-05,100980.72185781832
2018-09-06,100440.28990494834
2018-09-07,100132.20264093268
2018-09-10,100500.91193561674
2018-09-11,101137.30751825287
2018-09-12,100940.32088175474
2018-09-13,102107.07902310452
2018-09-14,102203.04265287069
2018-09-17,100657.48114279287
2018-09-18,101319.14893037043
2018-09-19,100819.12618019323
2018-09-20,101910.08415997718
2018-09-21,101748.47202909367
2018-09-24,102122.92351096819
2018-09-25,102158.38850950415
2018-09-26,101677.00730112293
2018-09-27,102183.71830085006
2018-09-28,102639.77794451457
2018-10-01,102169.8323868383
2018-10-02,100670.55471369358
2018-10-03,101085.33722914713
2018-10-04,98856.46109730417
2018-10-05,98251.76322517438
2018-10-08,95772.96105802708
2018-10-09,95478.1134567907
2018-10-10,90875.38661192481
2018-10-11,90375.61137957305
2018-10-12,93594.02979316012
2018-10-15,92194.71869222428
2018-10-16,95742.99413784148
2018-10-17,95598.05797578998
2018-10-18,93029.31662895744
2018-10-19,91395.11097672064
2018-10-22,92409.61608717062
