,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,98931.16343983468
2018-02-02,97167.97583587069
2018-02-05,94290.41647137688
2018-02-06,96144.87356027588
2018-02-07,94968.1636886982
2018-02-08,91757.68832154888
2018-02-09,92885.54982823788
2018-02-12,94277.21600969804
2018-02-13,94750.56012424642
2018-02-14,95945.8317747201
2018-02-15,97435.8830715289
2018-02-16,97191.17536194796
2018-02-20,97262.01476602633
2018-02-21,96803.7726167783
2018-02-22,96851.40803393205
2018-02-23,98610.98523412821
2018-02-26,99669.5993045835
2018-02-27,98646.38801820629
2018-02-28,98259.18896613628
2018-03-01,96799.51859764467
2018-03-02,97476.69138819883
2018-03-05,98328.91912887311
2018-03-06,98665.72936844798
2018-03-07,98845.01667291344
2018-03-08,99312.63531587829
2018-03-09,100824.08870261967
2018-03-12,101266.78769161011
2018-03-13,100180.60518955722
2018-03-14,100199.65175205916
2018-03-15,100131.13192166916
2018-03-16,99880.78865697136
2018-03-19,98148.57252641844
2018-03-20,98375.76155323868
2018-03-21,98030.87202091255
2018-03-22,96131.56681948992
2018-03-23,94115.54615411504
2018-03-26,96876.08541064491
2018-03-27,94433.10662566258
2018-03-28,93584.17647228381
2018-03-29,94994.64488786418
2018-04-02,91887.78003979052
2018-04-03,93248.1912051702
2018-04-04,94211.48000117514
2018-04-05,93414.02990308541
2018-04-06,91202.92273418719
2018-04-09,91673.81510627402
2018-04-10,93984.88896635594
2018-04-11,94030.31517771998
2018-04-12,95403.14559953709
2018-04-13,94844.00542334028
2018-04-16,94982.34046839247
2018-04-17,96428.2908146068
2018-04-18,95612.67324105086
2018-04-19,92247.2648248788
2018-04-20,91328.13959695415
2018-04-23,90354.64479597559
2018-04-24,89752.71959454347
2018-04-25,89639.45054654618
2018-04-26,91120.42459262189
2018-04-27,90637.97734312937
2018-04-30,89853.7918537983
2018-05-01,90510.6085747109
2018-05-02,90535.13166684876
2018-05-03,90807.6674399103
2018-05-04,92181.61355794917
2018-05-07,92814.82177944577
2018-05-08,93070.10765836696
2018-05-09,94015.61602672332
2018-05-10,94959.10433170055
2018-05-11,94738.4691583546
2018-05-14,94603.08189559898
2018-05-15,93836.94170715084
2018-05-16,94198.47854857122
2018-05-17,93810.20280541742
2018-05-18,93585.37911756034
2018-05-21,94189.43553435507
2018-05-22,94001.92074428976
2018-05-23,94670.63006075934
2018-05-24,94662.05864810827
2018-05-25,94749.51428434838
2018-05-29,94511.647247495
2018-05-30,94996.21043861222
2018-05-31,94907.62956752419
2018-06-01,95988.41878899319
2018-06-04,96498.05885264922
2018-06-05,96968.39855647816
2018-06-06,97267.75216403042
2018-06-07,96557.69339814797
2018-06-08,96513.7156049854
2018-06-11,96470.99119475631
2018-06-12,96997.3764521362
2018-06-13,96834.78348704026
2018-06-14,97408.0431738688
2018-06-15,97127.13151725175
2018-06-18,97225.86193975645
2018-06-19,96793.09724737292
2018-06-20,96842.36611080036
2018-06-21,96249.59419053384
2018-06-22,95838.11507020003
2018-06-25,94100.02872790013
2018-06-26,94524.14598255642
2018-06-27,93543.37067268412
2018-06-28,94398.35376014608
2018-06-29,94378.23498188355
2018-07-02,94679.78214082598
2018-07-03,93902.62544840944
2018-07-05,94887.54345491805
2018-07-06,96130.46401648477
2018-07-09,96701.52897785968
2018-07-10,96757.06778967188
2018-07-11,96434.85289794175
2018-07-12,97767.82627435746
2018-07-13,97881.77058710442
2018-07-16,97613.8901256339
2018-07-17,98056.70322363196
2018-07-18,97831.43891290351
2018-07-19,97555.79257112245
2018-07-20,97305.56433467126
2018-07-23,97324.67397895685
2018-07-24,97713.1061585919
2018-07-25,98789.8837723674
2018-07-26,97538.22518292598
2018-07-27,96502.50389995321
2018-07-30,95337.06418021009
2018-07-31,96026.12578738615
2018-08-01,95969.213703583
2018-08-02,97043.65532575971
2018-08-03,97377.32452208607
2018-08-06,97849.12498908985
2018-08-07,98036.38675656216
2018-08-08,98151.25568547726
2018-08-09,98263.9206826715
2018-08-10,97799.56336500707
2018-08-13,97672.5770878534
2018-08-14,98120.21338088521
2018-08-15,97267.98175385782
2018-08-16,97522.7129463799
2018-08-17,97564.16183650211
2018-08-20,97624.6445356834
2018-08-21,97845.61781759218
2018-08-22,98226.7893216091
2018-08-23,98144.30982157118
2018-08-24,98912.80043346123
2018-08-27,99608.61066198544
2018-08-28,99608.7895317774
2018-08-29,100559.95759871168
2018-08-30,100458.29304998525
2018-08-31,100517.6296478585
2018-09-04,100315.56728045258
2018-09-05,99011.86708047774
2018-09-06,98661.5648023161
2018-09-07,98250.67366674951
2018-09-10,98612.67717142888
2018-09-11,98960.05444389461
2018-09-12,98852.26321445765
2018-09-13,99796.3122852125
2018-09-14,99776.77613506527
2018-09-17,98565.83954591944
2018-09-18,98878.16778234363
2018-09-19,98370.07987041821
2018-09-20,99314.58072409374
2018-09-21,99179.6508242983
2018-09-24,99423.18020552301
2018-09-25,99431.01360248872
2018-09-26,99190.13158530739
2018-09-27,99600.43664335439
2018-09-28,99906.2281403626
2018-10-01,99846.97975578083
2018-10-02,99767.35449830626
2018-10-03,100023.10389703867
2018-10-04,98556.50675788477
2018-10-05,97477.2895982379
2018-10-08,96449.7906106856
2018-10-09,96679.02791964397
2018-10-10,93101.7079409927
2018-10-11,92136.61377743066
2018-10-12,94371.12396399403
2018-10-15,93290.7278487282
2018-10-16,95586.05457753284
2018-10-17,95278.45736272416
2018-10-18,93741.26691481116
2018-10-19,93511.56000372152
2018-10-22,94106.33727213841
