,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,93589.85611134517
2018-04-03,95362.5493523247
2018-04-04,96589.36216554398
2018-04-05,95600.3301680343
2018-04-06,92708.91785718358
2018-04-09,93292.59998948372
2018-04-10,96275.91104692247
2018-04-11,96313.732819612
2018-04-12,98129.65285491763
2018-04-13,97405.44016006679
2018-04-16,97578.38078428723
2018-04-17,99426.73094941226
2018-04-18,98448.49561640927
2018-04-19,94189.75330855501
2018-04-20,93076.45263908681
2018-04-23,91838.81640382798
2018-04-24,91098.37526530102
2018-04-25,90984.86981093315
2018-04-26,92844.04339809771
2018-04-27,92195.51438492522
2018-04-30,91184.85561148605
2018-05-01,92496.72081812746
2018-05-02,92086.78662036595
2018-05-03,92636.95057227997
2018-05-04,94810.62859195552
2018-05-07,95727.54625841949
2018-05-08,96293.8862014933
2018-05-09,97760.98117190691
2018-05-10,99540.88763294513
2018-05-11,98812.75439818429
2018-05-14,100020.93336977398
2018-05-15,98936.808161177
2018-05-16,100209.71780147712
2018-05-17,99918.46984838705
2018-05-18,98489.16113879243
2018-05-21,99476.17031627032
2018-05-22,100031.73516659468
2018-05-23,100571.11734974143
2018-05-24,100975.6039169679
2018-05-25,101790.091442134
2018-05-29,101175.21017354517
2018-05-30,101833.23854525648
2018-05-31,101094.29016163932
2018-06-01,102476.26300486713
2018-06-04,103401.71645171722
2018-06-05,103722.04958586492
2018-06-06,104327.15082884865
2018-06-07,103478.83439400162
2018-06-08,103484.75554164735
2018-06-11,103763.57389825965
2018-06-12,104309.35878133349
2018-06-13,104303.40902910977
2018-06-14,105359.39470022709
2018-06-15,104991.59703632028
2018-06-18,104930.93626124444
2018-06-19,104633.70609126033
2018-06-20,105376.83395794695
2018-06-21,104461.28722994371
2018-06-22,104229.42805554588
2018-06-25,101881.1066201676
2018-06-26,102297.28416032948
2018-06-27,100906.11957908314
2018-06-28,101774.10642873392
2018-06-29,102047.57572926048
2018-07-02,102483.63080958796
2018-07-03,100615.20006360915
2018-07-05,103306.42399599426
2018-07-06,104574.92002477782
2018-07-09,105243.44609625397
2018-07-10,106357.63976999522
2018-07-11,103626.411262302
2018-07-12,104323.51706472854
2018-07-13,103946.37738454247
2018-07-16,103803.55625803732
2018-07-17,105294.86141987493
2018-07-18,106106.21566587866
2018-07-19,105871.94644835473
2018-07-20,105374.83533037896
2018-07-23,105517.69874501869
2018-07-24,104369.21644215942
2018-07-25,104763.46167278114
2018-07-26,106808.99512636068
2018-07-27,106334.78303325735
2018-07-30,105294.86141987493
2018-07-31,105991.95312625659
2018-08-01,105626.19396745005
2018-08-02,106664.04484931164
2018-08-03,106886.443978975
2018-08-06,107530.81623115196
2018-08-07,108386.17856155595
2018-08-08,108637.09328586968
2018-08-09,107565.0363515205
2018-08-10,104896.29603314339
2018-08-13,105050.26195601016
2018-08-14,104839.27187778312
2018-08-15,103385.1523991261
2018-08-16,103253.99051125108
2018-08-17,102484.13979509585
2018-08-20,102392.92365512892
2018-08-21,104388.76909273824
2018-08-22,104879.19652386982
2018-08-23,104998.92825848713
2018-08-24,106521.49501182167
2018-08-27,108215.10609547516
2018-08-28,108631.39579409198
2018-08-29,108916.52360483378
2018-08-30,107941.39437011015
2018-08-31,108528.72839904591
2018-09-04,107847.63332389688
2018-09-05,106454.95370880078
2018-09-06,105503.25207768277
2018-09-07,105097.07247034757
2018-09-10,105451.02193868304
2018-09-11,106263.43699455695
2018-09-12,105950.09338802757
2018-09-13,107081.65022872678
2018-09-14,106768.29731533016
2018-09-17,105230.54225356125
2018-09-18,106100.94839926182
2018-09-19,106019.69944818063
2018-09-20,107191.93660562392
2018-09-21,106605.80872003503
2018-09-24,106902.3162037115
2018-09-25,107047.61501519827
2018-09-26,107123.18677725774
2018-09-27,108030.09445630774
2018-09-28,108006.84590192047
2018-10-01,108011.50514652589
2018-10-02,107767.82732773719
2018-10-03,107883.85642292714
2018-10-04,105812.65533699191
2018-10-05,104518.83618524842
2018-10-08,103880.63900861525
2018-10-09,104217.15310713687
2018-10-10,99633.77164033099
2018-10-11,98397.97632445458
2018-10-12,101136.4190139089
2018-10-15,99912.26190298551
2018-10-16,102818.89662379588
2018-10-17,102859.54210254639
2018-10-18,100475.01044527447
2018-10-19,100382.18345381366
2018-10-22,100898.52778864434
2018-10-23,100527.21982280111
