,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,93589.85611134517
2018-04-03,95362.5493523247
2018-04-04,96589.36216554398
2018-04-05,95600.3301680343
2018-04-06,92708.91785718358
2018-04-09,93292.59998948372
2018-04-10,96275.91104692247
2018-04-11,96313.732819612
2018-04-12,98129.65285491763
2018-04-13,97405.44016006679
2018-04-16,97578.38078428723
2018-04-17,99426.73094941226
2018-04-18,98448.49561640927
2018-04-19,94189.75330855501
2018-04-20,93076.45263908681
2018-04-23,91838.81640382798
2018-04-24,91098.37526530102
2018-04-25,90984.86981093315
2018-04-26,92844.04339809771
2018-04-27,92195.51438492522
2018-04-30,91184.85561148605
2018-05-01,92142.6545580108
2018-05-02,92045.30887917404
2018-05-03,92253.8519317471
2018-05-04,94005.48983613573
2018-05-07,94658.89685513182
2018-05-08,94867.41699340397
2018-05-09,96035.22142493154
2018-05-10,97286.41099746707
2018-05-11,97147.37847670156
2018-05-14,97133.48095320024
2018-05-15,96215.91214474967
2018-05-16,96646.89577339707
2018-05-17,96146.42452724304
2018-05-18,95743.26458847443
2018-05-21,96577.36232728863
2018-05-22,96438.3870922754
2018-05-23,97147.37847670156
2018-05-24,97036.14100293869
2018-05-25,96966.63047113117
2018-05-29,96438.3870922754
2018-05-30,97147.37847670156
2018-05-31,97175.18498085467
2018-06-01,98632.0214306162
2018-06-04,99422.89482598263
2018-06-05,99769.74163985407
2018-06-06,100421.84886745022
2018-06-07,99617.14001863931
2018-06-08,99450.61146990774
2018-06-11,99561.62669097578
2018-06-12,100047.25110687655
2018-06-13,99533.89861279163
2018-06-14,100241.48486527418
2018-06-15,99858.56296411573
2018-06-18,99969.94408147321
2018-06-19,99454.81927723631
2018-06-20,99663.66601869348
2018-06-21,98897.8565191537
2018-06-22,98577.64009459811
2018-06-25,96530.8734227636
2018-06-26,96920.73591916237
2018-06-27,95598.00939857619
2018-06-28,96767.57401925442
2018-06-29,96725.80467096299
2018-07-02,97179.30290202361
2018-07-03,96054.52766971175
2018-07-05,97246.75117302717
2018-07-06,98759.55690371348
2018-07-09,99648.1369136704
2018-07-10,99721.2584880253
2018-07-11,99215.08979045256
2018-07-12,100924.73840244161
2018-07-13,101009.10736833721
2018-07-16,100767.26590131146
2018-07-17,101380.2622696205
2018-07-18,101189.05661342842
2018-07-19,100682.90595497604
2018-07-20,100660.41117189462
2018-07-23,100980.98437970533
2018-07-24,101397.12884715149
2018-07-25,102814.34527908203
2018-07-26,101256.55900179304
2018-07-27,99889.95132201561
2018-07-30,98478.39015431606
2018-07-31,99231.9744071039
2018-08-01,99409.73001586724
2018-08-02,100762.38229154005
2018-08-03,101071.08107267204
2018-08-06,101666.01079339799
2018-08-07,102036.43312798603
2018-08-08,102159.93424413262
2018-08-09,102098.16568298117
2018-08-10,101317.99328957443
2018-08-13,101205.78010343133
2018-08-14,101839.98353915346
2018-08-15,100594.01750463001
2018-08-16,100925.13911960466
2018-08-17,100947.58895806455
2018-08-20,100857.789604225
2018-08-21,101228.22094035214
2018-08-22,101621.09311340007
2018-08-23,101475.16916341084
2018-08-24,102418.0893833431
2018-08-27,103462.0068717276
2018-08-28,103613.5657851795
2018-08-29,104809.05118855498
2018-08-30,104623.83552049141
2018-08-31,104758.52554971163
2018-09-04,104101.09118293795
2018-09-05,102756.7921646709
2018-09-06,101838.15190130583
2018-09-07,101446.08265475256
2018-09-10,101787.73619634382
2018-09-11,102571.92859077423
2018-09-12,102269.47029521813
2018-09-13,103361.7177393371
2018-09-14,103059.250460227
2018-09-17,101574.91580244682
2018-09-18,102415.08472175575
2018-09-19,102336.65829546952
2018-09-20,103468.17285405552
2018-09-21,102902.40659120854
2018-09-24,103188.61363760635
2018-09-25,103328.86488241513
2018-09-26,103401.8113407707
2018-09-27,104277.21375880754
2018-09-28,104254.77284095382
2018-10-01,104259.2702270583
2018-10-02,104024.05758445169
2018-10-03,104136.0559199364
2018-10-04,102136.80673421166
2018-10-05,100887.93384438778
2018-10-08,100271.9071368025
2018-10-09,100596.73099964364
2018-10-10,96172.57260787649
2018-10-11,94979.7078513998
2018-10-12,97623.0191910003
2018-10-15,96441.38833737043
2018-10-16,99247.04884915773
2018-10-17,99286.28233587572
2018-10-18,96984.58743695519
2018-10-19,96894.98518232549
2018-10-22,97393.39212020022
