,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99097.72853867934
2018-02-02,97287.49622378513
2018-02-05,93360.88952051217
2018-02-06,96238.10159339901
2018-02-07,95066.31028697667
2018-02-08,91175.81001934173
2018-02-09,92775.11878471408
2018-02-12,94295.29887528309
2018-02-13,94486.69507659975
2018-02-14,96345.87068314308
2018-02-15,97348.07578934726
2018-02-16,96938.51375786474
2018-02-20,97645.90550660525
2018-02-21,97010.49743457558
2018-02-22,96962.41693567886
2018-02-23,98678.62641052253
2018-02-26,100160.52581732727
2018-02-27,98945.5761998666
2018-02-28,98278.31992375874
2018-03-01,96779.63262301972
2018-03-02,97646.4222331048
2018-03-05,98666.33983966039
2018-03-06,99751.01887164779
2018-03-07,99578.24628291631
2018-03-08,99778.8459142941
2018-03-09,101590.00906013409
2018-03-12,102301.36505340674
2018-03-13,101144.21829877302
2018-03-14,101077.64319555115
2018-03-15,100986.03066379922
2018-03-16,100912.80571600734
2018-03-19,99317.54324434925
2018-03-20,99979.26736205877
2018-03-21,100036.96825207412
2018-03-22,97652.19411289312
2018-03-23,95059.70408218287
2018-03-26,98449.35660092981
2018-03-27,95666.0899857544
2018-03-28,94048.22530892339
2018-03-29,95725.1642013459
2018-04-02,92624.9726553987
2018-04-03,93931.45309798606
2018-04-04,95409.06755667905
2018-04-05,95008.02107971303
2018-04-06,92535.94109216688
2018-04-09,93160.22378211808
2018-04-10,95615.50414340946
2018-04-11,95448.29335744678
2018-04-12,97068.73208939738
2018-04-13,96229.07415228634
2018-04-16,96865.66570721625
2018-04-17,98876.38041255323
2018-04-18,98612.92423819976
2018-04-19,96086.08364968312
2018-04-20,94903.44292391301
2018-04-23,94245.24047533622
2018-04-24,93042.96609748257
2018-04-25,92660.72911123534
2018-04-26,94642.98219399118
2018-04-27,94212.04608073247
2018-04-30,93651.18941669998
2018-05-01,93938.81572867988
2018-05-02,93360.57751169085
2018-05-03,93403.49470530698
2018-05-04,94735.6102608259
2018-05-07,95399.16303305313
2018-05-08,95443.03045657405
2018-05-09,96398.97271861046
2018-05-10,97014.15252003013
2018-05-11,96585.9581843763
2018-05-14,96116.46219880914
2018-05-15,95628.99222103343
2018-05-16,96074.8728586758
2018-05-17,95817.61146509969
2018-05-18,96081.8858728813
2018-05-21,96388.99696301122
2018-05-22,95873.171667401
2018-05-23,96845.24068274884
2018-05-24,96924.66699154951
2018-05-25,96886.47067364887
2018-05-29,96191.378811642
2018-05-30,97156.738136178
2018-05-31,96883.86175806558
2018-06-01,98354.80548073072
2018-06-04,99134.21437561564
2018-06-05,99784.20138073261
2018-06-06,100397.16901618431
2018-06-07,98978.31509877497
2018-06-08,99342.98172085844
2018-06-11,99475.11661837736
2018-06-12,100317.96156979635
2018-06-13,100410.48070646943
2018-06-14,100952.11608531197
2018-06-15,100629.77872453196
2018-06-18,101012.93129404733
2018-06-19,100294.27488338918
2018-06-20,100249.30866425912
2018-06-21,99269.08012434957
2018-06-22,98154.00550163657
2018-06-25,96037.71715559693
2018-06-26,96541.89037986007
2018-06-27,94713.25761906122
2018-06-28,96112.1137615417
2018-06-29,96334.19714994408
2018-07-02,97036.58929443221
2018-07-03,96481.56734294754
2018-07-05,97132.19252638034
2018-07-06,98184.07928465275
2018-07-09,99019.87576685006
2018-07-10,99117.52851861258
2018-07-11,99339.99438640269
2018-07-12,101018.00794852289
2018-07-13,101154.26970815344
2018-07-16,100969.55153500343
2018-07-17,101449.47598099706
2018-07-18,101502.88949811456
2018-07-19,101093.82156154668
2018-07-20,100850.24043999132
2018-07-23,100968.5141443238
2018-07-24,100204.98216212116
2018-07-25,101376.11555108737
2018-07-26,100961.36645664898
2018-07-27,99510.21218794401
2018-07-30,97358.37308710322
2018-07-31,97755.45704359986
2018-08-01,98026.7119882208
2018-08-02,99523.84749624971
2018-08-03,99615.4263779308
2018-08-06,100258.1645139261
2018-08-07,100582.61494399954
2018-08-08,100751.25057889053
2018-08-09,100949.57747992079
2018-08-10,100588.96561363288
2018-08-13,100297.04377256842
2018-08-14,100974.91841277161
2018-08-15,99643.38161523841
2018-08-16,100037.85837005384
2018-08-17,99870.12745915476
2018-08-20,99959.99252530705
2018-08-21,100297.58619372218
2018-08-22,101014.33714968839
2018-08-23,101186.99922831343
2018-08-24,102997.68155736322
2018-08-27,103493.4643551509
2018-08-28,103773.2079406161
2018-08-29,104972.07103998396
2018-08-30,104391.77442762855
2018-08-31,104410.79242207135
2018-09-04,104374.70625139933
2018-09-05,103001.52141855727
2018-09-06,102584.07893187104
2018-09-07,102422.91392094636
2018-09-10,102802.01891867493
2018-09-11,103540.03690807942
2018-09-12,103537.85068748533
2018-09-13,104220.41495471801
2018-09-14,104073.20871876582
2018-09-17,102641.08727082096
2018-09-18,103632.5303783009
2018-09-19,103400.4631315511
2018-09-20,104311.77870197078
2018-09-21,103997.67997049181
2018-09-24,103848.5495386472
2018-09-25,104085.53066871874
2018-09-26,103961.32950108292
2018-09-27,104397.78207718843
2018-09-28,104585.08327123513
2018-10-01,104336.4838654174
2018-10-02,103505.6691032322
2018-10-03,103946.2849701989
2018-10-04,101888.36254711944
2018-10-05,100902.68708996923
2018-10-08,98972.493891347
2018-10-09,98953.66504671625
2018-10-10,94271.87028657456
2018-10-11,93347.39298132519
2018-10-12,96445.35592455757
2018-10-15,95034.24302515821
2018-10-16,98336.33783629374
2018-10-17,98087.2704631548
2018-10-18,95781.49234980402
2018-10-19,94809.77159638185
2018-10-22,95718.26190043308
2018-10-23,95346.9376718642
