,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99097.72853867934
2018-02-02,97287.49622378513
2018-02-05,93360.88952051217
2018-02-06,96238.10159339901
2018-02-07,95066.31028697667
2018-02-08,91175.81001934173
2018-02-09,92775.11878471408
2018-02-12,94295.29887528309
2018-02-13,94486.69507659975
2018-02-14,96345.87068314308
2018-02-15,97348.07578934726
2018-02-16,96938.51375786474
2018-02-20,97645.90550660525
2018-02-21,97010.49743457558
2018-02-22,96962.41693567886
2018-02-23,98678.62641052253
2018-02-26,100160.52581732727
2018-02-27,98945.5761998666
2018-02-28,98278.31992375874
2018-03-01,96779.63262301972
2018-03-02,97646.4222331048
2018-03-05,98666.33983966039
2018-03-06,99751.01887164779
2018-03-07,99578.24628291631
2018-03-08,99778.8459142941
2018-03-09,101590.00906013409
2018-03-12,102301.36505340674
2018-03-13,101144.21829877302
2018-03-14,101077.64319555115
2018-03-15,100986.03066379922
2018-03-16,100912.80571600734
2018-03-19,99317.54324434925
2018-03-20,99979.26736205877
2018-03-21,100036.96825207412
2018-03-22,97652.19411289312
2018-03-23,95059.70408218287
2018-03-26,98449.35660092981
2018-03-27,95666.0899857544
2018-03-28,94048.22530892339
2018-03-29,95725.1642013459
2018-04-02,96650.32898240193
2018-04-03,95921.23715637978
2018-04-04,96035.15322739357
2018-04-05,95541.5014681824
2018-04-06,95989.58679898805
2018-04-09,96316.15972261007
2018-04-10,96544.00345325119
2018-04-11,97295.8784934761
2018-04-12,96164.26776505382
2018-04-13,96794.62460378832
2018-04-16,96931.32968331165
2018-04-17,97022.46833442946
2018-04-18,97098.41431320758
2018-04-19,96908.54646910889
2018-04-20,96171.8583069169
2018-04-23,95404.79638865907
2018-04-24,95868.07439180442
2018-04-25,95245.30809493299
2018-04-26,94911.13883514113
2018-04-27,95313.65773754127
2018-04-30,94622.5360037548
2018-05-01,94391.51825324727
2018-05-02,94425.54379154027
2018-05-03,94493.69806963763
2018-05-04,94459.61061043781
2018-05-07,94459.61061043781
2018-05-08,94470.97309683776
2018-05-09,94425.54379154027
2018-05-10,94425.54379154027
2018-05-11,94425.54379154027
2018-05-14,94425.54379154027
2018-05-15,94368.75199984285
2018-05-16,94368.75199984285
2018-05-17,94391.51825324727
2018-05-18,94436.89595778908
2018-05-21,94436.89595778908
2018-05-22,94436.89595778908
2018-05-23,94516.43336258864
2018-05-24,94573.1529132281
2018-05-25,94652.59743666745
2018-05-29,94925.19390875459
2018-05-30,94811.61032535975
2018-05-31,94766.22230066682
2018-06-01,96205.0148640965
2018-06-04,96967.3878254492
2018-06-05,97603.16773658937
2018-06-06,98202.7374291083
2018-06-07,96814.8961177746
2018-06-08,97171.59203747578
2018-06-11,97300.83879585979
2018-06-12,98125.26125984685
2018-06-13,98215.75815906131
2018-06-14,98745.55474010052
2018-06-15,98430.26286967768
2018-06-18,98805.04068012908
2018-06-19,98102.09230529761
2018-06-20,98058.1089355106
2018-06-21,97099.30574545512
2018-06-22,96008.60387147605
2018-06-25,93938.57230776819
2018-06-26,94431.72556344533
2018-06-27,92643.06215169071
2018-06-28,94011.34278955373
2018-06-29,94228.57198926483
2018-07-02,94915.6115941995
2018-07-03,94372.72103759172
2018-07-05,95009.12517806223
2018-07-06,96038.02031664058
2018-07-09,96855.54837335466
2018-07-10,96951.06667964291
2018-07-11,97168.66999869677
2018-07-12,98810.00637160594
2018-07-13,98943.28978919385
2018-07-16,98762.60909436955
2018-07-17,99232.0435895606
2018-07-18,99284.28962048015
2018-07-19,98884.16288823169
2018-07-20,98645.90584216964
2018-07-23,98761.59437846151
2018-07-24,98014.75130009858
2018-07-25,99160.28663558766
2018-07-26,98754.60292140316
2018-07-27,97335.16726385201
2018-07-30,95230.36199613083
2018-07-31,95618.76668820802
2018-08-01,95884.09267661974
2018-08-02,97348.50453834323
2018-08-03,97438.08173419352
2018-08-06,98066.77121840246
2018-08-07,98384.12997169685
2018-08-08,98549.07965241664
2018-08-09,98743.07162228847
2018-08-10,98390.34183153926
2018-08-13,98104.8006734688
2018-08-14,98767.85866558205
2018-08-15,97465.42593977212
2018-08-16,97851.28041709092
2018-08-17,97687.2156853542
2018-08-20,97775.11652540657
2018-08-21,98105.33123864967
2018-08-22,98806.415807274
2018-08-23,98975.30392371526
2018-08-24,100746.40925536596
2018-08-27,101231.35547835323
2018-08-28,101504.98456710263
2018-08-29,102677.64351071975
2018-08-30,102110.03073425835
2018-08-31,102128.63304279948
2018-09-04,102093.33562577018
2018-09-05,100750.1651867762
2018-09-06,100341.8469511774
2018-09-07,100184.20460522595
2018-09-10,100555.02331370965
2018-09-11,101276.91007149029
2018-09-12,101274.77163622295
2018-09-13,101942.41675182118
2018-09-14,101798.42807685354
2018-09-17,100397.60923009453
2018-09-18,101367.38186525772
2018-09-19,101140.38702942932
2018-09-20,102031.78351554491
2018-09-21,101724.55019854498
2018-09-24,101578.67938580559
2018-09-25,101810.48069972827
2018-09-26,101688.99425968967
2018-09-27,102115.90707159016
2018-09-28,102299.11432891991
2018-10-01,102055.94868576698
2018-10-02,101243.2934610968
2018-10-03,101674.27856470918
2018-10-04,99661.33719052991
2018-10-05,98697.20613925261
2018-10-08,96809.202147415
2018-10-09,96790.78485434304
2018-10-10,92211.32244486957
2018-10-11,91307.0519066043
2018-10-12,94337.30111044705
2018-10-15,92957.03161778633
2018-10-16,96186.95087628343
2018-10-17,95943.3274944072
2018-10-18,93687.94793685545
2018-10-19,92737.4665743048
2018-10-22,93626.09954732469
