,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99639.8443194972
2018-02-02,97994.65646221157
2018-02-05,96206.18314515844
2018-02-06,96921.25238163033
2018-02-07,96071.17409680219
2018-02-08,94152.22665479829
2018-02-09,94851.43794149565
2018-02-12,95902.98975595576
2018-02-13,96422.61831460595
2018-02-14,98145.54939043074
2018-02-15,99094.74893222295
2018-02-16,98712.20722112083
2018-02-20,98136.45514964095
2018-02-21,97770.9385376056
2018-02-22,98015.4586861305
2018-02-23,98946.54644306964
2018-02-26,99725.40537242513
2018-02-27,98586.71124961191
2018-02-28,98217.37764985577
2018-03-01,97801.57273865245
2018-03-02,98326.9646085492
2018-03-05,98162.2898127339
2018-03-06,99220.91691882398
2018-03-07,98585.74185171703
2018-03-08,98350.48872470345
2018-03-09,98444.591172056
2018-03-12,98444.591172056
2018-03-13,98632.79008402553
2018-03-14,98570.05511912385
2018-03-15,97942.7234183135
2018-03-16,97707.4702912999
2018-03-19,97919.19930215925
2018-03-20,97480.06053058291
2018-03-21,99181.71205281207
2018-03-22,98789.62749627978
2018-03-23,100067.82099679025
2018-03-26,100593.212866687
2018-03-27,99973.7185494377
2018-03-28,98593.58521801363
2018-03-29,98640.63345032213
2018-04-02,94681.87025202312
2018-04-03,96475.2474235766
2018-04-04,97716.37478962954
2018-04-05,96715.80268540596
2018-04-06,93790.6531378378
2018-04-09,94381.14572127673
2018-04-10,97399.26629756855
2018-04-11,97437.5293778134
2018-04-12,99274.63771748541
2018-04-13,98541.9748493306
2018-04-16,98716.93335898215
2018-04-17,100586.8502258963
2018-04-18,99597.20076254911
2018-04-19,95288.76709908311
2018-04-20,94162.4763458131
2018-04-23,92910.39926914181
2018-04-24,92161.31860249495
2018-04-25,92046.48875714751
2018-04-26,93927.35533468
2018-04-27,93271.25923162779
2018-04-30,92248.80800847396
2018-05-01,92023.58563531464
2018-05-02,92056.7575992245
2018-05-03,92123.20213961296
2018-05-04,92089.96980816186
2018-05-07,92089.96980816186
2018-05-08,92101.04725197889
2018-05-09,92056.7575992245
2018-05-10,92056.7575992245
2018-05-11,92056.7575992245
2018-05-14,92056.7575992245
2018-05-15,92001.39050265308
2018-05-16,92001.39050265308
2018-05-17,92023.58563531464
2018-05-18,92067.82498178467
2018-05-21,92067.82498178467
2018-05-22,92067.82498178467
2018-05-23,92145.36708850389
2018-05-24,92200.6637562772
2018-05-25,92278.11531168457
2018-05-29,92543.8733507246
2018-05-30,92433.13915758178
2018-05-31,92388.88974985489
2018-06-01,92818.78536733148
2018-06-04,93032.54213257556
2018-06-05,93314.56063364114
2018-06-06,93439.8104388909
2018-06-07,93251.04027355406
2018-06-08,93108.77888200074
2018-06-11,93116.51542685559
2018-06-12,93320.3177141308
2018-06-13,93022.203805473
2018-06-14,93502.79151322725
2018-06-15,93356.78387991674
2018-06-18,93432.26445682946
2018-06-19,93309.06309401934
2018-06-20,93259.63021425306
2018-06-21,93017.26015276293
2018-06-22,92874.04785516608
2018-06-25,91964.16051078007
2018-06-26,92172.02771198683
2018-06-27,91718.96966616633
2018-06-28,92229.89944828101
2018-06-29,92173.97488638276
2018-07-02,91917.86856930684
2018-07-03,92410.21716967477
2018-07-05,92675.31632835201
2018-07-06,92978.31558393958
2018-07-09,92379.89565272012
2018-07-10,92372.3818469521
2018-07-11,92728.3304023819
2018-07-12,92720.75901955819
2018-07-13,92955.57984407256
2018-07-16,92569.30257455618
2018-07-17,92395.06000976343
2018-07-18,92023.87512597072
2018-07-19,92607.15948867472
2018-07-20,91470.98425154098
2018-07-23,90342.3516087031
2018-07-24,90652.90785285045
2018-07-25,90508.95801648448
2018-07-26,90334.74424021957
2018-07-27,90486.2726565412
2018-07-30,90175.7092152619
2018-07-31,90668.06501276178
2018-08-01,90830.47997213382
2018-08-02,92066.39576644439
2018-08-03,92348.4532516881
2018-08-06,92892.03939838219
2018-08-07,93230.4935762344
2018-08-08,93343.33630958553
2018-08-09,93286.89849353193
2018-08-10,92574.05647150017
2018-08-13,92471.52749817981
2018-08-14,93050.99796306713
2018-08-15,91912.56118301877
2018-08-16,92215.10636861071
2018-08-17,92235.61874302599
2018-08-20,92153.56924536485
2018-08-21,92492.03164790609
2018-08-22,92850.99820017358
2018-08-23,92717.66776647422
2018-08-24,93579.21216598328
2018-08-27,94533.03757629405
2018-08-28,94671.51666531978
2018-08-29,95763.82938934532
2018-08-30,95594.5981880747
2018-08-31,95717.66420987739
2018-09-04,95212.56803137108
2018-09-05,94593.75648213219
2018-09-06,94272.02378820229
2018-09-07,93878.35483206378
2018-09-10,94062.41533475026
2018-09-11,94248.0977678565
2018-09-12,94165.88983133085
2018-09-13,94660.2164576712
2018-09-14,94433.40571478747
2018-09-17,93764.62424998998
2018-09-18,93952.58995296856
2018-09-19,93837.4546910344
2018-09-20,94359.03457903347
2018-09-21,94119.23986551791
2018-09-24,94198.67197960877
2018-09-25,94216.12395357591
2018-09-26,94403.37506420516
2018-09-27,94803.30182080314
2018-09-28,94816.34351780369
2018-10-01,94600.66115297114
2018-10-02,94634.8923543916
2018-10-03,94589.28503855677
2018-10-04,94566.46080900388
2018-10-05,94555.0538371363
2018-10-08,94532.22960758342
2018-10-09,94566.46080900388
2018-10-10,94589.28503855677
2018-10-11,94623.48538252403
2018-10-12,94623.48538252403
2018-10-15,94657.70629812675
2018-10-16,94623.48538252403
2018-10-17,94623.48538252403
2018-10-18,94680.53052767964
2018-10-19,94623.48538252403
2018-10-22,94600.66115297114
2018-10-23,94657.70629812675
